คำ,POS,ความหมาย
ค็ 0,สัน.,ก็ แล้ว จึง ย่อม
คก 0,น.,ครก
คกงก 0,ว.,โด่เด่ เช่น ไม้ที่ยื่นออกมา หรือโผล่ออกมา
คกงก 1,ว.,อาการของคนที่นั่งเฉยๆ ไม่ปริปาก อาการตรึกตรอง
คกภิก 0,น.,ครกสำหรับตำน้ำพริกหรือใช้ในครัว
ค็ข้าแล 0,*น.,คำลงท้ายแสดงความเคารพเมื่อสามัญชนพูดกับเสนาบดี
คชปาละ 0,น.,ควาญช้าง
คชะ 0,น.,ช้าง
คณนา 0,ก.,นับ คำนวณ
คณะ 0,น.,พวก หมู่ เหล่า
คณะคะนัง 0,ว.,ใหญ่โต มากมาย
คณะคะนัง 1,ว.,วุ่นวาย สับสน
คณา 0,น.,คณะ หมู่ เหล่า
คด 0,ว.,คด - ไม่ตรง
คดเลี้ยว 0,ก.,ไม่ชื่อสัตย์
คดหง้องคดแหง้ง 0,ว.,คดเคี้ยว งอไปงอมา ใช้กับสิ่งของเล็ก
คดโหง้งคดหง้าง 0,ว.,คดเคี้ยว งอไปงอมา ใช้กับสิ่งของใหญ่
คด้าง 0,น.,กระด้าง
ค็ดี 0,สัน.,ก็ดี แสดงความหมายเป็นส่วนๆ หรือเน้น ความให้มีน้ำหนักเท่ากัน
คถา 0,น.,คาถา คำประพันธ์ชนิดหนึ่งในภาษาบาลี ๑ คาถามี ๔ บาทๆ ละ ๘ คำ คำเสกเป่าที่ถือว่าศักดิ์สิทธิ์
คน 0,ก.,คน - กวนให้เข้ากัน
ค้น 0,ว.,ซ้น - ข้อมือหรือข้อเท้าถูกกระแทกโดยแรงทำให้กระดูกเคลื่อน
ค้น 1,ก.,เคล็ด ขัด แพลง
คนคูน 0,ก.,คำนวณแบบโหราศาสตร์
คนน้ำสู่ย 0,น.,บุคคลที่ชอบให้ยอเช่นนั้นเรียกว่า คนน้ำโตะ
คบ 0,ก.,ทบ ควบ ประกบ ซ้อน ทับ ตาม ประคบ
คบ 1,ลัก.,งบ แว่น ชิ้น ก้อน อย่างน้ำอ้อยหรือข้าวต้มผัด
คบ 2,ว.,งบ แว่น ชิ้น ก้อน อย่างน้ำอ้อยหรือข้าวต้มผัด
คบ 3,ก.,ทบ ประกบ กระแทก
ค้มง้ม 0,ก.,ค้อมลง น้อมลงไปด้านหน้า ใช้กับของใหญ่
คมรบ 0,ก.,นอบน้อม
ค็มี 0,สัน.,ก็มี
ครก 0,น.,ครก
ครกพริก 0,น.,ครกสำหรับตำน้ำพริกหรือใช้ในครัว
