คำ,POS,ความหมาย
ฅกมองมอง 0,น.,ครกกระเดื่อง
ฅนน้ำโตะ 0,น.,คนบ้ายอ
ฅนน้ำสุ่ย 0,น.,คนบ้ายอ
ฅบงัน 0,ว.,สนุกสนาน
ฅบยำ 0,ก.,เคารพ ยำเกรง
ฅอก 0,น.,คอก ที่ขังสัตว์ คุก กรง
ฅอกเหล็ก 0,น.,กรงเหล็ก
ฅอบ 0,น.,จด จรด ถึง ย้อนกลับ
ฅอออม 0,น.,คอพอก
ฅอเอิม 0,น.,คอพอกขนาดใหญ่
ฅัก 0,ว.,ดี ชัดเจน แน่ชัด จริง แน่นอน
ฅั้ง 0,น.,เครื่องมือจับสัตว์นํ้าชนิดหนึ่งคล้ายโพงพาง
ฅันได 0,น.,บันได
ฅ้าว 0,ว.,แก่ ชรา เข้าไคล
ฅ่าวซอ 0,น.,บทประพันธ์ที่แต่งด้วยฉันทลักษณ์คร่าว มักเป็นเรื่องชาดกมีลักษณะคล้ายเรื่องประเภทจักรๆ วงศ์ๆ
ฅาวทอง 0,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง
ฅ่าวนางสีชม 0,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
ฅ่าวสี่บท 0,น.,ชื่อคร่าวที่แสดงออกถึงความรักความในใจ ที่ดีที่สุดชี่งเป็นผลงานของพระยาพรหมโวหาร เรียก คร่าวสี่บท
ฅ่ำ 0,น.,กำหนดยามเท่าเวลา ๑๖.๓๐ - ๑๘.๐๐ (ปวงคำ)
ฅ่ำ 1,ว.,ครํ่าคร่า เก่า ทรุดโทรม
ฅำเครือ 0,ก.,กำยานเครือ
ฅำเครือ 1,ก.,กำยานเครือ
ฅิ่น 0,ว.,ของที่เป็นกรรมสิทธิ์ ผู้เป็นที่รัก แท้ เช่น แม่คิ่น ลูกคริ่น
ฅีไฟ 0,น.,กระบะดินสำหรับตั้งก้อนเส้าหรือตั้งเตา
ฅึ 0,ว.,สง่า ภาคภูมิ ผึ่งผาย ยิ่งใหญ่
ฅืด 0,ก.,ครูด เสียดสี
ฅืน 0,น.,ครืน - บ่วงขนาดเล็กสำหรับดักนกและไก่
ฅืน 1,น.,ครืน - ชื่อเครื่องดักนกหรือไก่ ทำเป็นบ่วง
ฅือ 0,น.,คู คูเมือง
ฅุ 0,น.,ภาชนะสานขนาดใหญ่มาก ใช้เป็นลานนวดข้าวเคลื่อนที่
ฅุ 1,น.,ภาชนะสานขนาดใหญ่ใช้ตีข้าว
ฅุ 2,น.,ภาชนะสานขนาดใหญ่มาก ใช้เป็นลานนวดข้าวเคลื่อนที่
ฅุ่ม 0,น.,พุ่มอย่างพุ่มไม้
ฅุ้ม 0,น.,วังหลวง ราชสำนัก
ฅุมคาง 0,ก.,ดูแล ระวังรักษา หวงแหน
ฅูด ๆ ยาด ๆ 0,ก.,อิด ๆ ออด ๆ
เฅ่ง 0,ว.,ตึง ไม่หย่อน
เฅ็ดม่ำ 0,ก.,นุ่งผ้าหยักรั้ง
เฅว็ด 0,น.,กิ่งไม้ กิ่งแขนงของไม้
เฅ่า 0,น.,อึ่งอ่างชนิดหนึ่งหลังสีดำร้องเสียงดัง ค่อกๆ
เฅิ่ง 0,ว.,ครึ่ง กึ่ง
เฅิย 0,ก.,ค้าง ติดข้อง เกย
เฅี่ยน 0,น.,พุ่ม
เฅียว 0,ก.,ยอกเย้า แหย่ ทำให้โกรธ
เฅียวเอา 0,ก.,รบเร้าเพื่อให้ได้สิ่งประสงค์
แฅ้ว 0,ว.,คอดกิ่ว เช่น เอวแฅ้ว - เอวคอด
แฅวน 0,ว.,ค่อยยังชั่ว อาการดีขึ้น เช่น หายไข้หรือยัง? แฅวนแล้ว ยังแควนแล้ว
แฅวน 1,ว.,มาก ยิ่ง
แฅวน 2,ว.,ค่อย ยังชั่ว ดีขึ้น มักจะใช้กับอาการเจ็บป่วย
ไฅว่ 0,ว.,ทั่ว - ทั้งหมด ทั้งสิ้น ทุกหนทุกแห่ง ไม่จำกัด
