คำ,POS,ความหมาย
งก 0,ว.,ทุยโหนกใช้กับของขนาดใหญ่
งง 0,ว.,โค้ง
งด 0,ก.,หยุด ยั้ง ไม่กระทำ
งบหงุบ ๆ 0,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
ง้ม 0,ก.,โค้ง งอ ก้ม
ง้มง่าว 0,ว.,โง่งม
งมๆ ซวามๆ 0,ก.,คลำหาของ คลำเปะปะไปมา
งวง 0,น.,รวง - พวง ช่อ
งวง 1,น.,จมูกของช้าง เรียกสิ่งที่ยื่นห้อยออกมาอย่าง งวงช้าง
งวง 2,น.,เรียกกาต้มนํ้าว่า หม้องวง
ง่วง 0,ก.,อาการที่ร่างกายอ่อนเพลีย เช่น ง่วงเหล้า คือ ซึมเซาเพราะฤทธิ์สุรา
งวงช้าง 0,น.,จมูกช้าง
งวงช้าง 1,น.,งูงวงนํ้า
ง้วน 0,น.,ยาเบื่อ - ยาที่ทำให้คนหรือสัตว์มีอาการเบื่อเมา และบางขนานอาจทำให้ถึงตายได้
ง้วน 1,น.,ตำรา
ง้วน 2,น.,ยาพิษ ยาเบื่อ
ง้วนดิน 0,น.,ดินที่มีโอชะเกิดขึ้นเมื่อสร้างโลกใหม่
ง้วนพิษ 0,น.,ยาเบื่อ - ยาที่ทำให้คนหรือสัตว์มีอาการเบื่อเมา และบางขนานอาจทำให้ถึงตายได้
ง้วนพิษ 1,น.,ยาพิษ
ง้วนสาร 0,น.,ยาพิษ
ง่วย 0,ว.,เป็นง่อย
ง่วย 1,ว.,ลักษณะ งกๆ เงิ่นๆ
ง่วยสึง 0,ว.,เป็นง่อย
งว้า 0,ว.,สับสนวุ่นวาย มักใช้คู่กับคำอื่น เช่น งุ้มงว้า - เคลื่อนที่ไปอย่างเก้งก้าง
งวาก 0,ก.,วก เลี้ยว กลับ
งวากงว้าย 0,ก.,เลี้ยว เบน หัน
งว้าย 0,ก.,บ่าย เบน เอน เลี้ยว ตีโค้ง
งว้าย 1,ก.,กลับหลัง
งว้าย 2,ก.,วก เลี้ยว กลับ
งว้ายงวาก 0,ก.,วก เลี้ยว กลับ
งว้าๆ โซ้งๆ 0,ว.,อาการเคลื่อนไหวที่เก้งก้าง ทำอะไรไม่ถูก
งวีก 0,ก.,แยกห่างจากกันเล็กน้อย
งอ 0,ก.,ทำสิ่งของให้ปลายหักโค้งเข้าหาตัวเอง เช่น รูปอย่างขอ
งอ 1,ว.,มีลักษณะหักโค้งเข้าหาตัวเอง
งอ 2,ว.,เรียกลักษณะที่ทำหน้าแสดงอาการไม่พอใจคิ้วขมวดว่า หน้างอ
ง้อ 0,ก.,ขอคืนดีด้วย ขอพึ่งพาอาศัย
งอก 0,น.,เรียกต้นอ่อนที่พึ่งงอกของพืช เช่น ถั่วงอก
งอก 1,ก.,อาการผลิดอก แตกออก
ง็อก 0,ว.,โหนก คด งอ คือลักษณะของขนาดเล็กที่ยื่นไปข้างหน้า เช่น กล้องขาง็อก - กล้องยาเส้นที่ยื่นโค้งไปข้างหน้า
ง็อกแง็ก 0,ว.,งอพับไปพับมา
ง็อกแง็ก 1,ว.,คลอนไปมาได้ ลักษณะที่พับหรือคดเคี้ยวไปมา
งอก้องหง้อง 0,ว.,อาการที่คน สัตว์หรือสิ่งของขนาดไม่ใหญ่ ขดตัวทอดอยู่บนพื้น
งอง 0,น.,เหล็กหรือกระต่ายขูดมะพร้าว (บางท้องที่เรียกแมว)
ง้อง 0,ว.,โค้ง งอ งอน ค้อม กด ลักษณะของเล็กที่งอโค้งเข้าเกือบเป็นวง
ง้องแง้ง 0,ว.,ลักษณะหรืออาการที่เลี้ยวเอี้ยวพับไปมา
งอด 0,น.,แมลงป่อง
งอด 1,น.,งูงอด
งอด 2,ว.,อาการที่หน้าไม่เสบย เรียก หน้างอด
งอด 3,ว.,ใช้ประกอบคำ แงด เป็น งอดแงด เพี่อแสดงอาการว่าเอี้ยวหรือบิดไปมา
งอดแงด 0,ว.,อิดออด
งอน 0,ก.,แสดงอาการโกรธหรือไม่พอใจให้ผู้อื่นด้วย
ง่อน 0,น.,ท้ายทอย
ง้อน 0,น.,ปลายของบางอย่างที่เป็นรูปยาวเรียวและช้อนขึ้น
ง้อน 1,ว.,งอน เงยขึ้น โง้งขึ้น ยื่นโป่งออกมา
ง่อนงก 0,น.,หัวทุย ลักษณะท้ายทอยยื่นเป็นโหนก
ง่อนต่อ 0,น.,คอต่อ
ง้อนไถ 0,น.,งอนไถ หางไถที่ใช้มือจับ
ง้อนไถ 1,น.,งอนไถหรือคันไถ
งอม 0,ก.,รี่เข้าหา กรากเข้าหา
ง่อม 0,ก.,ว้าเหว่ หงอยเหงา เปลี่ยวใจ
ง้อม 0,ก.,น้อมไปเบื้องหน้า
ง่อมงัน 0,ว.,เหงาเงียบ เปล่าเปลี่ยว
ง่อมหา 0,ก.,คิดถึง อาวรณ์ถึง
ง่อมเหงา 0,ว.,หงอยเหงา
งอย 0,ว.,ตั้งอยู่หมิ่นเหม่ ห้อย
งอย 1,น.,ปลาย ส่วนปลาย
ง่อยง่วยสึง 0,ว.,เป็นง่อย
งัด 0,น.,ชื่อแม่นํ้าสายหนึ่งในอำเภอแม่แตง จังหวัดเชียงใหม่ว่า น้ำแม่งัด
งัด 1,ก.,งัด
งัน 0,ก.,สนุก ครึกครื้น ดื่มดํ่าในอารมณ์มาก มักใช้กับคำอื่นเช่น ม่วนงัน - สนุกยิ่ง ง่อมงัน - ว้าเหว่มาก
งัน 1,ว.,สนุก ครึกครื้น ดื่มดํ่าในอารมณ์มาก มักใช้กับคำอื่นเช่น ม่วนงัน - สนุกยิ่ง ง่อมงัน - ว้าเหว่มาก
งับ 0,ก.,งับ ปิดอย่างไม่สนิทหรือไม่แน่นหนา เช่น งับประตู (ไม่ลงกลอน)
งับแง 0,น.,ซอก มุมขนาดเล็ก อย่าง งับแงหู - ซอกหลังหู
งับแง 1,ว.,แง้ม - ปิดไม่สนิท
งัว 0,น.,วัว
งั่ว 0,ว.,ที่ห้า – โบราณเรียกลูกชายคนที่ห้าว่า งั่ว คู่กับ อั้ว ซึ่งใช้เรียกลูกลาวคนที่ห้า
งัวค็อก 0,น.,วัวรุ่น วัวที่ยังไม่โตเต็มที่
งัวต้อง 0,น.,วัวที่ตอนโดยใช้ไม้ทุบอัณฑะ
งัวต่าง 0,น.,วัวที่ใช้บรรทุกของหรือสินค้าไปขาย
งัวถ่าว 0,น.,วัวสาว
งัวถ่าว 1,น.,วัวสาว วัวรุ่น
งัวเถิก็ 0,น.,วัวถึก - วัวเปลี่ยว
งัวพู้ 0,น.,วัวตัวผู้
งัวแม่ 0,น.,วัวตัวเมีย
งัวล้อ 0,น.,วัวเทียมเกวียน
งัวลัด 0,น.,วัวที่ตอนโดยใช้ไม้ทุบอัณฑะ
งัวลัด 1,น.,วัวตอนด้วยวิธีตัดลูกอัณฑะ
งัวลาย 0,น.,ชื่อหมู่บ้านที่อพยพมาจากบ้านงัวลายในรัฐฉาน ตั้งอยู่ในจังหวัดเชียงใหม่
งัวลาย 1,น.,วัวด่าง
งัวสื่อ 0,น.,วัวสาว
งัวสื่อ 1,น.,วัวสาว วัวรุ่น
งัวหงาน 0,น.,วัวฉกรรจ์
งัวไหม 0,น.,วัวที่มีสีนวลทั้งตัว
งา 0,น.,ต้นงา
งา 1,น.,งา ส่วนหนึ่งของเครื่องดักสัตว์ที่ทำเป็นซี่ๆ ปลายสอบเข้าหากันเพื่อไม่ให้สัตว์ที่เข้าไปแล้วออกมาได้
งา 2,ว.,ใช้ประกอบตามหลัง เขี้ยว เป็น เขี้ยวงา คือ ฟันที่งอนโค้งอย่าง เขี้ยวของหมูปา
