คำ,POS,ความหมาย
จก 0,น.,จอบ
จก 1,ก.,ล้วง ควก
จกกะหลิ้ง 0,ก.,จี้รักแร้ - จักจี้
จกกะหลี้ 0,ก.,จี้รักแร้ - จักจี้
จกเค้าแร้ 0,น.,ซอกรักแร้
จกเค้าแร้ 1,ก.,จี้รักแร้ - จักจี้
จกจ่าย 0,ก.,จับจ่ายใช้สอย
จกโจ่ 0,ว.,ตกตะลึง
จกโจ้ 0,ว.,ตกตะลึง
จกโจ้จกโจ่ 0,ว.,ตกตะลึง
จกโจ้จกโจ่ 1,ว.,ตกตะลึง ทำอะไรไม่ถูก
จด 0,ก.,กลัด ขัด ทำให้มั่นคง เช่น จดปลอกแอว จดสายรั้ง -คาดเข็มขัด ตอก ตีลงไป เช่น จดเหล็กโคน - ตอกตาบู่
จด 1,สำนวน.,กินไม่สุภาพ เช่น จดเข้า
จดละคุย 0,ก.,ชกกัน ต่อยกัน
จตุปัจจัย 0,น.,เครื่องอาศัย ๔ อย่างคือ อาหาร เครื่องนุ่งห่ม ที่อยู่อาศัย ยารักษาโรค
จตุรภูมิ 0,น.,ภูมิทั้ง ๔ คือ กามาวจรภูมิ รูปาวจรภูมิ อรูปาวจรภูมิ โลกุตตรภูมิ
จตุรอบาย 0,น.,อบายภูมิทั้ง 4 มี นรก สัตว์เดรัจฉาน เปรตและอสุรกาย
จน 0,ก.,ทำให้แพ้ ทำให้หมดทางหนี หมดทางหนี หมดทางต่อสู้
จน 1,ว.,อัตคัด ขาดแคลน ฝืดเคือง
จน 2,ส.,กระทั้ง ตราบเท่า
จ้น 0,ก.,เร่งทำให้เสร็จ ออกัน คับคั่ง ข้ามจากจุดหนึ่งไปสู่จุดหนึ่ง ไม่เป็นไปตามขั้นตอน
จ้น 1,ว.,ไม่ละเอียดลวกๆ
จ้น 2,ก.,ข้าม ผ่านเลย ไม่เป็นไปตามขั้นตอน
จ้น ๆ 0,ว.,เคลื่อนที่ไปอย่างรวดเร็ว
จ้นจ้ำ 0,ก.,กระขั้นชิด ฉุกเฉิน
จนแจ่ง 0,ก.,จนมุม
จนไจ 0,ว.,คิดไม่ออก ทำไม่ได้
จนช็อก 0,ว.,หมดทางไป จนตรอก
จนช็อก 1,ก.,จนมุม (ช็อก - มุมแคบ ชอก หลืบ)
จนตา 0,ว.,มืดจนดำมองไม่เห็น
จนตาย 0,ว.,จนตาย
จบ 0,ก.,ประสบ ทำให้มาต่อกัน
จบับ 0,น.,หนังสือเรื่องเดียวกันซึ่งมีข้อความเหมือนกันหรือต่างกันบ้าง
จม 0,ก.,จม - หายลงไปอยู่ใต้พื้นผิวน้ำหรือจมดิน
จม 1,ว.,เลวร้าย เช่น ตกหล้มตกจม - ตกตํ่า ได้รับความเดือดร้อนล่มจม
จ่ม 0,ก.,บ่น พร่ำพูด
จ่ม 1,ก.,บ่น รำพัน
จ่มแซ่ม 0,ก.,บ่น พรํ่าบ่น (แซ่ม - พรํ่าบ่น)
จ่มส้าม 0,ก.,บ่น พร่ำพูด
จ่มส้าม 1,ก.,บ่นจู้จี้
จ่มหา 0,ก.,บ่นถึง พูดถึงบ่อยๆ
จ่มอุ้ม ๆ 0,ก.,บ่นพึมพำ
จรด 0,ก.,ถึง จนถึง จ่อให้ถึง
จรอก 0,น.,ตรอก ซอย
จระเดิน 0,ก.,เดิน เดินไป
จระล่วงข้าม 0,ก.,ล่วงเกิน บังอาจ
จระหล่ำ 0,ว.,นานพอควร
จล้วย 0,น.,ไม่ตรง เฉ
จลอง 0,ก.,รองแทน ทดแทน
จลอง 1,ก.,สมโภช - ทำบุญบูชาเป็นงานใหญ่ ส่วนมากเรียกว่า ปอยหลวง
จลอง 2,น.,สมโภช - ทำบุญบูชาเป็นงานใหญ่ ส่วนมากเรียกว่า ปอยหลวง
จลอง 3,น.,ฉลอง - เครื่องประดับ เครื่องตกแต่ง (ขอม - ฉลง)
จลองนม 0,น.,ฉลองนม เครื่องประดับถัน
จลองหน้า 0,น.,กระบังหน้า กรอบ ประดับใบหน้า
จลองหน้า 1,น.,ฉลองหน้า - กรอบหน้า เครื่องประดับหน้า
จลัด 0,ก.,สะบัด สลัด
จลาด 0,ว.,ฉลาด ปัญญาเฉียบแหลม
จวง 0,น.,สนภูเขา สนสองใบ สนสามใบ
จวง 1,ก.,คลั่ง เพ้อ ฟั่นเฟือน
จวง 2,ก.,ขาดสติ เพ้อ ฟั่นเฟือน
จ้วง 0,น.,คนไทเผ่าหนึ่งอยู่ในตอนใต้ของประเทศจีน เข้าใจว่าน่าจะตรงกับโซ่ง คือ ลาวโซ่ง (ยืม - จ้วง)
จวงเครือ 0,น.,เถาสามสิบ
จวงจันทน์ 0,น.,ไม้จันทน์
จวงเดือน 0,น.,เถาสามสิบ
จวงหอม 0,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง
จวน 0,น.,โจร- ผู้ร้ายที่ลักสิ่งของหรือปล้นชิงสมบัติของผู้อื่น ปรกติใช้โจร
จวน 1,ก.,เข้ามาพบ พบโดยบังเอิญ
จวน 2,ว.,เกือบจะ ใกล้
จ้วน 0,ก.,ขาดไป มีไม่พอ
จ้วน 1,ว.,รวดเร็ว กระชั้น เกือบจะ จวนจะ
จ้วนจั้น 0,ว.,รวดเร็ว กระชั้น เกือบจะ จวนจะ
จ้วนจั้น 1,ก.,ขาดไป มีไม่พอ
จวบ 0,ก.,จำเพาะ พอดี สมเหมาะ บังเอิญพบ
จ้วย 0,ก.,ย้วย เบี่ยงหรือเลี่ยงจากแนวปกติ
จ้วย 1,ว.,แฉลบ เฉสียง ไม่ตรง
จ้วย 2,ว.,แฉลบ เฉลียง ไม่ตรง
จ้วย 3,ว.,เฉียง เอน เบน ไม่ตรง
จวัง 0,ก.,มึน งง หลงใหล
จวัง 1,ก.,คลั่ง เพ้อ ฟั่นเฟือน
จวัง 2,ก.,ขาดสติ เพ้อ ฟั่นเฟือน
จวังเมาวิน 0,ก.,คลั่ง ขาด สติ ฟั่นเฟือน
จวาง 0,ก.,คลั่ง เพ้อ ฟั่นเฟือน
จวาง 1,ก.,ขาดสติ เพ้อ ฟั่นเฟือน
จวาง 2,ก.,ละเมอ
จวาบ 0,ก.,อุบ งับ เอาเข้าไว้ไนปาก คว้า ฉก ฉวย
จว้าย 0,ว.,แฉลบ เฉสียง ไม่ตรง
จว้าย 1,น.,เรียกผ้าสไบว่า ผ้าจว้าย
จว้าย 2,ว.,แฉลบ เฉลียง ไม่ตรง
จ่อ 0,ก.,จ่อ นาบด้วยสิ่งที่ร้อน เช่น จ่อตองมูลี - นาบใบตองเพื่อใช้มวนบุหรี่
จ้อ 0,ก.,รูดเข้า ท้า เป็นรอยย่นเข้า รวบเข้า บิด ม้วน พันอย่างเชือกบิดตัวรวมเข้าเป็นปม
จอก 0,น.,จอก
จอก 1,น.,ภาชนะใส่น้ำเพื่อบริโภคมีลักษณะคล้ายแก้วน้ำ
จอก 2,ก.,เซาะ กัดเซาะอย่างฝนกัดเซาะขอบทาง หรือใช้เสียมเซาะหลุมให้กว้างออกไปทางด้านข้าง
จอก 3,ว.,ชัน - ใช้กับหลังคาชัน คู่กับคำว่า เพิม - ลาด
จ็อก 0,น.,กระจุก สิ่งที่ขมวดเข้ากันเป็นกระจุกอย่าง จุกผม จุกกระเทียม เป็นต้น
จ็อก 1,น.,เรียกขนมเทียนว่า เข้าหนมจ็อก
จ็อก 2,ก.,ห่อรวบรวมอย่างห่อขนม
จ็อกป็อก 0,ว.,ลักษณะสิ่งของขนาดกลางที่เป็นเนินหรือมียอด ถ้ขนาดใหญ่และเห็นชัด ใช้ เจ็กเป็ก หรือ เจ็กเหว็ก
จ็อกป็อก 1,ว.,ใช้กับของมองดูระยะไกล
