คำ,POS,ความหมาย
ฉ 0,ว.,หก - สำหรับประกอบหน้าคำศัพท์อื่น ๆ เช่น ฉขัตติ ฉกกษัตริย์ คือ กษัตริย์ ๖ พระองค์ หรือ ช้างฉทันต์ - ช้าง ๖ งา เป็นต้น
ฉก 0,ก.,สับ โขก อย่างงูฉก ล้านนาใช้ ตอด หรือ ขบ
ฉกัน 0,ว.,ฉกรรจ์ ห้าวหาญ แข็งแรง
ฉกามาวจร 0,น.,ชั้นสวรรค์  6 ชั้น
ฉขัตติ 0,น.,กษัตริย์ ๖ พระองค์ คือ ท้าวสญชัย พระนางผสุดี พระเวสสนดร พระนางมัทรี ชาลีกุมาร กัณหากุมาร
ฉขัตติ 1,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
ฉงน 0,ว.,ไกล ใช้คู่กับ สงาย
ฉงาย 0,ว.,ไกล
ฉทันต์ 0,น.,ช้าง ๖ งา
ฉทันต์ 1,น.,ชื่อตระกูลช้าง
ฉนำ 0,น.,ปี
ฉบับ 0,น.,หนังสือเรื่องเดียวกันซึ่งมีข้อความเหมือนกันหรือต่างกันบ้าง
ฉเพราะ 0,ว.,จำเพาะ มุ่งตรง
ฉเมียง 0,ก.,ชำเลือง
ฉลอง 0,ก.,ทำบุญหรือบูชาสิ่งใดสิ่งหนึ่งเป็นการเอิกเกริกเพื่อแสดงความปิติยินดี
ฉลอง 1,ก.,รองแทน ทดแทน
ฉลาด 0,น.,เฉียบแหลม ปัญญาดี
ฉลู 0,น.,ชื่่อปีที่ ๒ ของรอบปีนักษัตรมีวัวเป็นเครื่องหมาย
ฉัตต์ 0,น.,ฉัตร เครื่องประดับคล้ายร่ม เท่าที่พบจาก ศัพท์หมวดบาลี - ล้านนา มีดังนี้ ฉัตต์งวงเข้า- ฉัตรทำด้วยรวงข้าว ฉัตต์ดอกไม้ ฉัตต์อันสานด้วยไม้ตอก ฉัตต์ขาว ฉัตต์ดอกคำ - ฉัตรที่มีลวดลายทำด้วยทองคำ ฉัตต์ผ้าเหลือง ฉัตต์ขาวยับห้อยดอกคำ ฉัตต์แดง
ฉัททันต์ 0,น.,ช้างโพธิสัตว์
ฉัททันต์ 1,น.,ชื่อตระกููลช้าง
ฉัททันต์ 2,น.,ชื่อตระกูลช้าง
ฉัน 0,ก.,กิน(ใช้กับพระสงฆ์)
ฉัน 1,ว.,เสมอ เหมือน เช่น
ฉันเฉก 0,ว.,ประหนึ่ง เหมือน
ฉันได 0,ว.,ฉไน อย่างไร
ฉันไดค็แล้ว 0,สัน.,อย่างไรก็ตาม จะเป็นอย่างไรก็ให้เป็นไป
ฉันทะ 0,น.,ความพอใจ ความยินดี
ฉันทะ 1,น.,การแต่งคำประพันธ์ตำราฉันทศาสตร์
ฉันทาคติ 0,น.,ความลำเอียงเพราะความรักใคร่ชอบใจ
ฉัพพัณณรังสี 0,น.,รังสี ๖ ประการที่เปล่งออกจากพระกายของพระพุทธเจ้า คือ นีละ - เขียวเหมือนดอกอัญชัน ปีตะ - เหลืองเหมือนหรดาลทอง โลหิตะ - แดงเหมือนตะวันอ่อน โอทาตะ - ขาวเมือนแผ่นเงิน มัญเชฐะ - สีหงสบาทคือสีเหมือนดอกหงอนไก่ ปภัสสระ - เลื่อมพรายเหมือนแก้วผลึก
ฉาง 0,น.,คลัง ยุ้งขนาดใหญ่สำหรับเก็บข้าว
ฉายา 0,น.,เงา
ฉายา 1,น.,รูปถ่าย
ฉายา 2,น.,ร่มไม้
ฉายา 3,น.,แสงสว่าง
ฉายา 4,น.,ชื่อภิกษุที่เป็นภาษาบาลี
ฉำฉา 0,น.,ต้นก้ามปูหรือต้นจามจุรี
ฉิง 0,น.,ความงาม
ฉิง 1,น.,ร่างกาย
ฉิง 2,น.,ผู้ดูแล เทวดา
ฉิ่ง 0,น.,เครื่องตีชนิดหนึ่งทำด้วยโลหะหล่อหนารูปร่างกลมคล้ายถ้วยเจาะลูตรงกลาง ใช้ร้อยเชือกให้เป็นคู่กันสำหรับตีบอกจังหวะเข้ากับดนตรี
ฉีก 0,ก.,ขาดแยกจากกันหรือทำให้ขาดแยกจากกัน
ฉีด 0,ก.,ใช้กำลังอัดหรือดันให้ของเหลวอย่างน้ำพุ่งออกจากช่องเล็ก ๆ
ฉีดอยา 0,ก.,พ่นอย่างพ่นยาฆ่าแมลง ถ้าฉีดเข้าสู่ร่างกายเพื่อรักษาไข้ ฉีดอยา ปักอยา หรือ แทงอยา
เฉลย 0,ก.,อธิบายหรือชี้แจงข้อปัญหา
เฉลียวฉลาด 0,ว.,ปัญญาดี มีไหวพริบ
โฉม 0,น.,โฉม รูปร่าง
โฉมฉาย 0,น.,รูปงามสดใส
