คำ,POS,ความหมาย
ชก 0,น.,จอบ
ชก 1,ก.,เขกลง เขกลง เคาะลง สับหรือขุด
ชกคก 0,ว.,ลักษณะของสิ่งของค่อนข้างใหญ่ที่งอ ชู หรือ ยกสูง หรืออาการที่คนนั่งเจ่าจุก ส่วนมากใช้ คกงก (ก๊ก-งก)
ชกงก 0,ว.,ลักษณะของสิ่งของค่อนข้างใหญ่ที่งอ ชู หรือ ยกสูง หรืออาการที่คนนั่งเจ่าจุก ส่วนมากใช้ คกงก (ก๊ก-งก)
ชง 0,น.,ไก่อู
ชง 1,ว.,สันทัด ปานกลางค่อนข้างจะสูง ระหง ครงงาม สูงพองาม
ชง 2,ว.,ระหง ทรงงาม
ชงอง 0,ว.,ลักษณะสิ่งที่สูงระหง
ชด 0,ว.,เชิด อย่างหน้าเชิด เช่น หน้าชื่อเหมือนหมาขี่รถ หน้าชดเหมือนหมาขี่ล้อ - ทำหน้าเฉยเหมือนหมาขี่รถหรือหน้าเชิดเหมือนหมานั่งเกวียน หน้าบึ้งหน้างอ
ชน 0,ก.,โดนแรง ๆ ต่อสู้ บรรจบ
ชนาน 0,ว.,ชำนาญ เชี่ยวชาญ
ชม 0,ก.,ดูเพื่อให้เกิดความเพลิดเพลิน
ชม 1,ก.,จูบ ดม ใช้จมูกสูดกลิ่นด้วยรัก
ชมชื่น 0,ว.,สนุก รื่นรมย์ สดชื่น พอใจ
ชระล่ำ 0,ว.,นานพอควร
ชระลิ่ว 0,ว.,ลิ่ว ไปไกล ไกลมาก นาน นานมาก
ชรา 0,ว.,แก่ด้วยอายุ คร่ำคร่า ทรุดโทรม
ชราธัมม์ 0,ว.,มีความคร่ำคร่าเป็นธรรมดา
ชวด 0,ก.,ชวด พลาด ผิด ไม่สำเร็จ ไม่ถูก ขาด ไม่ครบ
ชวน 0,ก.,จูงใจ โน้มนำ
ช่วย 0,ก.,ส่งเสริมเพื่อให้สำเร็จประโยชน์
ช้วย 0,ว.,เฉียง เอียง เช่น วันตกช้วยไต้ - ตะวันตกเฉียงใต้
ชวะ 0,ก.,แฉะ พุพอง
ชวัก 0,ก.,ทิ่ม แทง จวก แยงด้วยไม้ยาว
ชว่า 0,ก.,แผ่ออก กระจายออกรอบตัวอย่างหมึกซึมบนผืนผ้า
ชวาก 0,น.,(ล.) มันมือเสือ มันนก
ชวาก 1,ก.,ขุดโพรงให้กว้างออกไป
ชอ 0,น.,วิธ๊ปรุงอาหารน้ำอย่างหนึ่ง
ชอ 1,น.,บริเวณที่เป็นมุมกว้างมักหมายถึงที่ซึ่งอยู๋ห่างออกไปจากผู้ค้นมาก
ชอ 2,ว.,อยู่ไกลจากที่ชุมชนหรือไกลจากที่คนผ่านไปมา
ช่อ 0,น.,ธงสามเหลี่ยมมี ๒ ชนิด คือ ขนาดใหญ่มักใช้เป็นธงนำกระบวนแห่เรียกว่า ช่อช้าง ขนาดเล็กประมาณ ๔ คูณ ๘ นิ้ว เรียกว่า ช่อน้อย ซึ่งมักใช้ประดับทั่วไป
ช่อ 1,น.,ใบไม้หรือช่อไม้ที่แตกออกเป็นพวง
ช่อ 2,ล.,ใช้เรียกดอกไม้ขนาดเล็กที่เป็นกลุ่มพวง
ช้อ 0,ก.,ต้มเคี่ยว โดยใช้ไฟอ่อน
ช็อก 0,น.,มุมที่มีลักษณะแคบ ซอกระหว่างฝาทั้งคู่จดกัน ถ้ามุมอย่างมุมเมืองใช้ แจ่ง
ช็อก 1,ก.,ขุดเซาะ สับซอย
ช็อกง็อก 0,ว.,ลักษณที่ของเล็กงอ ชู หรือยกสูง
ชอกวอก 0,ว.,สีขาวโพลน ใช้กับสิ่งที่มีขนาดเล็ก
ชอง 0,น.,เตียง เตียงนอน
ชอง 1,น.,ช่อง - บ้าน เช่น เมือบ้านเมือช่อง
ชอง 2,น.,วัด (ภาษาไทใหญ่ เลือนมาจากภาษาพม่าว่า เจ๊าะ ซึ่งแปลว่าวัด)
ช่อง 0,น.,ที่ว่างซึ่งเป็นทางเข้าออกได้
ช่อง 1,น.,โอกาส วิธีการ
ช้อง 0,น.,ผมที่ทำเป็นช่อหรือม้วนสำหรับเสริมทรงผมสตรีให้ใหญ่หรือสูงขึ้น
ช่องไช้ 0,น.,วิธีใช้ ทางที่จะใช้ประโยชน์จากสิ่งของ
ชองทาน 0,น.,แคร่หามมีลักษณะเป็นกระบะกว้างยาวประมาณ ๖๐ เซนติเมตร มีขาตั้งสี่ขาสูงระดับเอว มีคานสำหรับหามใช้บรรจุเครื่องไทยทานไปถวายในงานวัด เป็นต้น
ชองนอน 0,น.,เตียงนอน
ช้องนางคลี่ 0,น.,ต้นยมโดย
ชองพารา 0,น.,ปราสาท มณฑป ที่สร้างขึ้นเป็นการชั่วคราวเพื่อถวายทานในงานเทศกาลต่าง ๆ ตามประเพณีของชาวไทใหญ่
ช่องรอย 0,น.,พิรุธ แยบคาย แนวทาง
ชองอ้อย 0,น.,แคร่หามมีลักษณะเป็นกระบะกว้างยาวประมาณ ๖๐ เซนติเมตร มีขาตั้งสี่ขาสูงระดับเอว มีคานสำหรับหามใช้บรรจุเครื่องไทยทานไปถวายในงานวัด เป็นต้น
ช่อช้าง 0,น.,(ดู - ช่อ) มักใช้คู่กับธงล้านนาเรียกว่าทุง เป็น ช่อช้าง ทุงชัย
ชอด 0,ก.,กริยาที่ของเหลวข้นพุ่งออกจากที่จำกัดด้วยความเร็ว
ช็อดล็อด 0,ว.,โปร่งบาง ลักษณะของสิ่งที่เล็กซึ่งค่อนข้างสูงหรือยาวในประเภทของมัน
ชอน 0,ก.,เทียม - เอาสัตว์พาหนะผูกเข้ากับยาน เคลื่อนไป เรื่อยๆ เช่น ขี่รถลากชอนไพ
ช่อน 0,น.,ปลาช่อน ทั่วไปใช้ ปลาหลิม
ช่อน 1,ว.,มักใช้ประกอบคำ ล่น เป็น ล่นช่อน - วิ่งซ่อกๆ
ช้อน 0,น.,ช้อน
ช้อน 1,ก.,ช้อน
ชอนซาย 0,น.,ปลาช่อนทราย (ดู - ชอน)
ชอบ 0,ก.,พอใจ ถูกใจ เหมาะ ถูกกัน
ชอบ 1,ว.,ดีงาม เหมาะสม
ชอบ 2,ว.,ผอม
ชอบเนื้อเพิงใจ 0,ก.,ถูกอกถูกใจ
ชอบเพิงควร 0,ว.,เหมาะสม สอดคล้องรับกันดี
ช่อผ้า 0,น.,ธงสามเหลี่ยมขนาดเล็ก ทำด้วยผ้า
ช่อฟ้า 0,น.,ช่อฟ้า - ชื่อตัวไม้ที่ติดอยู่เหนือบริเวณหน้าบันของโบสถ์ หรือวิหาร เป็นต้น มีรูปเหมือนหัวนาคชูขึ้นเบื้องบน
ชอม 0,ว.,ตาม ติดตาม ด้วย
ชอม 1,ว.,เสีย
ช้อม 0,ว.,เรียว แคบเข้าไปหรือลงไปตามลำดับ
ชอมรอย 0,ก.,ตามรอย สะกดรอย
ชอย 0,ก.,โชย
ชอย 1,ก.,รับเอาผลประโยชน์ไปทีละเล็กละน้อย
ช่อย 0,ก.,ช่วย ช่วยเหลือ (ใช้น้อย)
ช้อย 0,น.,มาตราชั่งน้ำหนักฝิ่นเท่ากับ ๑.๖ กิโลกรัม
ช้อย 1,ก.,ขับลำนำเพลงจากคำประพันธ์ประเภทคร่าวหรือ คร่าวซอ หรือโคลงบางประเภท
ช้อย 2,ว.,งาม ดี วิเศษ โดยมากมักใช้ประกอบกับชื่น เป็น ชื่นช้อย หรือ ช้อยชื่น ทั่วไปมักเขียน จ๊อย
ช้อยชื่น 0,ก.,สดชื่น งดงาม เบิกบาน
ช้อยชุ่ม 0,ก.,สดชื่น งดงาม เบิกบาน
ช้อยนาง 0,น.,ต้นน่อง
ช้อยนาง 1,น.,เถาย่านาง
ชอยวอย 0,ว.,ลิบตา สุดสายตา
ช่อแร 0,น.,ธงสามเหลี่ยมทำด้วยแพร (ถ้าอ่านตามแบบสำนวนเทศน์จะอ่าน ช่อแล ถ้าอ่านแบบชาวบ้านจะอ่าน ช่อแฮ)
ช่อล่อ 0,น.,ต้นอินทนิล
ช่อล่อ 1,ว.,ลักษณะของขนาดเล็กที่ค้างคาอยู่ อย่างใบกล้วยอ่อนค้างคาอยู่ที่คอกล้วยหรือจิ้งหรีดคาอยู่ปากรู ถ้าของขนาดใหญ่ใช้ โชะโละ
ชะ 0,ก.,รังเกียจ
ชะกว้าย 0,ว.,จระกล้าย - เฉยๆ ทำเป็นเฉย
ชะกาว 0,น.,เมืองน่าน
ชะกาว 1,น.,ชื่อคนในท้องถิ่นเมืองน่าน
ชะคริวหลัง 0,น.,กระโดงหลัง ครีบหลังของปลา
ชะแคร่ 0,น.,เบื้อ - สัตว์ในนิยาย เล่ากันว่ามีรูปร่างคล้ายคนแต่ไม่มีสะบ้าหัวเข่า วิ่งเร็ว พูดไม่ได้ (สิงฆะ) ในเวสสันดรชาดก เรียกว่า แอ่นจะแคร่ (บุญคิด)
ชะช่อน 0,ว.,งดงาม
ชะช่อน 1,ว.,งดงาม ดีงาม
