คำ,POS,ความหมาย
ซกทก 0,ว.,ซบเซา จับเจ่า มักตามหลังคำว่า เหงา แปลว่า ซึมเซา ใช้กับสิ่งที่มีขนาดใหญ่
ซง 0,ก.,บัง แอบ แฝง
ซง 1,ว.,อยู่ในที่ไกลผู้คน
ซงซ่อน 0,ก.,ซุกซ่อน หลบลี้
ซด 0,ก.,ซุ้อน - เรียงกันเป็นชั้นๆ เช่น จุมปากลีบซด - จำปากลีบซ้อน
ซด 1,ว.,จำนวนขั้นของหลังคาวิหาร หรือล้านนาแบบล้านนา เช่น วิหาร ๓ ชั้น เรียกว่า วิหาร ๓ ซด
ซน 0,ก.,ผลัก ดัน โผล่ออกมา
ซ้น 0,ก.,เร่งเร้า ยัด ดันเข้า ขับเข้า กระทุ้ง ทำให้เร็วขึ้น
ซ้น 1,ก.,เคล็ด - กระดูกเคลื่อน เช่น แขนซ้น
ซนไฟ 0,ก.,ซนไฟ - ดันฟืนที่ไหม้ไฟบ้างแล้วเข้าไปในกองไฟ
ซบ 0,ก.,ฟุบหน้าลงไป
ซบ 1,ว.,หงอยเหงา ไม่เบิกบาน
ซบเซาเหงาหมอง 0,ว.,หงอยเหงา ไม่เบิกบาน
ซบเซาเหงาอยู่ 0,ว.,หงอยเหงา ไม่เบิกบาน
ซวก 0,ก.,กระซวก กระหน่ำ ทิ่มหรือแทงลงไป
ซวก 1,ก.,ล้างชำระ ซัก - อาการที่นำเอาวัสดุไปจุ่มน้ำขึ้นๆ ลงๆ
ซวง 0,ก.,โอบ กอด
ซวง 1,ก.,บางแห่งแปลว่า สละ ละทิ้ง ซึ่งน่าจะเป็นความหมายของ ซวาง
ซวด 0,ก.,ชวด หมดหวัง ผ่านไปแล้ว
ซ่วย 0,ก.,ล้าง ชำระด้วยน้ำ
ซ่วย 1,ก.,ล้าง ชำระให้สะอาดด้วยน้ำ
ซ้วย 0,ว.,เอียง เฉียง ไม่ตรงตามกำหนด
ซ้วย 1,ว.,ลักษณะที่เป็นมุมแหลมออกไป
ซ่วยสี 0,ก.,ชำระ ขัดสี
ซวะ 0,ก.,ชะ ชำระ ล้างข้าวที่หม่าหรือแช่ไว้เพื่อให้หมดกลิ่นก่อนนำไปนึ่ง
ซวะ 1,ก.,วาง สละ ละไว้
ซวะไซว้ 0,ว.,ขวักไขว่ สับสน รวดเร็ว บ่อยๆ
ซวะไซว้ 1,ว.,บ่อยๆ ขวักไว่ สับสน รวดเร็ว
ซว่า 0,ว.,ซ่า ซู่
ซว้า 0,ก.,ผัดโดยใช้น้ำมันหรือน้ำเล็กน้อย ตั้งไฟแล้วพลิกกลับไปมา
ซว้า 1,ก.,อาการที่ี่นำเอาอาหารที่ปรุงแล้วลงผัดในน้ำมันร้อนเป็นการปรุงรสอีกครั้งหนึ่ง
ซวาง 0,ก.,สละ ละ ปล่อย วาง
ซว้าง 0,ก.,ซ้อน - เรียงกันเป็นชั้นๆ เช่น จุมปากลีบซด - จำปากลีบซ้อน
ซวาง 1,ก.,สละ วาง ปล่อย
ซวาด 0,ก.,โฉบ เฉี่ยว เฉียด
ซวาด 1,ก.,โชยกลิ่น
ซว่าน 0,ก.,กระวนกระวาย กระสับกระส่าย พล่านพลุ่งพล่าน วุ่นวาย
ซว่าน 1,ก.,ซ่าน แผ่ กระจาย ฟุ้ง
ซว่านสู้ 0,ก.,ใส่จริตแสดงท่าทีให้รู้ว่าพอใจ ร่าน
ซว้าน้ำมัน 0,ก.,อาการที่ี่นำเอาอาหารที่ปรุงแล้วลงผัดในน้ำมันร้อนเป็นการปรุงรสอีกครั้งหนึ่ง
ซวาม 0,ว.,คลำ ใช้มือควานหาหรือสัมผัสในที่มืดหรือมองไม่เห็น
ซอ 0,น.,การขับโต้ตอบระหว่างชายหญิงโดยมีปี่ชุดเป่าคลอ
ซ้อ 0,น.,ต้นซ้อ (ลป.)
ซอก 0,น.,บ้าง ปลอกรัด
ซอก 1,ก.,ย่ำ ซอยเท้า เหยียบลงซ้ำๆ ในที่เดิม กระทุ้ง กระหน่ำ
