คำ,POS,ความหมาย
ญวน 0,น.,ชื่อประเทศและชนชาติเวียดนาม ชาวล้านนาเรียก ญวน ว่า แกว
ญัตติ 0,น.,การรู้ การประกาศให้รู้
ญาณทัสสนะ 0,น.,ความรู้ ความเห็น
ญาณะ 0,น.,ความรู้ ความฉลาด ความเข้าใจ
ญาติ 0,น.,คนในวงตระกูลที่นับรู้กันได้ทางเชื้อสายฝ่ายพ่อหรือแม่
ญาติกา 0,น.,ญาติ พี่น้อง
ญาน 0,น.,ความรู้ที่ได้จากอำนาจของสมาธิ
ญายปฏิปันนะ 0,ก.,ปฏิบัติในทางที่ถูก ปฏิบัติเพื่อความรู็
ญายะ 0,น.,ระเบียบวิธี
ญายะ 1,ว.,เพื่อความรู้
ญิง 0,น.,หญิง สตรี (ศิลาจารึกวัดเชียงมั่น)
ญิบ 0,ว.,สอง เช่น ญิบหมื่น - สองหมื่น (จารึกที่จารด้วยอักษรฝักขาม)
ญิบ 1,น.,จำนวนสอง
ญี่ 0,น.,จำนวนสอง
ญี่ปุ่น 0,น.,ชื่อประเทศและชนชาติญี่ปุ่น
เญือง 0,น.,เลียงผา
ไญยยธัมมะ 0,น.,ธรรมที่ควรรู้
