คำ,POS,ความหมาย
ดก 0,ก.,กระดก ยกขึ้นยกลง โอนไปเอนมา
ดก 1,ว.,มาก มากกว่าปรกติ (มักใช้กับสิ่งที่เกิดตามธรรมชาติอย่างมะม่วงดก)
ดกเด็ก 0,ก.,กระโดกกระเดก ยกขึ้นยกลง โอนไปเอนมา
ดกเด็ก 1,ว.,กระโดกกระเดก ยกขึ้นยกลง โอนไปเอนมา
ดง 0,น.,ป่า ป่าที่มีต้นไม้ใหญ่ขึ้นหนาแน่น ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่น เช่น ดงกล้วย ดงหญ้าคา
ด้ง 0,น.,กระด้ง
ดงกัมม์ 0,น.,ป่าหรือส่วนของป่าที่กำหนดไว้เป็นสถานที่ศักดิ์สิทธิ์ ใช้เป็นที่เซ่นไหว้ผีบ้านหรือผีเมือง เช่น ดงปู่และย่าที่เชิงดอยสุเทพ ด้านใต้ของมหาวิทยาลัยเชียงใหม่ จ.เชียงใหม่
ดงก่ำ 0,น.,ดงทึบ
ดงเขียว 0,น.,ดงทึบ ป่าที่เขียวสะพรั่ง
ดงดำ 0,น.,ดงทึบ ป่าทึบ
ดงดำ 1,ลัก.,ชื่อไม้พุ่มยืนต้นชนิดหนึ่ง
ดงเดือด 0,น.,สันนิษฐานว่าเป็นเครื่องดนตรีชนิดหนึ่ง (จารึกที่วัดพระยืนจังหวัดลำพูน พ.ศ. ๑๙๑๓)
ดงทาก 0,น.,บริเวณที่มีทากมาก ตามพงหญ้ารกชื้นแฉะ
ดงป่าไม้ 0,น.,ดงทึบมีต้นไม้มาก
ดดๆ ดงๆ 0,ว.,รีๆ ขวางๆ เงอะๆ งะๆ
ดน 0,ก.,โดน - กระทบกระทั่ง กระแทก ชน
ด้น 0,น.,ชื่อโคลงชนิดหนึ่ง
ด้น 1,ก.,ดั้น ฝ่าไป เดินไป ซอกซอนไป
ด้น 2,ก.,ใช้ด้ายเย็บเนาผ้า
ด้นๆ หนๆ 0,ก.,เดินหน้าถอยหลัง รวนเร รีรอ
ดม 0,ก.,ดม บางทีใช้ ชม (อ่านว่า จม)
ดวง 0,ลัก.,ลักษณะนามที่ใช้เรียกสิ่งที่มีค่ามาก เช่น แก้วมณี แหวน พระธรรม คัมภีร์
ดวง 1,น.,ดอกไม้
ดวง 2,น.,หญิงคนรัก
ด่วง 0,ก.,ดิ้น กระเสือกกระสน
ด้วง 0,น.,ตัวหนอนของแมลงก่นอที่จะเป็นดักแด้ โดยมากเป็นอาหารได้
ดวงปลี 0,น.,ปล้องไฉน - ยอดเจดีย์ที่มีสัณฐานคล้ายปลีกล้วย
ดวงอาชญา 0,น.,กฎหมาย หนังสือสำคัญ
ด่วน 0,น.,หมอช้าง (ธรรมราชานุวัตร)
ด่วน 1,ว.,รวดเร็ว โดยพลัน ทันที
ด่วนดั้น 0,ก.,เดินทางโดยรวดเร็วหรือโดยทันที
ด้วย 0,ว.,เป็นคำแสดงกริยารวมหรือเพิ่ม มักใช้ตามหลัง กับ เป็น กับด้วย
ด้วยมีแท้ 0,สัน.,ตามจริงแล้ว อันที่จริง มักใช้เป็นคำขึ้นต้นและมักตามหลังศัพท์ภาษาบาลีว่า หิ เป้น หิ ด้วยมีแท้ - ตามจริงแล้ว
ดวากๆ 0,ว.,อาการเดินส่ายไปมา ส่ายอาดๆ มักใช้ตามหลังกิริยาเดิน เช่น เทียวดวากๆ - เดินส่ายอาดๆ
ดว้ายๆ 0,ว.,อาการเคลื่อนไหวที่นุ่มนวลสง่างามอย่างที่สตรีกรายแขนเดินหรืออาการเดินของช้าง
ดอ 0,ว.,เร็วกว่าปรกติ เช่น เข้าดอ - คือข้าวที่สุกเร็วกว่าปรกติ คือ ข้าวเบา
ดอก 0,น.,ดอกไม้
ดอก 1,น.,ลวดลายที่ใช้ในการประดับตกแต่ง
ดอก 2,น.,ดอกเบี้ย
ดอก 3,น.,เรียกไฟพะเนียงหรือดอกไม้ไฟชนิดหนึ่งว่า บอกไฟดอก
ดอก 4,น.,คำนำหน้าเรียกไม้ดอก
ด็อก 0,น.,ตุ้มหู จี้หู - เครื่องประดับหูชนิดห้อยเป็นตุ่มกลม
ดอกก้าน 0,น.,ก้าน - ส่วนที่ต่อดอกหรือใบกับกิ่งไม้หรือสิ่งที่คล้ายคลึงเช่นนั้น กระดูกกลางของใบไม้บางอย่าง คันเบ็ด เช่น จ่อมเบ็ดจ่อมก้าน บัญชี อย่างบัญชีรายชื่อ เรียกบุกเกลี้ยง - ไม้ล้มลุก ชนิดหนึ่ง
ดอกก้าน 1,น.,ตีนบุกเกลี้ยง
ดอกขาม 0,น.,ดอกมะขาม
ดอกซอน 0,น.,ดอกมะลิ (ธรรมราชานุวัตร)
ดอกด้าย 0,น.,หงอนไก่ไทย
ดอกฟ้า 0,น.,ใช้เรียกสตรี (โคลงนิราศหริภุญชัย) หญิงที่ถือว่ามีฐานะสูงกว่าชายที่หมายปอง
ดอกไม้ไหว 0,น.,ชื่ื่อพรรณไม้ล้มลุกชนิดหนึ่ง
ดอกไม้ไหว 1,น.,พวงดอกไม้เงินทองประดับมวยผม
ดอกละคอน 0,น.,ทองอุไร
ดอกสามสี 0,น.,ต้นพุดตานสามสี
ดอกหมาก 0,น.,จั่นหมาก - ดอกของต้นหมาก
ดอกหมาก 1,น.,เกลื้อน ชนิดหนึ่งขึ้นตามตัวตามหลังเป็นผื่นขาวๆ มักเรียกคู่กับกลากชนิดหนึ่งว่า ขี้เสี้ยนดอกหมาก ขี้ขากปากดอ
ดอกหิน 0,น.,ปะการัง
ด็อกหู 0,น.,ต่างหู ตุ้มหู
ด็อกหู 1,น.,ตุ้มหู จี้หู - เครื่องประดับหูชนิดห้อยเป็นตุ่มกลม
ด็อกหู 2,น.,ตุ้มหู
ดอกไหม่ 0,น.,ดอกชบา
ดอกไหม่ส้อย 0,น.,ดอกพู่ระหง
ดอกอาว 0,น.,ดอกกระเจียว
ดอกอุน 0,น.,ชื่อพรรณไม้พุ่มชนิดหนึ่ง ดอกสีขาว ละม้ายดอกเข็ม กลิ่นหอม
ดอกอุน 1,น.,พวงไข่มุก - ชื่อพุ่มจากต่างประเทศ สูงขนาดท่วมศีรษะ กลิ่นไม่หอม
ดอง 0,น.,การแต่งงาน การเกี่ยวเนื่องกันโดยการแต่งงาน
ดอง 1,ก.,แช่หรือมักผลไม้หรือสิ่งต่างๆ ในน้ำส้มหรือน้ำเกลือ เป็นต้น
ดอง 2,ก.,เรียกวิธีห่มผ้าของภิกษุสามเณรโดยปิดบ่าซ้าย เปิดบ่าขวา ว่า ดองผ้า
ด้อง 0,ว.,ผอมโซ อดอยาก
ด้อง 1,ว.,เรียกสุนัขตัวเมียที่เพิ่งคลอดลูกและฟอมโซว่า หมาแม่ด้อง
ดองดึง 0,น.,เถาดองดึง
ด้องแด้ง 0,ว.,กร้องแกร้ง - อาการเดินที่ทำเอวคดไปมาเรียกว่า ย่างด้องแด้ง
ดอด 0,ก.,แอบเข้าไป สอดเข้าไป
ดอน 0,น.,ที่สูงซึ่งมีลักษณะตรงข้ามกับที่ลุ่ม โคก สัน เนิน
ด่อน 0,น.,ส่วนปลายที่ยื่นแหลมออกมาของเพลาเกวียน ปฏัก ขอช้าง
ด่อน 1,ว.,เผือก ขาว ด่างขาว มักใช้กับสีของขนหรือผม
ดอนซาย 0,น.,เกาะทรายกลางน้ำ ชายหาด
ดอนหัวโท่ง 0,น.,ที่สูงซึ่งเป็นที่หัวไร่ปลายนา
ดอม 0,ก.,ทิ้ง ปล่อย
ดอม 1,ว.,เปล่า ดาย
ดอม 2,บุพ.,กับ ด้วย
ด้อม 0,ก.,สะกด - ตามไปติดๆ โดยไม่ให้รู้ตัว
ด้อม 1,ว.,ใช้เติมหลังคำที่มีความหมายว่า สั้น ใช้กับของขนาดกลาง เช่น แขนเสื้อสั้นก้อมด้อม
ด้อมๆ 0,ว.,ไปเรื่อยๆ มักใช้ตามหลังคำกิริยาบอกการเดิน เช่น หมาหางกิดไต่ฅันนาด้อมๆ หมาหางก้อมไต่ฅันนาดิดๆ - หมาหางสั้นเดินตามคันนาไปเรื่อยๆ
ดอย 0,น.,ภูเขา ภูเขาสูง
ด้อย 0,ก.,เป็นด้อย
ด้อย 1,ว.,อาการเคยชินในทางที่ไม่ดี เช่น กินกับเติบ หรือพูดโผงผางจนเคยตัว เรียกว่า เปนด้อยปาก
ด้อย 2,ว.,ต่ำ เลว
ด้อย 3,ว.,(ไทยใหญ่ หลอย เท่ากับ ด้อย แปลว่า กิน) กินจุบกินจิบ
ดอยสะเด็น 0,น.,ต้นมะขามป้อมดง
ด่อยๆ 0,ว.,สั่นระริก เช่น มือสั่นด่อยๆ - มือสั่นระริก
ดะ 0,ก.,สับ ฟัน อย่างฟันต้นไม้ให้เอนล้มลงไป โดยมากหมายถึงการทำให้เอนล้มลงทางด้านหลัง
ดะ 1,ว.,อาการร้าวของไม้
ดะ 2,น.,ชื่อไม้พุ่มยืนชนิดหนึ่ง
ดะปาก 0,ก.,กระเดาะปาก
ดัก 0,ก.,ดัก - วางเครื่องดักสัตว์มีบ่วงแร้วเป็นต้นเพื่อให้สัตว์มาติด
ดัก 1,ก.,ดิ่งลงไป อย่างดิ่งจมลงไปในน้ำ
ดัก 2,ก.,เงียบ ไม่ส่งเสียง
ดัก 3,ว.,นิ่ง เงียบ
ดักคกงก 0,ว.,นิ่งเฉย เงียบกริบ ไม่ปริปาก
ดักคึกงึก 0,ว.,นิ่งเฉย เงียบกริบ ไม่ปริปาก
ดักจื้อกื้อ 0,ว.,นิ่งเฉย เงียบกริบ ไม่ปริปาก สงบนิ่ง
ดักจื้อกื้อ 1,สำนวน.,ดักจื้อขื้อ ดั่งลื้อฟังธรรม
ดักปิ้ง 0,ว.,เงียบกริบ ไม่มีเสียง
ดักปิ้งเอย็นวอย 0,ว.,เงียบกริบ เงียบเหงา ไร้ศัพท์สำเนียง
ดักหูเอยนไจ 0,ว.,สงบเงียบ ไร้ความสับสนวุ่นวาย
ดักเอยน 0,ว.,สงบ เงียบสงบ ไม่วุ่นวาย
ดัง 0,น.,จมูก
ดัง 1,น.,จมูกซุง ช่องที่เจาะหัวซุงเพื่อสะดวกแก่การชักลาก
ดัง 2,น.,รูที่เจาะบนไม้เครื่องเรือนเพื่อรองรับเดือย
ดัง 3,ก.,ดัง - บังเกิดเสียงขึ้นหรือทำให้เกิดเสียงขึ้นอย่างแรง
ดัง 4,ก.,จุดไฟ ก่อไฟอย่างติดไฟในเตา
ดั่ง 0,น.,ด่าง - น้ำขี้เถ้าที่เกรอะหรือแช่ไว้
ดั่ง 1,ว.,เช่น อย่าง
ดั่ง 2,น.,น้ำขี้เถ้าที่เกรอะไว้ สมัยก่อนใช้ซักผ้า
ดั้ง 0,น.,รููที่เจาะบนปลายไม้เครื่องเรือนเพื่อรองรับเดือย
ดั้ง 1,น.,เรียกเสาที่ตั้งบนขื่อสำหรับรับอกไก่ว่า เสาดั้ง
ดังซิ้ง 0,ว.,จมูกโด่ง
ดังโซ้ง 0,ว.,จมููกโด่ง
ดั้งเดิม 0,ว.,เก่าก่อน เก่าแก่ เดิมที
ดั่งนี้ 0,ว.,ดังนี้ อย่างนี้ เช่นนี้
ดังบืด 0,น.,จมูกบาน
ดังแพบ 0,น.,จมูกแฟบ จมูกไม่มีดั้ง
ดังไฟ 0,ก.,ก่อไฟ จุดไฟในเตา
ดังแม็บ 0,น.,จมูกยุบ จมูกแฟบ
ดังโม 0,น.,จมูกโต
ดังแหม็บ 0,น.,จมูกยุบ จมูกแฟบ
ดั่งอั้น 0,ว.,เช่นนั้น อย่างนั้น
ดัด 0,ก.,ทำให้คดหรือทำให้ตรงตามความต้องการ
ดัดท้าย 0,ก.,ถือท้าย คัดท้าย
ดัดท้าย 1,ก.,ถือท้ายหรือคัดท้ายเรือ
ดัดนิสัย 0,ก.,ทำให้มีการเปลี่ยนพฤติกรรมที่ไม่ดี
ดัดนิสัย 1,ก.,ทำอย่างใดอย่างหนึ่งให้รู้สึกตัว
ดัดสลิด 0,ก.,ดัดจริต - แสร้งทำกิริยาหรือวาจาให้เกินสมควร
ดัดสันดาน 0,ก.,ทำอย่างใดอย่างหนึ่งให้รู้สึกตัว
ดัน 0,น.,รอยที่นูนขึ้นเป็นทางยาวบนร่างกาย
ดัน 1,ก.,เคลื่อนที่ไปข้างหน้าด้วยกำลัง
ดั้น 0,น.,เรียกบริเวณที่สายน้ำมุดดินด้นไปโผล่และไหลอีกด้านหนึ่งว่า น้ำดั้น
ดั้น 1,ก.,ผ่าไป มุดด้นไป ฝ่าไปในที่รกหรือที่ลำบาก มักใช้กับ ด้น เป็น ด้นดั้น หรือ ดั้นด้น
ดั้น 2,น.,หนังสือลับ การส่งข่าว
ดันขา 0,น.,ไข่ดัน
ดันขา 1,น.,อาการที่ไข่ดันบวม
ดั้นฝ้า 0,ก.,ดั้นเมฆ ฝ่าลอยไหลไปในเมฆ
ดับ 0,น.,ลำดับ
ดับ 1,น.,เรียกข้างแรมว่า เดือนดับ
ดับ 2,น.,คำกำกับในการนับชื่อวันหรือปีในปฏิทิน ตรงกับเลข ๗
ดับ 3,ก.,ทำให้สูญไป ทำให้ระงับไป อย่างดับไฟ
ดับคี่ 0,น.,เรียกวันแรม ๑๕ ค่ำ
ดับคู่ 0,น.,เรียกวันเดือนดับเป็นวัน ๑๕ ค่ำ
ดับพิษ 0,น.,ต้นระงับพิษ
