คำ,POS,ความหมาย
ตก 0,ก.,หล่น - ตกลงมา ร่วงลง
ตก 1,ก.,กิริยาที่ลดลงสู่ระดับต่ำอย่างฉับพลัน ลดลง ขาดไป สิ้นสุด
ตก 2,ก.,มอบให้ มอบหมาย จัดแจง เช่น ตกแต่งเครื่องบูชา
ตก 3,ก.,ถึงที่ ถึงคราว เช่น ตกก่อนเป็นขุน ตกลุนเป็นไพร่
ตก 4,สำนวน.,ถึง ถึงกำหนด ถึงวาระ เช่น ตก วันลูน - ต่อมาภายหลัง
ตก 5,ก.,เพาะข้าวลงในตากล้า นำข้าวกล้าที่ถอนมามัดแล้วโยนลงไปในนาระยะห่างๆ เพื่อลดภาระคนปลูกเรียกว่า ตกเข้า หรือ ตกกล้า
ตก 6,ก.,กำหนด เกณฑ์
ตก 7,ก.,เรียกอาการที่สีละลายหรือจางไปจากผ้า เป็นต้นว่า สีตก
ตก 8,ว.,ตลอด บรรลุ สำเร็จ เช่น คิดบ่ตก คิดตัดสินใจยังไม่สำเร็จ
ตกขะพ่า 0,ก.,ตกประหม่า ตกตะลึง ตกใจ
ตกขัว 0,ก.,ตกจากสะพาน
ตกขัวตางอาบน้ำ 0,สำนวน.,ตกกระไดพลอยโจน
ตกเข้า 0,ก.,ให้เงินไปก่อนแล้วคิดเอาข้าวทีหลัง
ตกเขียว 0,ก.,ให้เงินไปก่อนแล้วคิดเอาข้าวทีหลัง
ตกคะพ่า 0,ว.,ตกตะลึง
ตกคะพ่า 1,ก.,ตกประหม่า ตกตะลึง ตกใจ
ตกเครือ 0,ก.,ออกเครือ (ใช้แก่กล้วย)
ตกงวง 0,ก.,ออกรวง (ใช้แก่ข้าว)
ตกจำ 0,ก.,ใช้ยอตกปลาอยู่ในที่ใดที่หนึ่งต่อเนื่องกันเป็นเวลานาน
ตกจำ 1,ก.,ยกยอ
ตกจำ 2,ก.,จับปลาโดยใช้ยอเป็นอุปกรณ์
ตกไจ 0,ก.,สะดุ้ง มักใช้รวมกับคำว่า ตกอกตกใจ
ตกต่า 0,ก.,มอบหน้าที่ให้ทำในจุดนั้น
ตกต่าเพิ่นเปนดีใคร่หัว ตกต่าตัวเปนดีใคร่ไห้ 0,สำนวน.,หัวเราะเยาะเมื่อเห็นคนอื่นพลาด ถึงคราวตัวเองพลาดแทบร้องไห้
ตกแต่ง 0,ก.,ตกแต่ง ประดับประดา
ตกแต่งรังดา 0,ก.,ตกแต่ง ประดับ จัดเตรียม
ตกแต่งแรงดา 0,ก.,ตกแต่ง ประดับ จัดเตรียม
ตกไต้ขึ้นเหนือ 0,ว.,ไม่ลงกัน
ตกทุกข์ได้ยาก 0,ก.,ลำบาก ยากจน ตกระกำลำบาก
ตกธรรม 0,ก.,การเอาธรรมมอบให้พระหรือเณรเทศน์ การหาเจ้าภาพกัณฑ์เทศน์ในระหว่างพรรษา หรือในประเพณีตั้งธรรม
ตกปล้อง 0,ว.,(กวีนิพนธ์) คำยกย่องหรือบรรยายว่าหญิงงามมีลำคอเป็นปล้อง ๆ ลดหลั่นกัน
ตกล่อย 0,ว.,ตกต่ำ ได้รับความยากลำบาก
ตกวง 0,ก.,ล้อมวง
ตกวันลูน 0,สัน.,ถึงวันต่อมา ภายหลัง
ตกสลั้ง 0,ก.,งงงวย ชะงัก จังงัง
ตกสะกึด 0,ก.,ตกตะลึง ชะงัก จังงัง
ตกสะเก็ด 0,ก.,ตกตะลึง ชะงัก จังงัง
ตกสะพ่า 0,ก.,ตกตะลึง ชะงัก จังงัง ดู ตกขะพ่า
ตกสะหลั้ง 0,ก.,งงงวย ชะงัก จังงัง
ตกเสิ็ก 0,ก.,ทำศึก ทำสงคราม
ตกหม้อหน้ารก 0,ก.,ตกนรก (หม้อหน้ารก หม้อนารก ว่า ขุมนรก)
ตกหล่น 0,ก.,ขาดตกไป
ตกหล้มตกจม 0,ก.,ล่มจม พินาศ สำนวน. ล่มหัวจมท้าย
ตกอยา 0,ก.,ให้ยา จ่ายยา
ตง 0,น.,ไม้ตง
ตงคาง 0,น.,ขากรรไกร กระโดงคาง
ตงดัง 0,น.,ขื่อจมูก สันจมูก
ตงเมืองลั่น 0,ก.,แผ่นดินไหว แผ่นดินแยก
ตงเสี้ยง 0,ว.,ทั้งหมด ทั้งสิ้น
ตงเสี้ยง 1,ว.,ทั้ั้งหมด ทั้งสิ้น
ตด 0,น.,ตด ผายลม
ตด 1,ก.,ตด ผายลม
ตโต 0,บ.,แต่นั้น ถัดจากนั้น
ตโต 1,สัน.,แต่นั้น ถัดจากนั้น
ตถาคตะ 0,น.,ผู้ไปแล้วอย่างนั้น เป็นคำที่พระพุทธเจ้าทรงเรียกพระองค์เอง ตถาคต
ตทา 0,*น.,ในกาละนั้นเป็นคำขึ้นต้น
ตน 0,ก.,กรอก ใช้กับสัตว์ เช่น ตนยางัว - กรอกยาให้แก่วัว
ตน 1,ลัก.,ใช้เรียกพระพุทธเจ้า พระพุทธรูป พระสงฆ์ เทวดา ยักษ์ กษัตริย์
ตน 2,ก.,กรอก บังคับให้ดื่มอย่างกรอกยาวัวควาย เป็นต้น
