คำ,POS,ความหมาย
ถก 0,ก.,ถลก ถอน ดึง ดึงรั้งให้สูงขึ้นหรือให้หลุดจากที่
ถง 0,น.,ถุง ย่าม
ถง 1,ว.,หมกมุ่นอยู่กับเรื่องใดเรื่องหนึ่งในทางที่ไม่ดี เช่น ถงเหล้า - นักเลงสุรา
ถง 2,น.,นักเลง เช่น โถงเหล้า - นักเลงสุรา
ถงกระหนัน 0,น.,การถักทำขึ้นสำหรับบรรจุพระเครื่องหรือวัตถุมงคลประจำตัวเรียกว่า ถงสะชา
ถงกระหนัน 1,น.,ถุงหรือย่ามที่ใส่วัตถุมงคลหรือเครื่องราง
ถงขนัน 0,น.,การถักทำขึ้นสำหรับบรรจุพระเครื่องหรือวัตถุมงคลประจำตัวเรียกว่า ถงสะชา
ถงขนัน 1,น.,ถุงหรือย่ามที่ใส่วัตถุมงคลหรือเครื่องราง
ถงคะชา 0,น.,ถุงตะเครียว ถุงที่ถักด้วยด้ายหรือไหมเป็นตาโปร่งมีหูรูด
ถงคะชา 1,น.,ถุงตะเครียว
ถงเงินถงฅำ 0,น.,ถุงใส่เงินทอง นิยมใช้เป็นของขวัญในโอกาสต่าง ๆ ที่เป็นมงคล บางครั้งใช้เป็นเงินขวัญถุงให้คู่บ่าวสาวมักใช้ผ้าแดงเย็บ
ถงตีน 0,น.,ถุงเท้า
ถงเตี่ยว 0,น.,กระเป๋ากางเกง
ถงน่อง 0,น.,ถุงเท้า ถุงเท้ายาว
ถงบาตร 0,น.,ถลงบาตร - ถุงสำหรับใส่บาตรมีสายโยง
ถงเป้ง 0,น.,ถุงหรือย่ามบรรจุเงิน หรือเงินก้นถุง ย่ามบรรจุเงินตราหรือของมีค่า (เป้ง -นํ้าหนักที่ใช้ถ่วงตาชั่งแบบตราชู)
ถงเปอ 0,น.,ย่าม ย่ามสะพายขนาดใหญ่
ถงภ้าย 0,น.,นักเลงไพ่
ถงแม่ยิง 0,น.,นักเลงผู้หญิงเจ้าชู้
ถงลัวะ 0,น.,ย่ามแบบชาวลัวะ
ถงสะชา 0,น.,ถุงตะเครียว ถุงที่ถักด้วยด้ายหรือไหมเป็นตาโปร่งมีหูรูด
ถงสะชา 1,น.,ถุงตะเครียว
ถงห่อเข้า 0,น.,ถุงผ้าใส่ห่อข้าวสำหรับเดินางไกล ๆ ถุงย่ามเย็บด้วยผ้าขาวสำหรับใส่ห่อข้าวและอาหารให้คนตาย ชาวล้านนาจะให้คนคอนหรือสะพายนำหน้าศพไปป่าช้า
ถงหิง 0,น.,ร่างแหแบบที่ใช้คลุมผมสตรี (หิง - ตาข่ายชนิดละเอียด)
ถงเหล้า 0,น.,ขี้เมา นักเลงสุรา
