คำ,POS,ความหมาย
ทก 0,ก.,กระทก กระตุก ชักเข้ามาทันทีอย่างการตัดกล้วย โดยใช้ของมีคมผูกติดปลายไม้ส้าว
ทกตอง 0,ก.,ตัดเอาใบกล้วย โดยใช้ของมีคมผูกติดปลายไม้ส้าว
ทกโท 0,น.,ตุ๊กแก
ท่ง 0,ก.,ทุ่ง นา
ท่ง 1,น.,ทุ่ง
ท้ง 0,ก.,กระแทกขึ้นไป กระแทกออกไปด้านข้างหรือด้านบน
ท้ง 1,ก.,กระทุ้ง ทะลวง กระแทกขึ้นด้านบน
ท่งย่ง 0,ก.,ผุดขึ้น กระดกขึ้น
ทน 0,ว.,โทน เดี่ยว
ท้น 0,ก.,ท้น - นูนสูงขึ้นจนไหลทวนกลับไปอย่างน้ำท้นฝั่ง ขย้อน
ทบ 0,น.,เท่า - จำนวนที่เพิ่มขึ้นตามชิ้นส่วนของจำนวนเดิม เช่น ๓ ทบ
ทบ 1,ก.,พับ ทบ
ทบเท่า 0,ก.,ทบ เพิ่มขึ้นอีกเท่าตัว ทวี
ท่มท่ำ 0,ว.,ตูมตาม เสียงดังโครมคราม
ท่มท้ำ 0,ว.,ตูมตาม โครมคราม
ทมิละ 0,น.,ชนเผ่าหนึ่งอยู่ทางอินเดียตอนใต้ ชนเผ่าพื้นเมือง
ทมิฬะ 0,น.,ชนเผ่าหนึ่งอยู่ทางอินเดียตอนใต้ ชนเผ่าพื้นเมือง
ทมิฬะ 1,น.,ในตำนานของล้านนาใช้เรียก พวกลัวะ
ทรง 0,ก.,ทรง ดำรง รับ ได้รับ
ทรงคัพพะ 0,ก.,ทรงครรภ์ มีท้อง
ทรา 0,คำลงท้าย.,มักปรากฏในกวีนิพนธ์ เถิด เถิดรา แล้ว แล
ทรา 1,น.,อ่าน ทา
ทรา 2,น.,ชื่ออำเภอและแม่น้ำในจังหวัดลำพูน
ทราม 0,ก.,ประมาณ คาดคะเน
ทราม 1,ว.,ปานกลาง กำลังงาม อยู่ในระกว่าง เช่น เดือนยี่ สี่สามทรามหนาวด้วย พี่แฝงฅิงทวยเบียดยัด (คร่าวคำจ่มพญาพรหม)
ทราย 0,น.,ตามะแน - ชื่อกวางชนิดหนึ่ง
ทวง 0,น.,มาตราวัดปริมาตรเท่ากับครึ่งหนึ่งของผลมะตูม
ทวง 1,ก.,รองรับ อย่างเอาถังไปรองรับน้ำ
ท้วง 0,ก.,กระดิก เคลื่อนไหว
ท้วงติง 0,ก.,กระดิก เคลื่อนไหว
ท้วงทัก 0,ก.,ทักท้วง ติติง
ทวนตาม 0,ก.,ย้อนกลับ ทวนขึ้นไปสู่ต้นน้ำ
ท่วนเทียว 0,ก.,ท่องเที่ยว วนเวียนไปมาในสงสารวัฏ
ทวย 0,ก.,ตาม ติดตาม พร้อมกัน ด้วย
ทวย 1,ว.,ด้วย ตาม พร้อมกัน
ทวยรอย 0,ก.,สะกดรอย ตามรอย เอาแบบอย่าง
