คำ,POS,ความหมาย
ธชะ 0,น.,ธง เครื่องหมาย สัญลักษณ์
ธตรฐะ 0,น.,ชื่อท้าวมหาราชที่ดูแลทิศตะวันออกของเขาพระสุเมรุ เป็นหัวหน้าของเหล่าคนธรรพ์ หนึ่งในท้าวจตุโลกบาล
ธนะ 0,น.,ทรัพย์สิน เงินตรา
ธนู 0,น.,ธนูรูปวัวหรือควายที่ใช้ตอกสานหรือใช้ดินปั้นแล้วลงอาคมเพื่อต่อต้านศัตรู
ธนูสิง 0,น.,ธนูคู่บุญของตัวละครในชาดกเรียกว่า ธนูสิง หรือ ธนูสิงห์ ฝีมือยิงธนู ศิลปะการยิงธนู
ธมกรกะ 0,น.,กระบอกกรองน้ำของพระสงฆ์
ธมมกถา 0,น.,การกล่าวธรรม ถ้อยคำที่เป็นธรรม
ธรณี 0,น.,แผ่นดิน พื้นแผ่นดิน
ธรมาน 0,ว.,ยังดำรงชีวิตอยู่ มักใช้กับพระพุทธเจ้า
ธลาม 0,ว.,กำลังพอดี
ธอ 0,ก.,ภาชนะที่มีสิ่งของบรรจุอยู่
ธ็อก 0,น.,เงินตราชนิดหนึ่งทำด้วยเงิน มีลักษณะกลมแบนคล้ายลูกสะบ้า
ธ็อก 1,ก.,รอง หนุน แบก ใช้บ่ารับน้ำหนัก เช่น เอาบ่าธ็อก คือ เอาไหล่หนุน
ธ้องน้อง 0,ว.,โค้งหรือโก่งมาก ใช้กับสิ่งของขนาดเล็กอย่างคันเบ็ด มักใช้ร่วมกับคำว่า โก่ง เป็น โก่งธ้องน้อง
ธอน 0,ก.,ทอน - ตัดหรือบั่นให้เป็นท่อนๆ ทำให้สั้นลงหรือลดลง เพิ่มเงินให้ครบราคาของที่ตนมีส่วนอยู่นั้นเพื่อความเป็นเจ้าของโดยสมบูรณ์ หักเงินตามราคาแล้วคืนส่วนที่เหลือไป เช่น ทอนเงิน
ธอนไฟ 0,น.,ราไฟ ถอนฟืนออกจากเตาบ้าง
ธอรณี 0,น.,แผ่นดิน พื้นแผ่นดิน
ธอรณีสาร 0,น.,เสนียดจัญไร
ธอรมาน 0,ว.,ยังดำรงชีวิตอยู่ มักใช้กับพระพุทธเจ้า
ธอเหมี้ยง 0,น.,ภาชนะคล้ายไหข้าวทำด้วยไม้หรือไม้ไผ่สานแต่มีขนาดใหญ่กว่ามาก ใช้บรรจุเหมี้ยง
ธะล้อ 0,น.,เครื่องดนตรีคล้ายซอของไทยภาคกลาง
