คำ,POS,ความหมาย
นก 0,น.,นก
นก 1,ว.,คำขยายชื่อพรรณไม้ที่เกิดจากการที่นกนำมาทิ้งหรือถ่ายมูล มักมีผลเล็ก เช่น บ่าห่อยนก - มะระขี้นก
นกขุ้ม 0,น.,นกขุ้ม
นกขุ้ม 1,น.,ว่านชนิดหนึ่งเรียกว่า หวานนกขุ้ม
นกคะเตน 0,ก.,นกกระเต็น
นกเค้าแยก 0,น.,นกฮูกชนิดหนึ่ง
นกแซว 0,น.,นกแซงแซว
นกต่อ 0,น.,พ่อสื่อ แม่สื่อ คนที่ทำหน้าที่ติดต่อหรือชักจูงหลอกล่อคนอื่นให้หลงเชื่อ
นกเตน 0,น.,นกกระเต็น
นกแต้ 0,น.,นกต้อยตีวิด นกแต้วแร้ว
นกทุ่งทุง 0,น.,นกกระทุง
นกทุ่งทุง 1,น.,นกกระทูง
นกบ่าแห้ 0,น.,นกตระไน กระไน
นกบ่าแห้ 1,น.,นกโพระดก
นกพ่อเฮย 0,น.,นกดุเหว่า
นกยาง 0,น.,นกยาง
นกยางขาว 0,น.,นกยางขาว
นกยางหลวา 0,น.,นกกระยาง
นกยูง 0,น.,นกยูง
นกสองหัว 0,สำนวน.,คนที่ทำตัวฝักใฝ่เข้าด้วยทั้งสองฝ่ายซึ่งเป็นศัตรูกันโดยหวังประโยชน์เพื่อตน
นกไส้ 0,น.,ต้นไก ชื่อพรรณไม้ดอกคล้ายสารภีป่า ผลแดงเปลือกมีน้ำเมือกเหนียวๆ ใช้ผสมปูนโบกในสมัยโบราณ
นกเอี้ยงโก้ง 0,น.,นกเอี้ยงด่าง
นกเอี้ยงคำ 0,น.,นกขุนทอง เป็นนกที่สามารถเลียนเสียงคนและเสียงอื่นๆ ได้
นกแอ่นฟ้า 0,น.,นกนางแอ่นชนิดหนึ่ง
นกแอ่นลม 0,น.,นกนางแอ่นชนิดหนึ่ง
นกแอ่นแหว้น 0,น.,นกนางแอ่นชนิดหนึ่ง
นครโสเภณี 0,น.,หญิงคนชั่ว หญิงงามเมือง
นคระ 0,น.,เมืองใหญ่ กรุง
นง 0,น.,นาง สาว สตรี
นงจาว 0,น.,สาวรุ่นกำดัด
นงถ่าว 0,น.,สาวรุ่น
นที 0,น.,แม่น้ำ กระแสน้ำ นิยมใช้ นาที มากกว่า
นนตรี 0,น.,ดนตรี - เสียงที่ประกอบกันเป็นทำนอง
นนถี 0,น.,ดนตรี
นบ 0,ก.,กราบ
นพพบุรี 0,น.,ชื่อหนึ่งของเมืองเชียงใหม่
นพพะ 0,ว.,เก้า มักใช้ประกอบหน้าศัพท์คำอื่น
นพีสี 0,น.,ชื่อหนึ่งของเมืองเชียงใหม่ บางตำราว่าได้ชื่อจากการที่มีฤาษีเก้าตนอาศัยอยู่ในบริเวณเมืองนี้มาก่อน แต่น่าจะแปลจากศัพท์ว่าเชียงใหม่ได้ เพราะ นพ แปลว่า ใหม่ และ อีสี แปลว่า นักบวชหรือฤาศีหรือที่ภาษาถิ่นว่า เชียง รวมกันแปลว่า เชียงใหม่
นมผา 0,น.,หินย้อย
นมผา 1,น.,หินงอกหรือหินย้อยที่ย้อยลงมาจากเพดานถ้ำ
นมพรัน 0,น.,รูปลักษณะ
นมแมว 0,น.,ใบตองที่เย็บเป็นชั้นๆ ประดับบายศรี
นมแมว 1,น.,ต้นนมแมว
นมไม้ 0,น.,ความนอบน้อม
นวกะ 0,น.,ผู้ใหม่ ผู้อ่อน มักหมายถึงภิกษุที่บวชยังไม่เกิน ๕ พรรษา
น่วง 0,ก.,หน่วง - เหนี่ยว รั้ง ถ่วง
นวด 0,น.,น้ำมันหุงหรือสีผึ้งที่ใช้ทาปากและใช้เป็นยา เช่น นวดปู่คาด
นวน 0,น.,ละอองสีขาวบนผิวผลไม้หรือใบไม้บางชนิด เช่น ใบตอง
นวน 1,น.,เรียกกล้วยหัวโตว่า กล้วยนวน
นวน 2,ว.,นุ่ม - อ่อนละมุน นุ่มนวล อ่อนนิ่ม
นวน 3,ว.,นวล - สีขาวปนเหลืองเล็กน้อย ผิวห่องเป็นยองใย
นวนนุ่นงิ้ว 0,ว.,นุ่มนวลเหมือนปุยนุ่น
