คำ,POS,ความหมาย
...ไบ้...ง่าว 0,*ว.,โครงสร้างวลีใช้ขยายความแสดงว่า จริงๆ มาก แท้ เช่น ดีไบ้ดีบอด
บ่ 0,ว.,"ไม่ ใช้ปฏิเสธความหมายของคำที่ตามมาข้างหลัง ถ้าลงท้ายประโยคคำถามอาจออกเสียงว่า ""บ๋อ"" หรือ ""บ๊อ"" ก็ได้"
บ่ 1,น.,คำนำหน้าชื่อต้นผลไม้หรือวัสดุลักษณะกลมๆ เช่น บ่นาว - มะนาว บ่หิน - ก้อนหิน บ่า บะ หม่า หมะ หมัก ก็ว่า. แต่ในพจนานุกรมนี้จะใช้ บ่า เพียงรูปเดียว
บ่...แท้บ่...ว่า 0,สำนวน.,เป็นชุดโครงสร้างสำนวนที่เมื่อเติมคำวิเศษณ์ลงในที่ว่างไว้นั้นเป็นการย้ำความหมายของคำวิเศษณ์นั้นๆ เช่น บ่ดีแท้บ่ดีว่า - เลวจริงๆ อัปรีย์ บ่สุกแท้บ่สุกว่า - (อาหารหรือผลไม้) ไม่สุกจริงๆ
บ่...บ่... 0,สำนวน.,เป็นชุดโครงสร้างสำนวนที่ต้องการย้ำความหนักแน่นหรือย้ำความรู้สึกโดยเติมคำกริยาที่มีความหมายคล้ายคลึงกันในส่วนที่กำหนด เช่น บ่กินบ่ใช้ - ไม่มีความต้องการ บ่เอาบ่ชู - ไม่ยอมหรือไม่เห็นด้วย บ่รู้บ่หัน - ไม่รู้ไม่เห็น
บก 0,น.,ส่วนของหรือแห้งลง ผิวโลกที่มิใช่ทะเลหรือแม่น้ำลำคลอง ภาคพื้นดิน
บก 1,ก.,เจาะให้เป็นรูใหญ่อย่างเจาะต้นไม้ให้เป็นโพรง ขุด ขุดดินด้วยจอบเพื่อเตรียมเพาะปลูก เป็นต้น
บก 2,ก.,ขุด ขุดดินด้วยจอบเพื่อเตรียมเพาะปลูก เป็นต้น
บก 3,ก.,อาการที่น้ำลดระดับ
บก 4,ว.,แห้ง พร่อง ลดลง
บกบาง 0,ก.,ร่อยหรอ พร่อง ร่อย ลดลง เสื่อมถอย
บ่กว่า 0,ก.,ไม่ไป ไม่ล่วงอำนาจ จะปฏิบัติตาม
บ่กว่า 1,ก.,ไม่มีค้างอยู่ ไม่ล่วงอำนาจ ยอมปฏิบัติตาม
บ่แกว่น 0,ว.,ไม่ชำนาญ
บ่คลา 0,ว.,แน่นอน จริง ไม่คลาดเคลื่อน
บ่เคยกัน 0,ว.,ไม่สนิทกัน ไม่คุ้นเคยกัน
บ่ไคลคลา 0,ว.,แน่นอน จริง ไม่คลาดเคลื่อน
บง 0,น.,ไผ่
บง 1,ก.,เพาะ
บ่ง 0,ก.,ชี้ กำหนด บอก ระบุ
บ้ง 0,น.,บุ้งตัวแก้ว - เรียกหนอนผีเสื้อหลายชนิดและหลายวงศ์ทั้งชนิดไม่มีขนและชนิดมีขนปกคลุมตัว
บ้งขน 0,น.,ตัวบุ้งชนิดที่ตัวสีน้ำตาลมีลายเป็นทางหรือลายขวาง
บ้งเลน 0,น.,ตัวบุ้งชนิดที่ตัวสีน้ำตาลมีลายเป็นทางหรือลายขวาง
บ่จั้งบ่ยั้ง 0,ก.,ไม่หยุดยั้ง หักโหม
บ่จ้างบ่ย้าง 0,ก.,ไม่หยุดไม่หย่อน
บ่ชา 0,*น.,คำลงท้ายแสดงการถาม / หรือไม่ มิใช่หรือ
บ่ช่าง 0,ว.,ไม่เป็น ไม่เก่ง ทำไม่ได้
บ่ช่าง 1,*ว.,คำนำหน้ากริยามีความหมายว่า ไม่สะดวกหรือรู้สึกขัดข้องที่จะทำ เช่น บ่ช่างจะเซาะอะหยังมาเปนของกิน - ไม่รู้จะเอาอะไรมาปรุงเป็นอาหาร
บ่ช่างจัก 0,ว.,ไม่อาจจะ
บฎ 0,น.,ผ้าที่วาดรูปพระพุทธเจ้าสำหรับแขวนไว้บูชา
บด 0,ก.,ทำให้แหลก
บด 1,ว.,มืดครึ้ม มีเมฆ เป็นต้น บังมิให้แสงอาทิตย์ส่องลงมากระทบ ไม่มีแดด
บดฟ้าบดฝน 0,ว.,ครึ้มฟ้าครึ้มฝน
บดสด 0,น.,อุโบสถ อาคารที่พระสงฆ์ประชุมกันทำสังฆกรรมต่างๆ (ป. อุโบสถ)
บ่ดอกบ่ดาย 0,ว.,เปล่า ไม่มีผลอะไรเกิดขึ้น (ใช้ในความหมายค่อนไปในเชิงประชดหรือเหยียดหยาม)
บ่ดัก 0,ก.,ไม่หยุดส่งเสียง
บ่ดาย 0,ว.,เท่านั้น
บ่ดาย 1,ว.,เปล่า ไม่มีผลอะไรเกิดขึ้น (ใช้ในความหมายค่อนไปในเชิงประชดหรือเหยียดหยาม)
บ่ดาย 2,ว.,เปล่า เท่านั้น ไม่มีอะไรอื่นอีก ไม่ต้องเสียเงิน
บ่ดาย 3,ว.,เฉยๆ เปล่าๆ ไม่เสียเงิน
บ่ดี 0,ว.,เลว ไม่ดี
บ่ดี 1,*ว.,คำประกอบหน้ากริยา หมายความว่า ไม่น่าจะ ไม่สมควรที่จะ เช่น บ่ดีหลับเมื่อวัน - ไม่ควรนอนหลับตอนกลางวัน บ่ดีฟั่ง - ไม่ควรจะรีบร้อน
บ่ดีบ่ดัก 0,ว.,ไม่สมควร ไม่เหมาะสม
บ่เดี่ยว 0,ว.,เดี๋ยวนี้ เวลานี้
บ่ได้บ่หนี 0,ก.,หากไม่สำเร็จจะไม่ยอมจากไป
บ่ได้ปาก 0,ว.,ไม่จำเป็นต้องพูด ดีจริงๆ เหนือคำวิจารณ์
บ่ได้อยู่ 0,ว.,มีธุระยุ่ง ไม่มีเวลา
บ่ได้อยู่ได้กิน 0,ว.,มีธุระยุ่งมาก วุ่นวาย
บ่ได้อยู่บ่ได้ยั้ง 0,ว.,มีธุระยุ่งมาก วุ่นวาย
บ่ได้อยู่บ่ได้ย้าง 0,ว.,มีธุระยุ่งมาก วุ่นวาย
บ่ต้อง... 0,ว.,ไม่จำเป็นที่จะ... ไม่สมควรที่จะ
บ่ตั้งบ่ยั้ง 0,ก.,ไม่หยุดไม่หย่อน
บ่ถ้า 0,ก.,ไม่รอ ไม่คอย
บ่ถ้า 1,ว.,คำเติมหน้ากริยา มีความหมายในเชิงปรามว่า อย่าได้ ซึ่งมีความหนักแน่นน้อยกว่า บ่หื้อ เช่น บ่ถ้าคอยหา - อย่าได้รอคอย
บ่ถ้าได้ 0,ว.,คำเติมหน้ากริยา มีความหมายว่า ไม่จำเป็นต้อง เช่น บ่ถ้าได้จำ - ไม่จำเป็นต้องสั่ง ไม่จำเป็นต้องบังคับ บ่ถ้าได้ยู้ - ไม่จำเป็นต้องเข็น
บท 0,น.,ข้อความเรื่องหนึ่งๆ หรือตอนหนึ่งๆ คราว ตอน
บ่ทัน 0,ก.,ตามไม่ทัน
บ่ทัน... 0,ว.,คำเติมหน้ากริยา หมายความว่า ยังมิได้ตั้งตัวตั้งใจ ทำให้พลาดไป เช่น บ่ทันคึด - ไม่ทันคิด
บ่ทันกิน 0,สำนวน.,ไม่ฉลาด ไม่รู้เท่าทัน
บ่ทันมึ้ง 0,ก.,ไม่ทันระวังตัว ไม่ได้ระวัง ไม่เฉลียวใจ
บ่ทันมึ้ง 1,ก.,ไม่ได้ระวังตัว ไม่สังเกต
บ่ท้า 0,ก.,ยังไม่สู้ อย่าเพิ่ง ช้าก่อน
บ่เทิง 0,ก.,ไม่ถึง
บน 0,ก.,บน - ขอร้องสิ่งศักดิ์สิทธิ์ให้ช่วยโดยให้คำมั่นว่าจะให้สิ่งของตอบแทนหรือทำตามสัญญาที่ให้ไว้เมื่อเป็นผลสำเร็จ
บน 1,ว.,เบื้องสูงตรงข้ามกับเบื้องล่าง
บน 2,บ.,ในที่ซึ่งสูงหรือเหนือ เช่น นั่งบนเรือน
บนผี 0,ก.,บน - ขอร้องสิ่งศักดิ์สิทธิ์ให้ช่วยโดยให้คำมั่นว่าจะให้สิ่งของตอบแทนหรือทำตามสัญญาที่ให้ไว้เมื่อเป็นผลสำเร็จ
บนหัว 0,น.,หัวนอน ด้านทางหัวของผู้นอน มักถือเอาทิศตะวันออก
บ่นับ 0,น.,ลูกประคำ
