คำ,POS,ความหมาย
ปก 0,น.,เรียกปลาแก้มช้ำว่า ปลาปก
ปก 1,น.,เรียกนกตีทองว่า นกปก
ปก 2,น.,โกลม - ชื่อเครื่องมือจับปลาชนิดหนึ่ง
ปก 3,ก.,ปก - แผ่ออกคลุมเบื้องบน ปิด บัง ยกขึ้น ตั้งขึ้น เช่น ปกเสาเรือน - ยกเสาบ้านขึ้น
ปก 4,ก.,บอกกล่าว ประกาศ
ปกกะดก 0,ก.,อาการที่สิ่งของขนาดใหญ่กระดกขึ้น
ปกขาก่ายง้อน 0,ก.,ยกขาไขว่ห้าง
ปกแฅ่งปกขา 0,ก.,ยกแข้งยกขา ไม่สำรวมกริยา
ปกเติน 0,ก.,บอกกล่าว ตักเตือน
ปกเตือน 0,ก.,บอกกล่าว ตักเตือน
ปกป่าว 0,ก.,ป่าวประกาศ แจ้งข่าว
ปกหงก 0,น.,เหง้าไม้
ปกหงก 1,ก.,อาการที่ของสิ่งใหญ่ผงกขึ้นหรือโผล่ขึ้น
ปกหงก 2,ว.,ตั้งอยู่ เห็นได้ชัด
ปกหลก 0,ว.,ลักษณะสิ่งของขนาดใหญ่ที่เป็นก้อนหรือปุ่มปม
ปกหัวเข่า 0,ก.,(นั่งหรือนอน) ชันเข่า
ปกาสะ 0,ก.,แจ้งให้ทราบทั่วไป
ปกิณณกะ 0,ว.,เรี่ยราย เบ็ดเตล็ด กระจาย ระคนกัน มักใช้ประกอบหน้าศัพท์
ปง 0,ก.,ปลง เอาลง เช่น ปลงหม้อแกง
ป่ง 0,น.,ดินที่มีรสเค็ม
ป่ง 1,ก.,ผลิ มักใช้กับต้นไม้ผลิใบ
ปชา 0,น.,หมู่สัตว์ หมู่คน
ปฏากะ 0,น.,ธงที่เป็นผืนยาวห้อยลง ธงอย่างธงตะขาบ
ปฏิมา 0,น.,รูปแทนองค์พระพุทธเจ้าคือพระพุทธรูป
ปฏิมากระ 0,น.,รูปแทนองค์พระพุทธเจ้าคือพระพุทธรูป
ปฏิสังขรณะ 0,ก.,การซ่อมแซม การทำให้ดีเหมือนเดิม
ปฏิสันถาระ 0,น.,การทักทายปราศัยแขกผู้มาหาต้อนรับ
ปฏิสันธิ 0,น.,การสืบต่อ การเกิดใหม่
ปฏิสันธิ 1,ก.,เกิดในท้อง
ปฐมสัมโพธิ 0,น.,ชื่อคัมภีร์ว่าด้วยประวัติของพระพุทธเจ้า
ปฐมะ 0,ว.,ที่ ๑ ทีแรก เบื้องต้น มักใช้ประกอบคำอื่นเพื่อแสดงความหมายของสิ่งนั้นๆ ว่าเป็นที่หนึ่งหรือเบื้องต้น
ปฐวี 0,น.,แผ่นดิน
ปณณาส 0,ว.,ห้าสิบ
ปณิธานะ 0,น.,ความตั้งใจแน่วแน่ ความปรารถนา
ปณิธิ 0,น.,ความตั้งใจแน่วแน่ ความปรารถนา
ปณีตะ 0,ว.,ละเอียด ดียิ่ง มักใช้ในรูป ประหณีต
