คำ,POS,ความหมาย
ปรวน 0,ว.,สับสน วกวน ไม่มีระเบียบ ไม่ถูกต้อง
ปรวนแปร 0,ก.,เปลี่ยนไปเปลี่ยนมา
ปรวนแปร 1,ว.,ปรวนแปร สับสน ไม่มีระเบียบ
ประกอบ 0,ก.,เอาชิ้นส่วนต่างๆ มารวมหรือคุมกันเข้าเป็นลักษณะที่ต้องการ
ประกัน 0,ก.,รับรองว่าจะรับผิดในความเสียหายที่เกิดขึ้น
ประกับ 0,น.,เรียกไม้ขนอบที่ขนาบข้างคัมภีร์ใบลานแต่ละมัดว่าไม้
ประกา 0,น.,ดอกไม้
ประกาย 0,น.,ดาว
ประกาย 1,น.,ดาว ดาวประกายพฤกษ์
ประการ 0,น.,อย่าง ทำนอง แบบ
ประคำ 0,น.,ลูกกลมๆ ที่ร้อยเป็นพวงสำหรับการนับในเวลาบริกรรมภาวนา
ประคำ 1,น.,ลูกประคำ
ประจง 0,น.,ตั้งใจ บรรจง
ประจง 1,ก.,ตั้งใจ บรรจง
ประจน 0,ก.,ผจญ ต่อสู้ ต้านทาน
ประจนแพ้ 0,ก.,ปราบแล้ว ได้ชัยชนะ
ประจัย 0,น.,ปัจจัย เหตุอันเป็นทางให้บังเกิดผล
ประจัย 1,น.,ปัจจัย เหตุ เครื่องอาศัย
ประจำ 0,น.,มัดจำเงินหรือสิ่งของที่มอบไว้แก่คู่สัญญา หมั้นหมาย
ประจำ 1,ก.,ประจำ คอยเฝ้า เป็นปรกติ เสมอ
ประจิต 0,ก.,ประดับ ตกแต่ง
ประจิต 1,ก.,"ประดับ, ตกแต่ง"
ประจิตริสสนา 0,ก.,ประดับตกแต่ง
ประจุ 0,ก.,บรรจุใส่เข้าประจำที่
ประชุม 0,ก.,ประชุม ชุมนุม
ประชุม 1,ก.,ประชุุม ชุมนุม
ประณม 0,ก.,น้อมไหว้
ประณีต 0,ว.,ละเอียด ดีเลิศ
ประดับ 0,ก.,ประดับ ตกแต่ง
ประดับประดา 0,ก.,ประดับ ตกแต่ง
ประดา 0,น.,เครื่องใช้ เครื่องประดับ ใช้กับคำ ผดับ เป็น ผดับผดา
ประดิต 0,ก.,ประดิษฐ์ สร้าง ทำ
ประดุจ 0,ว.,เปรียบ เหมือน
ประดุจ 1,ว.,ประดุจ - เหมือน เช่น
ประตุ 0,น.,ประตู
ประตู 0,น.,ช่องทางเข้าออกของบ้านเรือน เป็นต้น
ประถม 0,ว.,ปฐม ลำดับแรก
ประทักขิณ 0,ก.,เวียนขวา
ประทัด 0,น.,บรรทัด กำหนด มาตรฐาน
ประทัด 1,น.,เส้นเชือกชุบหมึกใช้ดีดเป็นแนวตรง
ประทัด 2,น.,บรรทัด - ไม้หรือเส้นที่ใช้ช่วยขีดเส้นให้ตรงแบบแผนสำหรับยึดถือเป็นแนวทางปฏิบัติ
ประทีป 0,น.,ประทีป โคม ตะเกียง
ประทีป 1,น.,ประทีส โคมไฟ
ประทีส 0,น.,ประทีป โคม ตะเกียง
ประทีส 1,น.,ประทีส โคมไฟ
ประทืน 0,น.,ประทุน หลังคารถ เรือ หรือเกวียนที่มีรูปโค้งคุ่ม
ประทืน 1,น.,ประทุน - หลังคารถ เรือหรือเกวียนที่มีรูปโค้งคุ่ม
ประเทส 0,น.,บ้าน เมือง แว่นแคว้น
ประธาน 0,น.,หัวหน้า ผู้เป็นใหญ่
ประธาน 1,ก.,ประทาน ให้ มอบให้
ประนม 0,ก.,ยกมือขึ้นกระพุ่ม ไหว้
ประนม 1,ก.,การน้อมไหว้
ประนม 2,ก.,ประนม - กระพุ่มมือ
ประปราย 0,ก.,โปรยปราย เรี่ยราย
ประมาณ 0,ว.,สัก เพียง ราว
ประมุข 0,น.,ประธาน หัวหน้า ผู้เป็นใหญ่
ประยา 0,น.,ปัญญา
ประโยชนะ 0,น.,สิ่งที่มีผลใช้ได้ดีสมกับที่คิดหมายไว้
ประสงค์ 0,ก.,ต้องการ อยากได้ มุ่งหมาย
ประสงค์ 1,ก.,ประสงค์ - ต้องการ อยากได้
ประสาน 0,ก.,ทำให้เข้ากันสนิท เชื่อม
ประสุม 0,ก.,ประชุม ชุมนุม
ประสุม 1,ก.,ประชุุม ชุมนุม
