คำ,POS,ความหมาย
ผก 0,ก.,แอบซุ่ม ซ่อนคอยที ดักรอ
ผกคอย 0,ก.,แอบดู ซุ่มดู
ผกผ่อ 0,ก.,แอบดู ซุ่มดู
ผกเยียะ 0,ก.,ลอบทำ ลอบทำร้าย
ผกอบ 0,ก.,เอาชิ้นส่วนต่างๆ มารวมหรือคุมกันเข้าเป็นลักษณะที่ต้องการ
ผกเอา 0,ก.,คอยดัก ซุ่มจำ ดักจับ
ผกัน 0,ก.,รับรองว่าจะรับผิดในความเสียหายที่เกิดขึ้น
ผกับ 0,น.,เรียกไม้ขนอบที่ขนาบข้างคัมภีร์ใบลานแต่ละมัดว่าไม้
ผกับ 1,ก.,คว่ำ ปิด ทับ
ผกา 0,น.,ดอกไม้
ผกาย 0,น.,ดาว
ผกาย 1,น.,ดาว ดาวประกายพฤกษ์
ผคำ 0,น.,ลูกกลมๆ ที่ร้อยเป็นพวงสำหรับการนับในเวลาบริกรรมภาวนา
ผคำ 1,น.,ลูกประคำ
ผง 0,น.,ผง - สิ่งละเอียด เศษหยากเยื่อ
ผ่ง 0,ก.,ผลิ เช่น ผลิดอกหรือใบ
ผ่ง 1,ว.,ปรุ พรุน ทะลุเป็นรูทั่วไป
ผ่ง 2,ว.,โปร่ง - พรุน ปรุ ทะลุเป็นรูทั่วไป
ผ้ง 0,น.,โพรงอย่างโพรงมดง่ามหรือปลวก
ผ้ง 1,ว.,กำลัง อยู่ในระยะที่ดำเนินการ
ผ้ง 2,น.,โพรง - ช่องที่กลวงเข้าไป
ผ้งเผาะ 0,น.,โพรงเล็ก อย่างโพรงมดที่พบหลายๆ โพรงก่อนที่จะพบโพรงใหญ่ เป็นต้น
ผจง 0,น.,ตั้งใจ บรรจง
ผจง 1,ก.,ตั้งใจ บรรจง
ผจน 0,ก.,ผจญ ต่อสู้ ต้านทาน
ผจัย 0,น.,ปัจจัย เหตุ เครื่องอาศัย
ผจำ 0,น.,มัดจำเงินหรือสิ่งของที่มอบไว้แก่คู่สัญญา หมั้นหมาย
ผจิต 0,ก.,ประดับ ตกแต่ง
ผจิตริสสนา 0,ก.,ประดับตกแต่ง
ผจุ 0,ก.,บรรจุใส่เข้าประจำที่
ผชุม 0,ก.,ประชุม ชุมนุม
ผชุม 1,ก.,ประชุุม ชุมนุม
ผชุม 2,ก.,ประชุม
ผด 0,ก.,ผุด โผล่ ถึง กระทั่ง ทะลุ
ผดจด 0,ก.,ผุด โผล่ พรวดพราด ถลัน
ผดป่อง 0,ว.,ปลอดโปร่ง
ผดป่อง 1,ว.,ปลอดโปร่ง ดีแล้ว สำเร็จแล้ว
ผดับ 0,ก.,ประดับ ตกแต่ง
ผดัุจ 0,ว.,เปรียบ เหมือน
ผดา 0,น.,เครื่องใช้ เครื่องประดับ ใช้กับคำ ผดับ เป็น ผดับผดา
ผดิต 0,ก.,ประดิษฐ์ สร้าง ทำ
ผดุจ 0,ว.,ประดุจ - เหมือน เช่น
ผตู 0,น.,ช่องทางเข้าออกของบ้านเรือน เป็นต้น
ผตู 1,น.,ประตู
ผตูป่า 0,น.,ประตูป่า
ผทัด 0,น.,บรรทัด - ไม้หรือเส้นที่ใช้ช่วยขีดเส้นให้ตรงแบบแผนสำหรับยึดถือเป็นแนวทางปฏิบัติ
ผทัด เส้น 0,น.,ศีล ๕ ผทัด ๕ เส้น เส้นบรรทัด ๕ เส้นบนใบลานเรียกลาน ๕ ถ้าตี ๔ เส้นเรียกลาน ๔
ผทัา 0,น.,นกกระทา ปรอท
ผทีป 0,น.,ประทีส โคมไฟ
ผทีส 0,น.,ประทีป โคม ตะเกียง
ผทีส 1,น.,ประทีส โคมไฟ
ผทืน 0,น.,ประทุน หลังคารถ เรือ หรือเกวียนที่มีรูปโค้งคุ่ม
ผทืน 1,น.,ประทุน - หลังคารถ เรือหรือเกวียนที่มีรูปโค้งคุ่ม
ผนม 0,ก.,การน้อมไหว้
ผนัง 0,น.,พนัง - เขื่อนป้องกันมิให้ดินพังหรือป้องกันมิให้น้ำท่วม
ผนีต 0,ว.,ละเอียด ดีเลิศ
ผม 0,น.,ผม
ผมจ็อก 0,น.,ผมจุก
ผมป้าย 0,น.,ทรงผมที่หวีแสกข้าง
ผมผา 0,น.,ต้นว่านน้ำ
ผยา 0,น.,ปัญญา ดู - ผะหยา
ผโยชนะ 0,น.,สิ่งที่มีผลใช้ได้ดีสมกับที่คิดหมายไว้
ผโยชนะ 1,น.,ประโยชน์ - สิ่งที่มีผลดีสมกับที่คิดหมายไว้
ผรุสวาทะ 0,น.,ถ้อยคำหยาบคาย
ผล 0,น.,ผล
ผละนาบุญ 0,น.,ผลแห่งบุญ
ผละหน้าบุญ 0,น.,ผลแห่งบุญ
ผลาน 0,ว.,ผลาญ - เดือดร้อน ทุกข์ร้อน
ผลานิสงสะ 0,น.,ผลานิสงส์ - ความไหลออกแห่งผลความดี ผลแห่งบุญกุศล
ผลาหาร 0,น.,อาหารคือลูกไม้
ผลิกะ 0,น.,ผลึก - แก้วหรือสิ่งที่มีสีขาวใสอย่างแก้ว
ผวน 0,ว.,สับสน วกวน ไม่มีระเบียบ ไม่ถูกต้อง
ผวนแผ 0,ว.,ปรวนแปร สับสน ไม่มีระเบียบ
ผสง 0,ก.,ต้องการ อยากได้ มุ่งหมาย
ผสงค์ 0,ก.,ประสงค์ - ต้องการ อยากได้
ผสาน 0,ก.,ทำให้เข้ากันสนิท เชื่อม
ผสุม 0,ก.,ประชุม ชุมนุม
ผสุม 1,ก.,ประชุุม ชุมนุม
ผสุมชุ่มนุม 0,ก.,ประชุม ชุมนุม รวมกัน
ผสูต 0,ก.,ประสูติ คลอดลูก
ผสูต 1,ก.,คลอดลูก
ผเสิต 0,ว.,ประเสริฐ - ดีงาม
ผหนม 0,ก.,น้อมไหว้
ผหนม 1,ก.,ประนม - กระพุ่มมือ
ผหนิม 0,น.,เครื่องประดับกาย
ผหมาท 0,ก.,ประมาท เลินเล่อ
ผหมาน 0,ก.,กะ กำหนด คะเน
ผหยา 0,น.,ปัญญา ความรู้ทั่ว
ผหยา 1,น.,ปัญญา
ผ่อ 0,ก.,ดู ดูแล มอง
ผอก 0,ว.,ขาว คำประกอบหลังคำ ขาว เพื่อให้รู้ว่าสิ่งนั้นมีลักษณะขาว เป็นกลุ่มก้อนหรือแท่งขาวแต่เป็นปริมาณน้อย
ผ็อก 0,ก.,ซัด เหยาะ โรย เช่น เอาซายผ็อกไส่หัว
ผ่อคอย 0,ก.,ดููแล ให้ความคุ้มครอง
ผอง 0,น.,เครื่องตวงอย่างที่ใช้ตวงดินปืนบรรจุปืนหรือทำดอกไม้ไฟ เป็นต้น
ผ่อดอมดาย 0,ก.,ดูดาย ไม่ใส่ใจ
ผอน 0,ว.,โพลนอย่างบรรยายดอกไม้ที่บานเป็นกลุ่มขาวโพลน เป็นต้น
ผ่อน 0,ก.,ลดลง หย่อนลง ทำให้หย่อนหรือคลายความตึง
ผอม 0,ว.,ผอม
ผอมป้อมคูลวา 0,น.,ผักชีฝรั่ง บางแห่งเรียก หอมปอมเป้อ
ผอมแห้ง 0,ว.,ผอมมาก
ผ่อย 0,ว.,กรอบ เปราะ หักง่าย แตกง่าย
ผ้อย 0,ว.,ครบถ้วน ชัดเจน แจ่มแจ้ง มักใช้ร่วมกับ เผี้ยน เป็น ผ้อยเผี้ยน
ผ้อหล้อ 0,ว.,ลักษณะของขนาดกลางที่บอบบางหรือน่าเอ็นดู
ผ้อหล้อ 1,น.,ดอกไม้ขนาดกลางที่บานคลี่ออก
ผอูบ 0,น.,ผอบ ภาชนะขนาดเล็กมีฝาปิด
ผอูบ 1,น.,ผอบ ตลับ
ผเอิน 0,ก.,ตกใจ แตกตื่น (หงส์ผาดำ)
