คำ,POS,ความหมาย
ฝง 0,ก.,ปะ ชุน ถักย้ำ อย่างถักรังกระดุม
ฝน 0,น.,น้ำฝน
ฝน 1,ก.,ฝน - ลับ ทำให้คม ถูอย่างฝนยา
ฝนแสนห่า 0,น.,ชื่อพระพุทธรูปที่นิยมนำมาประกอบพิธีขอฝน ชื่อคาถาในพิธีสวดขอฝน
ฝนแสนห่า 1,น.,การเทศน์พร้อมกันหลายรูปจนฟังไม่รู้เรื่องเป็นการเทคนิคการเทศน์เพื่อให้คนฟังตั้งสมาธิจับเอาใจความของพระแต่ละองค์ให้รู้เรื่องของธรรมแต่ละผูก
ฝนห่าแก้ว 0,น.,แก้วมณีและเงินทองที่ตกลงมามากเหมือนฝน มักกล่าวถึงในชาดกบางเรื่อง อย่างใน เวสสันตระชาดก เป็นต้น
ฝอก 0,น.,ปลอกอย่างปลอกมีด
ฝะ 0,ก.,หก อาหารที่น้ำในภาชนะกระเพื่อมอย่างแรงเพราะความสั่นสะเทือนจนส่วนหนึ่งล้นออกมา
ฝัก 0,น.,ปลอกอย่างปลอกมีด
ฝัก 1,น.,ฝัก ซอง - สิ่งที่หุ้มเมล็ดของพืชบางอย่าง เช่น ถั่ว สิ่งที่ใช้หุ้มคมมีดหรือดาบ เป็นต้น
ฝักขาม 0,น.,ชื่ื่ออักษรแบบหนึ่งที่ใช้ในล้านนา เห็นว่ามีการพัฒนาขึ้นจากอักษรสุโขทัย แต่ผอมสูงกว่า และมีอักขรวิธีบางประการที่แตกต่างไปจากอักษรแบบสุโขทัย นิยมใช้ในศิลาจารึก โดยเฉพาะในช่วงประมาณ พ.ศ. ๒๐๐๐ - ๒๑๐๐
ฝัง 0,ก.,ฝังจมหรือทำให้จมลงไปจากระดับพื้น
ฝั่ง 0,น.,ฝั่ง - ที่ดินริมน้ำที่เป็นขอบทะเล แม่น้ำ ลำคลอง เป็นต้น
ฝั่งอายุ 0,น.,กำหนดอายุขัย
ฝัด 0,ก.,ฝัด - กระพือข้าว ให้แกลบ รำ หรือผงอื่นปลิวแยกออกไป
ฝัดเข้า 0,ก.,กระทกข้าว กระพือข้าว
ฝัน 0,ก.,ฝัน โดยปริยายหมายถึงการนึกเห็น ในขณะที่ตื่นอยู่ซึ่งไม่อาจเป็นจริงได้
ฝั่น 0,ก.,ฟั่น - ทำสิ่งเป็นเส้นให้เข้าเกลียวเป็นเชือก แนบสนิท แนบนอน
ฝันเข้า 0,ก.,ตาลอย - อาการที่ลืมสติไปชั่วครู่ อาจเพราะลืมตัวหรือถูกกระทำจนหมดสติก็ได้
ฝั้นเชือก 0,ก.,ฟั่ั่นเชือก - ทำปอให้เข้าเกลียวเป็นเส้นเชือก
ฝั้นเฝื้อ 0,ว.,เป็นคู่ครอง (กวี)
ฝันหัน 0,ก.,ฝัน พบหรือเห็นในความฝัน
ฝา 0,น.,เครื่องปิดกั้นด้านนอก หรือแบ่งห้องของตัวโรงเรียน เป็นต้น เครื่องปิดภาชนะต่างๆ
ฝา 1,น.,ฝ้าหรือเยื่อที่จับอยู่บนของเหลวบางอย่าง
ฝา 2,น.,ปลาฝา ตะพาบน้ำ เรียกว่า ปลาฝา
