คำ,POS,ความหมาย
พก 0,น.,พก - สิ่งที่อยู่ในห่อที่นำติดตัวไป
พก 1,ลัก.,เรียกของที่พก
พก 2,ก.,พก เอาผ้าหุ้มห่อ นำไปกับตัว ซ่อนไปกับตัว
พกซก 0,ว.,กระโดกกระเดก ไม่เรียบร้อย เช่น ล่นพกซก - วิ่งอย่างกระโดกกระเดก ลักษณะสิ่งของขนาดใหญ่ที่เป็นกระเชิง
พง 0,น.,ที่ลุ่มมีน้ำเฉอะแฉะอันอาจเกิดจากสายน้้ำที่ คอด หรือเปลี่ยนทาง
พง 1,น.,ต้นแขม
พง 2,น.,ทาม - ที่ริมฝั่งน้ำ มีน้ำท่วมเป็นครั้งคราว ดงหญ้า หรือดงไม้ที่ขึ้นเป็นหมู่ ๆ
พง 3,น.,หญ้าพง เรียกว่า หย้าพง
พงช้าง 0,น.,เถาหนอนตายอยาก
พงส์ 0,น.,เผ่าพงศ์ เชื้อสาย สกุล
พญาไม้ 0,น.,ต้นพญาไม้
พณิชะ 0,น.,ผู้ค้า พ่อค้า
พทุธะ 0,น.,ผู้ตรัสรู้ ผู้ตื่นแล้ว ผู้เบิกบานแล้ว
พธิราหูหนวก 0,น.,ชื่อชาดกเรื่องหนึ่งซึ่งตัวเอกคือนางพธิราเป็นคนหูหนวก
พน 0,น.,ป่า พง ดง
พ้น 0,ว.,นอกเขตออกไป
พ้นเช่น 0,ว.,มากเกินไป หมดกำหนด หมดอายุขัย
พนิดา 0,น.,วนิดา - หญิง หญฺงสาว ปรากฏใน โคลงนิราศหริภุญชัย
พบ 0,ก.,พบ - เห็น ปะ ประสบ
พม่า 0,น.,ชื่อประเทศ
พม่า 1,น.,ชื่อทำนองเพลงที่พระราชชายาเจ้าดารารัศมีให้ประดิษฐ์ขึ้นเรียก ระบำพม่า หรือ เพลงพม่า มักใช้ขับลำนำเรื่อง เจ้าสุวัตกับนางบัวคำ
พยัคฆะ 0,น.,พยัคฆ์ - เสือโคร่ง
พยัญชนะ 0,น.,พยัญชนะ - ตัวหนังสือ ตั้งแต่ ก ถึง ฮ
พยัญชนะ 1,น.,กับข้าวอย่างแห้งคู่กับ สูปะ ซึ่งหมายถึงแกง
พยัพ 0,น.,พายัพ - ทิศตะวันตกเฉียงเหนือ
พยาธิ 0,น.,พยาธิ - ความเจ็บไข้
พยุ 0,น.,พายุ - ลมแรง
พร่วม 0,ว.,ร่วมกัน พร้อมเพรียง ครบครัน ในขณะเดียวกัน ทันกัน
พร่วมกัน 0,ว.,พร้อมกัน ในเวลาเดียวกัน
พรหม 0,น.,พรหมตามคติพุทธศาสนา อยู่ในพรหมโลก แยกเป็นจำพวก มีรูปร่างเรียก รูปพรหม มี ๑๖ ชั้น จำพวกไม่มีรูปร่างเรียก อรูปพรหม มี ๔ ชั้น
พรหม 1,น.,ชื่อพระเป็นเจ้าผู้สร้างโลกตามคติในศาสนาพราหมณ์
พรหมจักกะ 0,น.,จักรวาล คำสอนของพระพุทธเจ้า ชื่อชาดกนอกนิบาตเรื่องหนึ่งของล้านนาที่มีเนื้อหาคล้ายเรื่องรามเกียรติ์โดยมีชื่อตัวละครเอกเป็นชื่อเดียวกับชาดกเรื่องนี้
พรหมมินท์ 0,น.,ผู้เป็นใหญ่ในหมู่พรหม ชื่อกวีผู้แต่งคร่าว หรือฅ่าวซอชาวล้านนาผู้มีชีวิตอยู่ระหว่างปี พ.ศ.๒๓๔๕ - ๒๔๓๐
พรหมวิหาร 0,น.,ธรรมของพรหมหรือของท่านผู้เป็นใหญ่ มี ๔ คือ เมตตา กรุณา มุทิตา อุเบกขา
พรอง 0,ก.,ปอง พยายาม มุ่งหมาย ซุ่มรอโอกาส
พรอง 1,ว.,กำลัง เพิ่งจะ พึ่งจะผ่านเวลานั้นไป
พร่อง 0,ว.,บ้าง บางสิ่ง บางส่วน บางคน ไม่เต็มอัตรา
พรองหา 0,ว.,พึ่ง เพิ่งจะ หมายถึงเวลาที่ล่วงไปหยกๆ ในขณะที่พูดนั้น
พร่องหา 0,ว.,เพิ่งจะ เพิ่งจะเสร็จสิ้นก่อนเวลานั้น ควรใช้ พรองหา
พรองเอา 0,ก.,รอโอกาส พยายามหาโอกาส
พรอนแพรน 0,ว.,หร็อมแหร็ม หยอมแหยม - ไม่หนาแน่น
พร้อม 0,น.,มติจากที่ประชุมเรียก คำพร้อม
พร้อม 1,ก.,ประชุม เข้าประชุม
พร้อม 2,ว.,ครบครัน มากมาย รวมกันอยู่มากมาย
พร้อมพรับ 0,น.,พรักพร้อม พร้อมสรรพ ครบถ้วน
พร่อย 0,ก.,ร่อยหรอ ขาดไป แหว่งไป คร่ำคร่า เสื่อมทราม
พร้อย 0,ว.,พร้อย - ประทั่วไป ลายเป็นจุดหรือประปราย
พระ 0,น.,พระพุทธเจ้า เนื่องด้วยพระพุทธเจ้า ใช้ประกอบหน้าคำอื่นเพื่อแสดงความยกย่องหรือความศักดิ์สิทธิ์ สามเณร พระพุทธรูป หรือพระเครื่องราง
พระแก้ว 0,น.,พระพุุทธรูปที่สร้างด้วยรัตนชาติ พระแก้วมรกต
พระเจ้าซ่อนน้ำ 0,น.,พืชล้มลุกน้ำชนิดหนึ่งคล้ายวันตะวา ใบบางสีเขียวอมน้ำตาล กินได้
พระเจ้าซ่อนน้ำ 1,น.,ชื่อพรรณไม้น้ำชนิดหนึ่งคล้ายสันตะวา ใบบางสีเขียวอมน้ำตาล กินได้
พระเจ้าลอบโลก 0,น.,ไม้รับแขก ว่านเศรษฐี
พระเจ้าห้าพระองค์ 0,น.,พระพุทธเจ้าที่มาตรัสรู้ในภัทรกัปป์
พระเจ้าห้าพระองค์ 1,น.,ชื่อพรรณไม้ยืนต้นชนิดหนึ่ง
พระเจ้าหามกลาย 0,น.,ต้นขี้อ้าย
พระบฏ 0,น.,ผ้าที่วาดรูปพระพุทธเจ้าสำหรับแขวนไว้บูชา
