คำ,POS,ความหมาย
ฟก 0,ว.,ฟก - บวม ช้ำ บวมช้ำตามร่างกายเพราะถูกกระทบกระแทกอย่างแรง เป็นต้น
ฟอก 0,ก.,ฟอก ทำให้สะอาดหมดจด เช่น ฟอกผ้า ทำให้เกลี้ยงเกลา เช่น ใช้กับค่อยๆ ไสไม้ให้เรียบ
ฟอง 0,น.,จุด จุดเด่น สิ่งที่มีลักษณะกลมอย่างไข่ เช่น จันทร์ฟอง ฟองจันทร์ - จันทร์เพ็ญ
ฟอง 1,ว.,จุด จุดเด่น สิ่งที่มีลักษณะกลมอย่างไข่ เช่น จันทร์ฟอง ฟองจันทร์ - จันทร์เพ็ญ
ฟอง 2,น.,กระแส คลื่น ลำ เปลว
ฟ่อง 0,ว.,ลอยสูง ลอยเด่น ลอยอยู่ตามลำพัง มักใช้ร่วมกับคำอื่นเป็น ฟูฟ่อง
ฟ้อง 0,ก.,ฟ้อง - กล่าวหา กล่าวโทษ แสดงให้รู้
ฟ้องเชิง 0,ก.,ฟ้อนรำท่าออกศึก ปรกติมักประกอบกับการตบไปตามส่วนต่างๆ ของร่างกายด้วย
ฟองทะเล 0,น.,คลื่น คลื่นในทะเลหรือแม่น้ำ
ฟองน้ำ 0,น.,กระแสน้ำ ต่อมน้ำที่ผุดหรือปุดขึ้นเป็นรูปโป่งๆ อาจเป็นต่อมเดียวหรือรวมกันเป็นแพก็ได้
ฟองน้ำ 1,น.,สัตว์น้ำไม่มีกระดูกสันหลังชนิดหนึ่งมีเนื้อเยื่อเป็นรูพรุนและอ่อนนุ่ม
ฟองน้ำ 2,น.,ฟองน้ำ ใช้ถูทำความสะอาดร่างกายได้ดี
ฟองน้ำ 3,น.,เรียกสิ่งที่มีลักษณะเป็นรูพรุนอ่อนนุ่มและซับน้ำได้ดีว่า ฟองน้ำ
ฟองไฟ 0,น.,เปลวไฟ
ฟองลม 0,น.,กระแสลม
ฟองสมุทท์ 0,น.,คลื่น คลื่นในทะเลหรือแม่น้ำ
ฟองสมุทร 0,น.,ต้นหางกระรอกแดง
ฟอน 0,ก.,เลือกค้นหาสิ่งที่ต้องการ อย่างควานหาเนื้อในชามแกง
ฟ่อน 0,ก.,รวมกันเป็นกอง เช่น เข้าฟ่อน หรือเข้าเฟ่า เชือกด้าย กองเป็นฟ่อน
ฟ้อน 0,ก.,ฟ้อน - รำ
ฟ้อนแง้น 0,น.,"การฟ้อนรำของ ""ช่างซอ"" หรือนักขับซอที่จะฟ้อนรำ เพื่อเป็นการพักการขับซอ ทั้งนี้ผู้ฟ้อนจะแอ่นกายไปข้างหลัง บางคนสามารถฟ้อนแอ่นตัวไปคาบธนบัตรที่ผู้ฟังแกล้งวางไว้ให้ได้สำเร็จ เป็นที่นิยมกันมากในขอบเขตอิทธิพลเมืองน่าน"
ฟ้อนดาบ 0,น.,การร่ายรำโดยใช้ดาบประกอบ
ฟ้อนดาบ 1,ก.,การร่ายรำโดยใช้ดาบประกอบ
ฟ้อนเทียน 0,น.,"การฟ้อนตอนกลางคืน ""ช่างฟ้อน"" จะถือเทียนที่จุดแล้วร่ายรำไปในจังหวะกลองตึ่งโนง การฟ้อนอย่างเดียวกับการ ฟ้อนเล็บ"
ฟ้อนเทียน 1,ก.,"การฟ้อนตอนกลางคืน ""ช่างฟ้อน"" จะถือเทียนที่จุดแล้วร่ายรำไปในจังหวะกลองตึ่งโนง การฟ้อนอย่างเดียวกับการ ฟ้อนเล็บ"
ฟ้อนผีมด 0,น.,การฟ้อนเพื่อบวงสรวงบรรพบุรุษ มักกระทำในช่วงก่อนฤดูกาลทำนา
ฟ้อนผีมด 1,ก.,การฟ้อนเพื่อบวงสรวงบรรพบุรุษ มักกระทำในช่วงก่อนฤดูกาลทำนา
ฟ้อนผีเมง 0,น.,การฟ้อนเพื่อบวงสรวงบรรพบุรุษ มักกระทำในช่วงก่อนฤดูกาลทำนา
