คำ,POS,ความหมาย
ภควา 0,น.,ชนผู้มีสมบัติอันบุคคลพึงเสพ หมายถึงพระพุทธเจ้า นามพระพุทธเจ้า นามพระเป็นเจ้า
ภคินี 0,น.,พี่หญิง น้องหญิง
ภชุม 0,ก.,ประชุุม ชุมนุม
ภม 0,น.,พรหม - ชื่อพระเป็นเจ้าผู้สร้างโลกตามคติพราหมณ์ เทพในพรหมโลก ควรใช้ พรหม
ภม 1,น.,พรม - เครื่องลาดทำด้วยขนสัตว์
ภมอร 0,น.,ช่างกลึง แป้นหมุนของช่างกลึง
ภยา 0,น.,พระยา - ตำแหน่งหัวหน้าของชุมชน
ภยา 1,น.,เจ้าแผ่นดิน ผู้เป็นใหญ่ ตำแหน่งผู้นำของกลุ่มชน
ภวตัณหา 0,น.,ตัณหาความเป็นไปในภพ คือ ความอยากมี อยากเป็น อยากเกิด
ภวม 0,ว.,ในช่วงเวลา ในระยะเวลาคาบเกี่ยว เช่น ควมแดดร้อน ขณะที่แดดกำลังร้อน
ภ่วม 0,ว.,พร้อมๆ กัน เวลาเดียวกัน ส่วนมากใช้ พุ่ม
ภ่วม 1,ว.,ร่วมกัน พร้อมเพรียง ครบครัน ในขณะเดียวกัน ทันกัน
ภวะ 0,*น.,ภพ - ชาติ การเกิด ความมี ความเป็น
ภวังคะ 0,น.,ส่วนที่อยู่ระหว่างสนธิกับจุติ มิได้เสวยอารมณ์ในทวารทั้ง ๖ มีจักษุทวาร เป็นต้น
ภเสิต 0,ว.,ประเสริฐ ดีงาม
ภอง 0,ก.,ซุ่มรอโอกาส หมายปอง
ภอง 1,ว.,กำลัง เพิ่งจะ พึ่งจะผ่านเวลานั้นไป
ภ่อง 0,ว.,บ้าง บาง บางคน บางพวก
ภ่อง 1,ว.,บ้าง บางสิ่ง บางส่วน บางคน ไม่เต็มอัตรา
ภองหา 0,ก.,รอคอย คอยที คอยโอกาส
