คำ,POS,ความหมาย
มกคก 0,ว.,ลักษณะของสิ่งที่มีสัณฐานใหญ่และนูน
มกระ 0,น.,มังกร ชื่อดาวราศีที่ ๑๐
มคธภาสา 0,น.,ภาษาของชาวมคธ ซึ่งหมายถึงภาษาบาลี
มคธะ 0,น.,แคว้นมคธ - ชื่อเคว้นหนึ่งในอินเดียสมัยพุทธกาล ปัจจุบันนิยมเรียก พิหาร
มณฑก 0,น.,มณฑป - เรือนยอดที่มีรูปสี่เหลี่ยมกบ
มณี 0,น.,แก้วมณี หม้อน้ำ
มณีกัก 0,น.,ชื่อที่นิยมใช้เป็นชื่อม้าในวรรรคดี แปลว่ามีดวงตาดั่งดวงมณี ซึ่งมักเขียนว่า
มณีกักขิ์ 0,น.,ชื่อที่นิยมใช้เป็นชื่อม้าในวรรรคดี แปลว่ามีดวงตาดั่งดวงมณี ซึ่งมักเขียนว่า
มณีกาก 0,น.,ชื่อที่นิยมใช้เป็นชื่อม้าในวรรรคดี แปลว่ามีดวงตาดั่งดวงมณี ซึ่งมักเขียนว่า
มณีกาบ 0,น.,ชื่อที่นิยมใช้เป็นชื่อม้าในวรรรคดี แปลว่ามีดวงตาดั่งดวงมณี ซึ่งมักเขียนว่า
มด 0,น.,มด
มด 1,น.,หมอผี หมอเวทมนตร์ ซึ่งมักเรียก พ่อมด แม่มด
มด 2,น.,ผีบรรพบุรุษของเผ่าไทยวน มักใช้ร่วมกับ ผีเฝง ซึ่งเป็นผีบรรพบุรุษของเผ่ามอญ ผีมดผีเมง ซึ่งหมายถึงผีบรรพบุรุษ
มดง่าม 0,น.,มดคันไฟ
มดง่ามแดง 0,น.,มดคันไฟ
มดดำ 0,น.,มดดำ
มดแดงน้อย 0,น.,มดคันไฟ
มดแดงไฟ 0,น.,มดคันไฟ
มดตะขีด 0,น.,กามโรค
มดน้ำอ้อย 0,น.,มดตาลาน
มดรี่ 0,น.,มดชนิดหนึ่งคล้ายมดส้ม ตัวดำ ไข่กินได้
มดลม 0,น.,มดชนิดหนึ่งก้นแหลม กัดเจ็บ มีพิษ
มดลิ้น 0,น.,มดตะนอย
มธุ 0,น.,น้ำหวาน น้ำผึ้ง
มธุปายาสะ 0,น.,ข้าวปายาสเจือน้ำผึ้ง ใช้เป็นของหวานในงานรื่นเริง
มน 0,ก.,มน วน
มน 1,ว.,กลม โค้งๆ ไม่เป็นเหลี่ยม
มนแคว็ด 0,ว.,กลมดิก
มนต์ 0,ก.,เสกด้วยคาถา
มนตรี 0,น.,ที่ปรึกษา ข้าราชการชั้นผู้ใหญ่
มนต์สวาธ 0,ก.,เสกด้วยคาถา (กวีนิพนธ์)
มนต์สวาธต้อง 0,ก.,เสกด้วยคาถา (กวีนิพนธ์)
มนไพมนมา 0,ก.,วนเวียนไปมา เคว้งคว้าง
มนะ 0,น.,ใจ
มนุสส์ 0,น.,คน มนุษย์
มโน 0,น.,ใจ
มโนรถะ 0,น.,ความหวัง ความประสงค์
มโนรา 0,น.,ชื่อตัวละครเอกฝ่ายหญิงในเรื่องสุธนชาดก
มโนสิลา 0,น.,ศิลาอ่อนที่บดให้ละเอียดผสมเป็นสีทาสิ่งอื่นได้ อีกนัยหนึ่งว่าสารหนูแดง เรียกหินลายสีแดง
มบ 0,ก.,ยุบลง เม้ม ขลิบอย่างขลิบริมเสื่อ
มยัง 0,น.,พวกเรา เราทั้งหลาย
มยุระ 0,น.,นกยูง
มรณธัมม์ 0,น.,มีความตายเป็นของธรรมดา
มรณะ 0,น.,ความตาย
มระ 0,น.,ความตาย
