คำ,POS,ความหมาย
ยก 0,ก.,ยก เคลื่อนไป พากันไป เดินทาง มอบให้
ยกขันครู 0,ก.,ไหว้ครู
ยกครู 0,ก.,ไหว้ครู
ยกย่าง 0,ก.,ย่าง ย่างเท้า เดิน
ยกย่างย้าย 0,ก.,ย่าง ย่างเท้า เดิน
ยง 0,ก.,ทำให้สูงขึ้น ยกขึ้นอย่างยกของขึ้นจบก่อนทำบุญ
ยง 1,ก.,จบ ยก มักใช้กับการยกพานหรือเครื่องบูชาเพื่อเป็นการถวาย
ยง 2,ก.,ยกขึ้น อย่างการยกของขึ้นจบก่อนทำบุญ ทำให้สูงขึ้น ทำให้โปร่งอย่างใช้ไม้เขี่ยฟางให้เมล็ดข้าวร่วงลง ตัวอย่าง ลงฟาง
ย่ง 0,ก.,ยก ยกขึ้น เช่น ย่งขันโตกเข้ามา - ยกตะลุ่มอาหารมา
ย่ง 1,ว.,คำประกอบท้ายเพื่อแสดงว่าเบา โล่ง เช่น ใจดีย่ง - เบาใจ
ย้ง 0,น.,เรียกชื่อกางเกงเป้ายานแบบจีน เตี่ยวย้ง เตี่ยวสะดอ
ยงขัน 0,ก.,ไหว้ครู
ย่งชัด 0,ก.,ยกขึ้นแล้วทิ้งไป
ย่งชัด 1,ว.,คำขยายท้ายคำ หายใจ เช่น หายใจย่งชัด - หอบ หายใจถี่ด้วยความเหนื่อยหรืออ่อนเพลีย
ยงๆ 0,ว.,เห็นได้ชัดเจน เช่น หัวล้านใสยงๆ
ย่งๆ 0,ว.,อาการสั่นเทิ้ม สั่นระรัว วูบวาบ เช่น โคมลอยขึ้นย่งๆ - บอลลูนกระดาษลอยวูบวาบขึ้นสู่ฟ้า
ยด 0,น.,ยศ ดู - ยส
ยน 0,ก.,กระโดดโลดเต้น คึกคะนอง
ย้น 0,ก.,ดันเข้า อัดเข้า ยัดเข้า ยัดเยียด
ยนต์ 0,น.,ฟันเฟืองเกลียวขนาดใหญ่ เครื่องเจาะสว่านชนิดที่มีแกนทำด้วยไม้เป็นเกลียวให้รูดไปมา เพื่อให้แกนนั้นหมุนเจาะไม้ได้ มีที่สำหรับใช้บ่าดันตรงโคนสว่านด้วย (ถ้าสว่านมือเรียก เหล็กชี)
ยนต์ 1,น.,หุ่น หรืออาวุธที่ทำขึ้นแล้วกำกับให้เคลื่อนไหวได้ด้วยอาคม มักใช้รักษาสมบัติที่ฝังไว้
ยนต์ 2,น.,เครื่องกลไก เครื่องจักรที่ทำให้เกิดพลังงาน
ยนต์ผัด 0,น.,กงจักร
ยนต์ฟัน 0,น.,กงจักร
ยนต์อีดอ้อย 0,น.,เครื่องหีบอ้อยอันประกอบด้วยเฟืองขนาดใหญ่ประมาณ ๓๐ เซนติเมตร สูงประมาณ ๑ เมตร สองอันมีแกนอยู่กลาง มีคานไม้ต่อเข้ากับแกนแล้วใช้ควายคู่เทียมหมุนแกนนั้น
ยม 0,น.,ต้นมะยม บ่ายม (บ่า-ญม) ก็ว่า.
ยม 1,ก.,อ่อนน้อม ไม่กรอบ นุ่มลง ลดความแข็งกระด้างลง ชื้น อ่อนเพลีย ล้า หมดแรง
ยมภิบาล 0,น.,ยมบาล - เจ้าพนักงานในเมืองนรก มีหน้าที่ลงโทษทรมานคนที่ตกนรกตามคำสั่งของพระยายม
ยมหิน 0,น.,ต้นมะยมหิน เรียก บ่ายมหิน
ยมหิน 1,น.,ต้นสะเดาช้าง คางขี้มอด ขางแดง แดงน้ำ พระเจ้าห้าพระองค์
ยล 0,ก.,มอง มองเห็น (โคลงนิราศหริภุญชัย)
ยวง 0,น.,ยวง สิ่งที่มีลักษณะนุ่มย้อยยืดลงมาเป็นแนวยาวอย่างเนื้อในของขนุน ปุยฝ้าย ปุยนุ่น ขี้มูก ฝี
ยวน 0,น.,ขื่อเผ่าของคนไทในล้านนาเรียก ไทยวน ซึ่งอาจแผลงเป็น โยน และ โยนก
ยวน 1,ก.,อิจฉา ขอย ก็ว่า. และมักใช้คู่กันว่า ขอยยวน
ยวน 2,น.,ชื่อของชาวไทล้านนา
ยวบ 0,ก.,อาการที่ไหวจะยุบลง
ยวบ 1,ว.,อาการที่ไหวขึ้นลงตามแนวนอน เช่น ขัวค้อมยวบๆ - สะพานไหวขึ้นลงยวบยาบ ยวบๆ ดู ยวบ
ย้วย 0,ก.,ย้วย เบี่ยงหรือเลี่ยงจากแนวปกติ
ยวะ 0,ว.,เป็นประกาย พร่างพราย เช่น บอกไฟดอกแตกยวะ
ยวะยว่าง 0,ว.,พะรุงพะรัง มากมายแต่มักไม่เป็นระเบียบ
ยวะๆ 0,ว.,พราวสะพรั่ง เช่น ใส่เพชรยวะๆ
ยวา 0,ก.,เอ่อคลอ มักใช้กับน้ำตา
ยว่า 0,ว.,วุ่นวาย สับสน
ยว่าง 0,ก.,เอ่อ เยิ้ม ฉ่ำ
ยว่าง 1,ว.,หลวม ไม่แน่น
ยว่างเยว่ง 0,ว.,หลวม ไม่แน่น โยกคลอนได้อย่างเสาที่ฝั่งไว้ไม่แน่น
ยว่าม 0,ก.,ขยุ้ม เกร็งนิ้วทั้งห้าจับหรือหยิบสิ่งของให้มากที่สุด
ยว้าย 0,ก.,ยิ้ม ยิ้มแย้ม
ยว้ายแย้ม 0,ก.,ยิ้มแย้ม เบิกบาน
ยวายว่างเบ้า 0,ก.,น้ำตาเอ่อปริ่มขอบตา
ยว้ายสี่แจ่ง 0,ก.,ยิ้มสี่มุม คือยิ้มจนหน้าบาน
ยว่าๆ 0,ว.,สับสน วุ่นวาย ขวักไขว่ ใช้กับสัตว์จำนวนมากที่ไต่ไปมา เช่น มดจำนวนมาก
