คำ,POS,ความหมาย
รก 0,น.,รก - เครื่องสำหรับหล่อเลี้ยงทารกในครรภ์ แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก สายดือ สายแห่ สายแหร่ สายแจหักแห่ ก็ว่า.
รก 1,ว.,รก - กระจัดกระจาย ไม่เป็นระเบียบเรียบร้อย งอกขึ้นหรือรวมกันอยู่อย่างยุ่งเหยิง เช่น ป่ารก
รกฟ้า 0,น.,ต้นรกฟ้า เปลือกให้น้ำฝาดสีแดงใช้ย้อมสีทำยาได้ น้ำด่างจากเถ้าใช้ทำน้ำยาเคลือบเครื่องปั้นดินเผา
รดู 0,น.,ฤดู - ส่วนของปีซึ่งเป็นสามคราวขึ้นไป เช่น ฤดูร้อน ฤดูฝน ฤดูหนาว
รดู 1,น.,เลือด - ประจำเดือนของผู้หญิง
รตนไตร 0,น.,แก้วสามประการ หมายถึง พระพุทธ พระธรรม พระสงฆ์
รตนะ 0,น.,แก้ว : คน สัตว์ สิ่งของที่ถือว่าวิเศษมีค่ามาก
รถ 0,น.,รถ เกวียน ยานที่มีล้อสำหรับเคลื่อนไป
รถกูบ 0,น.,รถเก๋ง - รถยนต์ส่วนบุคคลที่มีหลังคาคล้ายหลังเต่า
รถขายอยา 0,น.,หน่วยโฆษณาเคลื่อนที่ของบริษัทที่ผลิตและจำหน่ายยารักษาโรค มักจะแายภาพยนตร์กลางแปลงในการโฆษณาขายยา
รถเครื่อง 0,น.,รถจักรยานยนต์
รถซาเล้ง 0,น.,รถจักรยานสามล้อชนิดที่มีกระบะบรรทุกของอยู่ด้านหน้าผู้ขับขี่ มักมีสีแดง
รถต่างครัว 0,*น.,รถบรรทุกของ
รถตุ๊กๆ 0,น.,รถจักรยานยนต์สามล้อ มักใช้รับจ้าง
รถถีบ 0,น.,รถจักรยานสองล้อ
รถพู้ 0,น.,รถจักรยานสองล้อแบบชาย
รถมอเทอร์ 0,*น.,รถยนต์ มักหมายถึงรถโดยสาร
รถม้า 0,น.,รถม้า
รถแม่ 0,น.,รถจักรยานสองล้อแบบหญิง
รถสองวง 0,น.,รถจักรยานสองล้อ
รถสามล้อ 0,น.,รถจักรยานสามล้อ มักใช้รับจ้าง
รถสามล้อเครื่อง 0,น.,รถจักรยานยนต์สามล้อ มักใช้รับจ้าง
รถสามล้อแดง 0,น.,รถจักรยานสามล้อชนิดที่มีกระบะบรรทุกของอยู่ด้านหน้าผู้ขับขี่ มักมีสีแดง
รถสี่ล้อ 0,น.,รถสองแถว - รถยนต์โดยสารขนาดเล็กที่ต่อเติมจากรถกระบะ นิยมใช้รับจ้างในเมืองเก็บค่าโดยสารเป็นรายหัว ไม่เก็บตามระยะทาง
