คำ,POS,ความหมาย
ลก 0,ว.,หก - โบราณเรียกลูกชายคนที่ ๖ ว่า ลก คู่กับลูกหญิงคนที่ ๖ ว่า อก เช่น ท้าวลก - พระเจ้าติโลกราช
ลคอร 0,น.,มักเรียกเมืองลำปางว่า เวียงลคอร ซึ่งมาจาก เขลางคนคอร (ป. เขลางคนคร)
ลคอร 1,น.,ต้นดอกทองอุไร
ลง 0,ก.,ลง
ลง 1,ก.,กิริยาที่ลูกเขยที่อยู่กับพ่อแม่ฝ่ายหญิงครบสามปีแล้ว หรือมีบุตรแล้วย้ายไปตั้งครอบครัวใหม่
ล่ง 0,ว.,โล่ง ดู โล่ง
ล้ง 0,ก.,ทะลุ เป็นรูโล่ง
ลงข่วง 0,น.,เข้าที่ประชุม พบปะกันในที่ประชุม
ลงเข้าผี 0,ก.,เข้าทรง - เชิญผีหรือเทวดาให้เข้ามาสิงอยู่ในคนแล้วถามเหตุรายดีหรืออ้อนวอนขอความเจริญ
ลงท้อง 0,ก.,เคลื่อนลงสู่ท้อง กลืนกิน
ลงผี 0,ก.,เข้าทรง - เชิญผีหรือเทวดาให้เข้ามาสิงอยู่ในคนแล้วถามเหตุรายดีหรืออ้อนวอนขอความเจริญ
ลงเมื่อ 0,น.,ลงเลขเพี่อให้ฤกษ์หรือทำนายโชคชะตา
ลงเรือน 0,ก.,กิริยาที่ลูกเขยที่อยู่กับพ่อแม่ฝ่ายหญิงครบสามปีแล้ว หรือมีบุตรแล้วย้ายไปตั้งครอบครัวใหม่
ลงลุ่ม 0,ว.,ต่ำกว่า น้อยกว่าในแง่ของปริมาณหรือราคา ตรงข้ามกับ เมือบน
ลงสนาม 0,น.,เข้าที่ประชุม พบปะกันในที่ประชุม
ลงหลิ่ง 0,ก.,เลื่อนลงตามทางลาด
ลงหัว 0,ก.,ยอมรับ อย่างยอมร้บในความสามารถของผู้อื่น
ลงหัว 1,ก.,การที่พืชหัวเริ่มโตขึ้น
ลงหื้อกัน 0,ก.,ลงรอยกัน เข้ากันได้ ยอมกัน
ลงอาชญา 0,ก.,ลงอาญา - ลงโทษหรือทำโทษ
ลด 0,ก.,ลด - น้อยลง ต่ำลง ผ่อนลง ถอย
ลด 1,ก.,อาการที่ตะเข็บของเสื้อผ้าปริแตก
ลดน้ำนา 0,ก.,ปรับระดับน้ำในนาให้ลดลง ตรงข้ามกับ ใส่น้ำนา
ลตา 0,น.,ลดา - เถาวัลย์ เครือไม้ กิ่ง
ลน 0,ก.,ลน - ทำให้ร้อนด้วยไฟ ทำให้อ่อนด้วยไฟ
ล่น 0,ก.,วิ่ง วิ่งเร็ว
ล้น 0,ก.,ล้น
ล้น 1,ว.,ยิ่ง มากยิ่ง
