คำ,POS,ความหมาย
วก 0,ก.,สกัด ดักหน้า ล้อม เลี้ยว เลี้ยวกลับ
วก 1,ก.,ใช้เป็นคำขอร้องให้คนช่วย กันสกัดสิ่งที่วิ่งหนีไปจากตนอย่าง หมาบ้า ขโมย
วกหลัง 0,ก.,ตลบหลัง ปิดล้อมด้านหลัง
วง 0,น.,รูปที่มีเส้นนอกที่โค้งเช้ามาบรรจบกัน ล้อมรอบขอบเขตของสิ่งใดสิ่งหนึ่ง
วง 1,น.,ลักษณะนามเรียกของที่เป็นห่วง หรือการเล่นที่มีการนั่งหรือยืนล้อมกัน ดูเพิ่มเติมที่ ควง
วงกต 0,น.,ชื่อภูเขาลูกหนึ่งในเรื่องเวสสันดรชาดก มีทางเข้าออกวนเวียนอาจทำให้หลงทางได้ ชาวล้านนานิยมสร้างเขาวงกตจำลองในเทศกาลเทศน์มหาชาติ
วงตึ่งโนง 0,น.,วงดนตรีที่มีกลองแอวเป็นหลักใช้ประกอบการฟ้อนเล็บและฟ้อนเทียน
วงสา 0,น.,เชื้อสาย เหล่ากอ ตระกูล
วจีกัมม์ 0,น.,การพูด การกระทำทางวาจา (ป.วจีกมฺ)
วชิระ 0,น.,เพชร
วชิระ 1,น.,สายฟ้า อาวุธของพระอินทร์
วณิชะ 0,น.,พ่อค้า ผู้ทำการค้า
ว้น 0,ก.,ม้วน
ว้น 1,ก.,ม้วน พัน วนเข้าหาศูนย์กลาง เรียกด้ายที่จัดไว้เพื่อจะทอว่า ฝ้ายว้น
วนจรกะ 0,น.,ผู้เดินป่า
วนจรกะ 1,น.,หญิงสาว
ว้นหูก 0,ก.,ค้นหูก จัดเส้นไหมหรือด้ายสำหรับทอผ้าให้มีจำนวนเหมาะกับช่องฟันฟืม
วนะ 0,น.,ป่าไม้ ดง
วนิดา 0,น.,หญิง หญิงสาว
วเนจระ 0,น.,คนเที่ยวไป นายพรานเที่ยวไปในป่า
วยากรณะ 0,น.,การทำนาย การคาดการณ์
วรุณะ 0,น.,ฝน ชื่อเทพแห่งน้ำ ชื่อเทพแห่งฝน
ว้อ 0,น.,โรคกลัวน้ำ เรียกสุนัขที่เป็นโรคกลัวน้ำว่า หมาว้อ
ว้อ 1,น.,บ้า คลั่ง เช่น เปนบ้าเปนว้อ - เป็นบ้า คลั่ง
วอ ๆ แว ๆ 0,ก.,รบกวน เซ้าซี้
วอก 0,น.,ลิง
วอก 1,น.,โกหก ตลบตะแลง
ว็อก ๆ แว็ก ๆ 0,ว.,วอกแวก - อาการที่ส่ายไปส่ายมาไม่แน่นอน
วอกจอดแอว 0,สำนวน.,มีเล่ห์เหลี่ยมมาก ตลบตะแลง
วอกโทน 0,สำนวน.,คำด่า หมายถึงบุคคลผู้มีเล่ห์เหลี่ยมมาก
ว็อกแว็ก 0,ว.,วอกแวก - อาการที่ส่ายไปส่ายมาไม่แน่นอน
วอกหน้อย 0,น.,ผู้เยาว์ที่มีเล่ห์เหลี่ยม โดยปริยายเป็นคำเรียกแสดงความเอ็นดูแกมหมั่นไส้
วอกหลวง 0,น.,ผู้มีเล่ห์เหลี่ยมจัด
วอง 0,น.,คนที่ประสาท ผวา คนจิตหลอน
วอง 1,ว.,ว่องไว ปราดเปรียว
ว่อง 0,ก.,รวดเร็ว คล่องแคล่ว ปราดเปรียว
ว่อง 1,ว.,รวดเร็ว คล่องแคล่ว ปราดเปรียว
ว่อง 2,ก.,มอบให้ ให้ปัน
ว้อง 0,น.,บ่วง วง สิ่งที่เป็นบ่วงหรือวงขนาดเล็ก
ว้อง 1,น.,ชื่อเมืองในเขตยูนานโดยปริยายหมายความว่าที่ไกลมาก
ว้อง 2,ว.,โง้ง เป็นวงโค้งใช้กับสิ่งของขนาดเล็ก
ว้องตีนม้า 0,น.,เกือกม้า
ว่องเวนวาง 0,ก.,มอบให้ ยกให้เป็นกรรมสิทธิ์
