คำ,POS,ความหมาย
สก 0,ก.,สับ โขก อย่างงูฉก ล้านนาใช้ ตอด หรือ ขบ
สก 1,ก.,ฉก - กัด ต่อย มักใช้กับอาการที่งูกัด ดู ฉก
สกติ 0,น.,ฉกษัตริย์ - ชื่อกัณฑ์ในเวสสันดรชาดก ดู ฉขัตติ
สกทาคามิผละ 0,น.,ธรรมที่พระอริยบุคคลขั้นสกาทาคามิได้บรรลุจากการละสักกายทิฏฐิ วิจิกิจฉา ลีสัพพตปรามาส กับทำให้ราคะ โทสะ โมหะ ให้เบาบาง ซึ่งสืบเนื่องมาแต่สกทาคามิมัคคะ
สกทาคามี 0,น.,"""ผู้มาสู่กามธาตุอีกครั้งหนึ่ง"" ชื่อพระอริยบุคคลผู้บรรลุสกทาคามิผล สกิทาคามี ก็เขียน"
สกราชะ 0,น.,ศักราช - อายุเวลาซึ่งกำหนดขึ้นเป็นทางการเริ่มแต่จุดหนึ่ง ซึ่งถือว่าเป็นที่หมายเหตุการณ์สำคัญเรื่องลำดับเป็นปี ๆไป เช่น จุลสกราชะ ที่ ๑ ๒ ๓ ในล้านนา ปรกติหมายถึงจุลศักราช ซึ่งน้อยกว่าพุทธศักราช ๑๑๘๑ ปี แต่จุลศักราชในชินกาลมาลีปกรณ์จะน้อยกว่าพุทธศักราช ๑๑๘๒ ปี สักกะ สักกราชะ สักกราช สักขาด สขาด ก็เขียน
สกลโยธา 0,น.,ไพร่พล พลศึก สกุลโยธา ก็เขียน
สกละ 0,ว.,สากล ทั้งหมด ทั้งสิ้น
สกสับตอด 0,ก.,ฉก จิก ต่อย - อย่างที่งูหรือสัตว์มีพิษทำร้าย
สกัน 0,ว.,ฉกรรจ์ ห้าวหาญ แข็งแรง
สกัน 1,ว.,ฉกรรจ์ - ห้าวหาญ เข้มแข็ง เก่งกาจ ดู ฉกัน
สกันหาน 0,ว.,กล้าหาญ
สกา 0,น.,เครื่องเล่นการพนันอย่างหนึ่งใช้ลูกเต๋าทอดแล้วเดินตัวสกาตามแต้มที่ออก
สกุณา 0,น.,นก
สขัตติ 0,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
สขัตติ 1,น.,ชั้ื่อกัณฑ์ที่ ๑๒ ใน มหาชาติ ซึ่งประกอบทั้งสิ้นจำนวน ๑๓ กัณฑ์
