คำ,POS,ความหมาย
หก 0,น.,หก
หก 1,ก.,วิ่ง กระโดด เต้น โลด ผันกลับไปกลับมา แสดงอาการคึกคะนอง
หกขะหยก 0,ก.,ผก โขยกเขยก อย่างอาการของม้าโขยก
หกขึ้นหกล่อง 0,ก.,ขึ้น ๆ ล่อง ๆ มักหมายถึงการไปโน่นมานี่แต่ไม่ได้ผลหรือเป็นเรื่องเป็นราว
หง 0,ก.,โยน โปรย
หง 1,ก.,หุง - ปรุง ทำให้สุกด้วยไฟ ดู โหง
หง 2,ก.,หุง ปรูง ถลุง ต้ม กลั่น อย่าง หุงเหล้า - กลั่นสุรา หุงเข้า - หุงข้าว หุงแร่ - ถลุงแร่
หง 3,ก.,โยน โปรย เช่น โหงบ่านาว - โปรยมะนาวเป็นการทิ้งทาน
หงก 0,ว.,ลักษณะเป็นโหนกนูนหรือตะโหงกอย่างตอไม้
หงกหงัก 0,ว.,ลักษณะโหนกนูนเป็นตะโหงกโง้งงอ
หงบ่านาว 0,ก.,โปรยทาน ทิ้ง ทาน - นิยมใช้เงินเหรียญสอดไว้ในมะนาว หรือก้านกล้วยที่ตัดเป็นท่อนสั้น ๆ เพื่อโปรย เป็นการทิ้งทานในขณะเคลื่อนขบวนศพ หรือขบวนแห่นาค
หงวบ 0,ก.,กัด ขย้ำ - อาการที่สัตว์อย่างสุนัขงับสิ่งของ
หงวม 0,ก.,ตะปบ ตะครุบ คว้า ฉวย
หง่วย 0,ว.,เป็นง่อย
หงวาบ 0,ก.,กัด ขย้ำ - อาการที่สัตว์อย่างสุนัขงับสิ่งของ
หงวาบ ๆ 0,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
หงวาบเหงวบ 0,ว.,อาการปวดมากเรียก ขบหงวาบ ๆ
หงวาม 0,ก.,ตะปบ ตะครุบ คว้า ฉวย
หงว้าว ๆ 0,ว.,เสียงแมวตัวผู้เรียกหาตัวเมีย ประกอบที่ แหง้ว ๆ หรือ แหงว้ว ๆ
หงส์ 0,น.,หงส์ - นกในนิยายถือกันว่าเป็นนกในตระกูลสูง งดงามและมีเสียงไพเราะ
หงเหล้า 0,ก.,หุงเหล้า กลั่นสุรา
หงอก 0,ว.,หงอก ใช้แก่ขนหรือผมคนที่เปลี่ยนจากสีเดิม
หง็อกแหง็ก 0,ว.,งอพับไปพับมา
หง้องแหง้ง 0,ว.,เสียงอย่างลูกหมาส่งเสียงขณะกัดกัน
หง้องแหง้ง 1,ว.,ลักษณะของสิ่งเล็กที่งอพับไปมา
หง็อด ๆ 0,ว.,อาการที่ปวดตุบ ๆ อย่างเล็บขบ
