คำ,POS,ความหมาย
อก 0,น.,อก - อวัยวะ ด้านหน้าถัดคอลงมาและกัดท้องขึ้นไป
อก 1,น.,ไป มาตราวัดความยาว กำหนดเอาช่วง ตั้งแต่ปลายแขนจนถึงกลางอก
อก 2,น.,(โบ) คำเรียกบุตรหญิงคนที่ ๖ คู่กับเรียกบุตรชายคนที่ ๖ ว่า ลก
อกไข 0,ว.,เปิดอก อกกว้าง อกใหญ่ งาม ผึ่งผาย
อกเจ้าพ่อ 0,อุทาน.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าพ่ออก 0,อุทาน.,"“อกพ่อเอย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าแม่ 0,อุทาน.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกเจ้าแม่อก 0,อุทาน.,"""อกแม่เอ๋ย"" คำอุทานแสดงความรักความสงสาร"
อกตัญญู 0,น.,ผู้ไม่รู้คุณที่ท่านผู้อื่นทำแก่ตน
อกพุทโถ 0,อุทาน.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกพุทโธ 0,อุทาน.,"คำอุทาน อย่างคำ ''พุทโธ่"""
อกุสล 0,น.,ความชั่ว ความไม่ดี
อคติ 0,น.,ความลำเอียง ๔ อย่าง คือ ฉันทาคติ - ลำเอียงเพราะรัก โทสาคติ - ลำเอียงเพราะโกรธ ภยาคติ - ลำเอียงเพราะกลัว โมหาคติ - ลำเอียงเพราะเขลา
อโฆสะ 0,ว.,ไม่ก้อง เรียกพยัญชนะที่มีเสียงไม่ก้องว่าพยัญชนะอโฆสะ คือ ก ข จ ฉ ฏ ฐ ต ถ ป ผ ศ ษ ส และห
อง 0,ว.,ลักษณะศีรษะที่เถิกแต่ยังไม่ล้าน
อ้ง 0,น.,อุ้ง อย่างอุ้งมือ
อ้ง 1,น.,อก อย่างอกไก่
อ้ง 2,น.,ลักษณะของที่เป็นอุ้งหรือแอ่ง เว้าเป็นภาชนะได้
องแก่นตา 0,น.,เบ้าตา
อ้งขะหล้ง 0,น.,ที่ซึ่งยุบลงหรือทำให้เป็นแอ่งมีขนาดใหญ่กว่าที่ควร อย่างที่นอนที่ยุบลงเป็นแอ่ง
องค์คราน 0,น.,รูปโฉมอันงาม
องคะ 0,น.,ส่วนของร่างกาย อวัยวะ ตัว รูปโฉม เช่น เสียองคะ - เสียโฉม พิการ
องคุลี 0,น.,นิ้ว
องฅาน 0,น.,รูปร่างงาม (ดู - องค์คราน)
องมง 0,น.,อุโมงค์ (ดู - อุโมงค์ อัมมังคะ)
อ้งหม้ง 0,น.,ที่ซึ่งเป็นแอ่งโดยธรรมชาติ
องอาจ 0,ว.,องอาจ กล้าหาญ ผึ่งผาย สง่างาม
