คำ,POS,ความหมาย
อยด 0,ก.,ซ่อม ทำช่องว่างให้เต็มอย่างซ่อมหลังคารั่ว
อยดยายจีม 0,ว.,เรียงรายกันหนาแน่น
อยดอยา 0,ก.,ซ่อมแซม ทำให้มีสภาพดีดังเดิม ดู อยา
อยดอยาย 0,ก.,เรียงราย อย่างบ้านเรือนที่ตั้งเรียงรายกันไป
อยวก 0,น.,หยวก
อยวก 1,ว.,มีขนาดใหญ่ มักใช้กับพืชที่มีขนาดโต เปื่อย ยุ่ย ขาว - เหมือนหยวกกล้วย
อยวะ 0,ก.,ร่วงหรือหล่นลงโดยเร็ว
อยวาด 0,น.,ดาวตก เรียกว่า ดาวอยวาด
อยวาด 1,ก.,หยาด - ร่วงหรือหล่นลงอย่างช้า ๆ
อยวาดยวา 0,ก.,อาการที่น้ำตาคลอเบ้า เช่น น้ำตาอยวาดยวาพังหลั่งเม็ด
อยวาย 0,ก.,ป่ายปีน - ค่อย ๆ เคลื่อนที่ไป ก้าวไป ก้าวคืบไป
อยว้าย 0,ก.,กลับหลัง
อยวายอย่อง 0,ก.,ค่อยๆ เดินไป
อยอก 0,ก.,หยอก - เล่นหรือล้อไม่จริงจัง
อยอกเอยาะ 0,ก.,หยอกเย้า หยอกในทำนองเกี้ยวพาราสี
อยอกเอยาะ 1,ก.,หยอกเย้า แหย่เล่น
อยอง 0,ก.,วางตั้ง วางทับไว้ข้างบน
อย่อง 0,น.,เรียกสิ่งที่งอโค้งตรงกลาง เพื่อใช้ขาทั้งสองเสียบลงไปในเนื้อของวัตถุนั้น โดยให้ส่วนที่ทำโค้งกดกระหนาบสิ่งอื่นหรือส่วนของสิ่งนั้นลงไปให้ เรียบอย่างที่เสียบผมมิให้ผมรุ่ย หรือไม้เสียบหนู ที่เสียบกับไม้ข้างควายขนาบบนหลังคาเรือน
อย่อง 1,น.,รังงอบ
อย่อง 2,ก.,ย่อง - เดินอย่างใช้ปลายเท้าจดลงเบา ๆ หรือเดินแอบมิให้ผู้อื่นรู้เห็น
อย้อง 0,ก.,ประดับ ตกแต่งให้งาม เครื่องประดับเรียก ว่า เครื่องอย้อง
อย่อง ๆ 0,ว.,อาการสันสะท้าน
อยองขัน 0,ก.,วางอยู่บนพาน
อย่องเขาะ 0,ว.,นั่งยอง ๆ
อยองปลี 0,น.,นกกินปลี - ตัวเล็กปากยาวโค้งงองุ้มปลายแหลมเล็ก กินน้ำหวานในปลีกล้วยในดอกไม้และกินแมลง
อยองปลี 1,น.,บราลี - ส่วนที่ใช้ประดับหลังคาอุโบสถ หอธรรม พระวิหาร เป็นรูปปลายแหลมเล็ก ๆ เรียงรายบนสันหลังคา
อย่องสู้ 0,ก.,แอบพอใจกัน รักกันโดยที่ไม่มีผู้อื่นรู้เห็น (กวีนิพนธ์)
อย่องอยวาย 0,ก.,ย่องเบา - อาการที่ย่องเข้าไปลักสิ่งของของเขาเพื่อไม่ให้เจ้าของรู้ตัว
อย่องอยื้อ 0,ก.,ชะโงก ยื่นหน้ามองดู
อย่องเอยาะ 0,ก.,อาการเดินแบบค่อย ๆ ย่อง นั่งยอง ๆ มักใช้ อย่องเขาะ มากกว่า
อยอด 0,ก.,หยอด - ใส่ลงหรือเทลงคราวละน้อย ๆ เช่น อยอดเขาหนมครก - หยอดขนมครก
อย่อน 0,ก.,หย่อน ไม่ตึง ผ่อนไม่ให้ตึง ค่อย ๆ ผ่อนลงมาจากที่สูง ห้อยลง คลาย ทุเลา
อย่อน 1,ว.,น้อย ไม่เต็ม ห้อยอยู่ในส่วนท้ายหรือส่วนปลาย เช่น บ้านอย่อน - กลุ่มบ้านที่ตั้งอยู่ท้ายหมู่บ้าน
อย่อนหื้อ 0,ก.,ลดให้ หย่อนให้ ลดราคาให้ เพลามือให้
อย่อนอย้าน 0,ก.,ย่อหย่อน กลัวเกรง หวาดกลัว
อย็อบ 0,ก.,ย่อลง ยอบตัว
อยอย 0,ก.,ทยอยนำเอาไปทีละน้อยแต่บ่อย
อยัก 0,ก.,หยัก - เฉือน ควั่นหรือใช้มือกดให้เป็นรอยลึกลงหรือคอด
อยัก 1,ว.,คด ๆ งอ ๆ
อยักฅอ 0,ก.,เอามือรวบคอแล้วใช้หัวแม่มือทั้งสองกดที่ลูกกระเดือก
อยักหน้าวอก 0,ก.,เอาหัวแม่มือกดลงบนคำข้าวให้มีรอยบุ๋มเพื่อที่จะวักเอากับข้าวได้มากกว่าจิ้ม
อยัง 0,ก.,ผึ่ง -อาการที่นำเอาผ้าเปียกหรือชื้นไปผึ่งในที่ร่ม (ถ้าผึ่ง แดดเรียก ตาก)
อยัง 1,ก.,เรียง เรียงราย กระจาย
อยั่ง 0,น.,อย่าง - ชนิด สิ่ง ทำนอง วิธี แบบ เยี่ยง
อยั่ง 1,ก.,หยั่ง -วัดดูเพื่อให้รู้ตื้นลึก คาดคะเน ทิ่มแทงลงลึก
อยั่ง 2,ว.,อย่าง - เหมือน เช่น
อยังอยาย 0,ก.,เรียงราย กระจาย แผ่ไป
อยั่งอั้น 0,ว.,อย่างนั้น
อยั่งอี้ 0,ว.,อย่างนี้
อยัด 0,ก.,สะเด็ดน้ำ เช่น ฝนอยัดแล้ว - ไม่มีฝนแล้ว
อยัน 0,ก.,ยัน - ดัน ต้าน ค้ำเพื่อต้านทานการกดทับ
อยัน 1,ก.,รุนไป ไปอย่างรีบร้อน
อยา 0,น.,ยา
อยา 1,น.,ยาสูบ
อยา 2,ก.,รักษา พยาบาล ซ่อมแซม ทำให้พ้นจากความเสียหาย เช่น อยาตัว - รักษาตัวให้หายจากโรค อยาเรือ - อุดเรือมิให้น้ำเข้า
อย่า 0,ก.,อย่า - หยุด เลิก ภายหลังเพี้ยนไปจนเข้าใจกันว่าเป็นคำว่า จะ เช่น จะไพเยียะอยั่งอั้น - อย่าทำเช่นนั้น
อยาก 0,ก.,อยาก - ต้องการ ปรารถนา หิว กระหาย
อยากกลั้น 0,ก.,อดอยาก
อยากเข้า 0,ก.,หิวอาหาร
อยากไคร่ 0,ก.,ปรารถนาที่จะ... ต้องการจะ... เช่น อยากไคร่ได้รถถีบ - อยากได้รถจักรยานสองล้อ
อยากน้ำ 0,ก.,กระหายน้ำ
อยาแก้ 0,น.,ยาที่ได้จากสมุนไพรหลายชนิดใช้ แก้โรคได้หลายอย่าง
อยาแก้ 1,น.,ชื่อพรรณไม้ยืนต้นขนิดหนึ่ง
อยาขื่น 0,น.,ยาฉุน
อยาคอบ 0,น.,ยาพอก - ยาที่ใช้โปะบนปากแผลหรือที่ปวด
อยาคุลวา 0,น.,ยาของพวกคุลา หรือยาของฝรั่ง สมัยก่อนมักหมายถึงยาควินิน
อยาง 0,น.,ยาง - ของเหลวและเหนียวไหลออกจากแผลต้นไม้ หรือผลไม้บางอย่าง
อยาง 1,น.,กาวหรือยางเหนียวที่ใช้ ทำให้วัตถุอย่างกระดาษติดกัน
อยาง 2,น.,เรียกสิ่งที่ทำจากยางพาราเป็นต้น เช่น อยางรถ ผ้ายาง เป็นต้น
อยาง 3,น.,เลือด น้ำเหลือง เช่น เลือดตกอยางออก
