คำ,POS,ความหมาย
ฮกฟ้า 0,น.,ต้นรกฟ้า เปลือกให้น้ำฝาดสีแดงใช้ย้อมสีทำยาได้ น้ำด่างจากเถ้าใช้ทำน้ำยาเคลือบเครื่องปั้นดินเผา
ฮบ 0,ก.,วิงวอน หรือเร้าจะเอาให้ได้
ฮวก 0,น.,ลูกอ๊อด - ลูกกบหรือเขียด ขณะยังมีหางและอาศัยอยู่ในน้ำ เรียก อี่รวก และเรียกชื่อตามชนิด เช่น อี่รวกกบ อี่รวกเขียด อี่รวกอึ่ง
ฮ้วน 0,น.,ไส้ตัน มดลูก - อวัยวะภายในอันเป็นที่ตั้งครรภ์มักใช้กับสัตว์เช่น หมู ดู ฮ้วนหมู
ฮ้วนเป็ด 0,น.,เถาเครือข้าวตอก
ฮ้วนหมู 0,น.,มดลูกของหมู
ฮ้วนหมู 1,น.,เถากระทุงหมาบ้ามียางขาวเป็นพิษ ใบมนหรือรูปไข่ออกเป็นคู่ตรงกันข้ามตามลำต้น ดอกสีเขียวอ่อนออกเป็นพวงกลมดอกและใบมีรสขมใช้ประกอบอาหารได้
ฮ้วม 0,ก.,รวนทำให้สุก อย่างเอาเนื้อหรือปลาสดมาต้มพอสุกเก็บไว้ปรุงภายหลัง แกงผัก ประกอบด้วย ผักสลิดฅา ผักแซ่ว ผักหละ (ชะอม)
ฮอ 0,ก.,กรอ ขูด
ฮอก 0,น.,รอก
ฮอก 1,น.,กระดิ่งไม้
ฮอก 2,น.,กระรอก
ฮ่องแฮ่ง 0,น.,เชือกบ่วงที่ต่อระหว่างไถกับตัวควายเมื่อไถนา ดู ร่องแร่ง
ฮ่องแฮ่งล่องแล่ง 0,ว.,อาการที่ห้อยแกว่งไปมา
ฮอด 0,น.,ชื่ออำเภอในจังหวัดเชียงใหม่ ดูเพิ่มที่ รอด และ หอด
ฮอด 1,ก.,รอด
ฮอด 2,ก.,ถึง
ฮอน 0,น.,แปลงปลูกผัก
ฮอน 1,ก.,ทอน - ตัดแต่งกิ่งไม้
ฮ่อน 0,ก.,ร่อน ไปๆ มาๆ
ฮ่อนฮูดัง 0,ก.,ร่อนจมูกหากลิ่น
ฮอม 0,ก.,คือบริจาคช่วยเหลือ ร่วม สมทบ บริจาค สะสม
ฮ่อม 0,น.,ช่องทางแคบ ๆ
ฮ่อมช้อม 0,น.,ช่องแคบระหว่างเขา
ฮ่อมดอย 0,น.,หุบเขา ช่องเขา
ฮ่อมหนู หนูไต่ ฮ่อมไหน่ ไหน่เตียว 0,สำนวน.,ทางใครทางมัน
ฮ่อมห้วย 0,น.,ลำห้วยแคบ ๆ
ฮ่อย 0,ก.,ร่อย ดู ร่อย
ฮะ 0,ว.,ลามก ต่ำช้า
ฮัก 0,ก.,รัก
ฮัง 0,น.,ไม้รัง
ฮัง 1,น.,รังอย่างรังนก
ฮัง 2,ก.,อัง - กริยาที่นำของอย่างพริกแห้งไปใกล้ไฟเพื่อให้ร้อนหรือเกรียม
ฮังเล 0,น.,ชื่อแกงชนิดหนึ่ง ใช้หมูสามชั้นหั่นเป็นชิ้นโต ๆ เป็นหลัก ปรุงด้วยเครื่องแกงเข้าผงกะหรี่ น้ำแกงข้นและมีมันมาก มี ๒ ชนิด ฮังเลม่าน และฮังเลเชียงแสน
ฮังโล 0,น.,อั้งโล่ (เตา)
ฮังฮาด 0,ก.,ไม่สำเร็จ ทำค้างไว้ ดู ราด
ฮับ 0,ก.,รับ ดู รับ
ฮา 0,น.,รา เชื้อรา ดู รา
ฮา 1,*ส.,สรรพนามเรียกบุรุษที่ ๑
ฮ่า 0,น.,โรคห่า
ฮ้า 0,น.,ปลาร้า
ฮากเลือด 0,ก.,(ปาก) แดกห่า กินเกินขนาด
ฮ่าง 0,น.,ร่างกาย
ฮ่าง 1,น.,ต้นกร่าง ดูร่าง
ฮางฅาว 0,น.,ว่านน้ำ ดู รางฅาว
ฮ้างท้อง 0,ก.,แพ้ท้อง กินเพียงส่วนหนึ่งให้กินได้ในโอกาสต่อไป ดู ร้างท้อง
ฮางมะ 0,ว.,ครึ่ง ๆ กลาง ๆ ไม่ดีและไม่เลว ไม่บริบุรณ์
ฮางมะฮางแมน 0,ว.,ครึ่ง ๆ กลาง ๆ ไม่ดีและไม่เลว ไม่บริบุรณ์
ฮ้างอก 0,ว.,ลักษณะนุ่งผ้าถุงสูงถึงอก กระโจมอก ดู รั้งอก
ฮาด 0,ก.,คลาด พลาด ไม่สำเร็จ ดู ราด
ฮาน 0,ก.,ตัดทอน ดู ราน
ฮ่าปักฮ่ากิน 0,น.,คำด่าเรียกโรคห่ามากิน
ฮาม 0,ว.,ปานกลาง ดู ราม
ฮ่ำ 0,ก.,ร่ำ พรรณนา ดู ร่ำ
ฮิ 0,ก.,พยายาม แสวงหา ดู ริ
ฮิง 0,ก.,ปิ้งไฟ ทำให้สุกด้วยการอังไฟ อย่างใช้พริกแห้งปิ้งไฟให้กรอบดำแต่ไม่ไหม้
ฮิง 1,ก.,ปิ้ง ย่าง
ฮิง 2,ก.,ผิง - ทำให้ได้รับความร้อนในระยะไม่ใกล้ ดู ริง
ฮิ้น 0,น.,ริ้น
ฮินผักริน 0,น.,ผักเขียด
ฮินเล 0,น.,ชื่อแกงชนิดหนึ่ง ใช้หมูสามชั้นหั่นเป็นชิ้นโต ๆ เป็นหลัก ปรุงด้วยเครื่องแกงเข้าผงกะหรี่ น้ำแกงข้นและมีมันมาก มี ๒ ชนิด ฮังเลม่าน และฮังเลเชียงแสน
ฮิบ 0,ก.,รีบ
ฮิบ 1,ก.,เก็บ รวบรวม ดู ริบ
ฮิม 0,ว.,ริม ดู ริม
ฮิว 0,น.,เรียวอย่างเรียวไม้หรือไม้เรียว ดู เรียว
ฮิ้ว 0,น.,ริ้ว ดู ริ้ว
ฮีด 0,น.,จารีต ดู รีต
ฮีบ 0,ว.,รีบ รีบร้อน ดู รีบ
ฮีบพัน 0,ว.,รีบ ด่วน เร็ว ไม่รอช้า
ฮึด 0,ก.,กระชาก ฉุด ดึง
ฮืน 0,ว.,เฝื่อน - มีรสอย่างมะเขือขื่นชวนให้คลื่นไส้
ฮุ 0,ก.,ระไป กระทบ กระแทกไปตลอดทาง
