คำ,POS,ความหมาย
กก 0,น.,อวัยวะเพศหญิง
กก 1,น.,"กก, ชื่อไม้ล้มลุกชนิดหนึ่งเกิดในที่ชุ่มน้ำ ลำต้นสามเหลี่ยม หรือกลมยาว ใช้จักสานได้"
กกกก 0,ว.,"มาก, ยิ่ง เช่น แก่กกกก - แก่มาก, แห้งกกกก - แห้งผาก, แหม็ดเกลี้ยงกกกก - หมดไม่เหลือเลย"
กกกอ 0,น.,"เหล่ากอ, กำพืด."
ก็กแก็ก 0,ว.,"เล็ก ๆ น้อย ๆ, เหลาะแหละ (ภ.ก.)."
ก็กแก็ก 1,ว.,เสียงดังเบา ๆ
กกขี้หมา 0,น.,กกลังกาชนิดหนึ่ง แต่ต้นเล็กกว่า ใช้เป็นสมุนไพร
กกลังกา 0,น.,กกชนิดต้นกลม ใช้เป็นสมุนไพร
กกลังกา 1,น.,"ก๊ก, เหล่า, กำพืด"
กกลังกา 2,น.,อวัยวะเพศหญิง (ดู เคย น. ๒)
กกลังกา 3,ก.,"กกไข่, นอนกก"
กกลังกา 4,ว.,เสียงดัง เช่นนั้น
กง 0,น.,กระบะโลหะสี่เหลี่ยมผืนผ้า ก้นแบนใช้ใส่น้ำยางพารากับน้ำกรด เพื่อให้น้ำยางแข็งตัว
กง 1,น.,ชื่อเฟิน ต้นเป็นกอขึ้นตามริมน้ำ ใบยาวเป็นทาง ใบอ่อนสีแดง กินได้
กง 2,น.,"กง, ไม้รูปโค้งที่ตั้งเป็นโครงเรือ"
ก้ง 0,น.,"ปู่, ตา แต่ถ้าต้องการชี้ชัดว่าปู่เรียก ""หล่ายก้ง"" ส่วนตาเรียก ""หวั่วก้ง"" (จ., ภ.ก., พ.ง.)."
กงกอน 0,น.,ชื่อไม้ต้น คล้ายโกงกาง ยอดสีแดง (ส.ฎ.).
กงกาง 0,น.,ชื่อเรือชนิดหนึ่ง ขนาดใหญ่ ไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก
กงกาง 1,น.,"ไม้โกงกาง, ชื่อไม้ต้นขึ้นตามป่าชายเลน ชายทะเล นิยมใช้ทำฟืน และเผาถ่าน"
กงกาง 2,น.,ชื่อเรือชนิดหนึ่งไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก (ดู ตั้ง น.).
กงเกง 0,น.,"กางเกง, เครื่องนุ่งห่มมี ๒ ขา"
กงเกงหรัง 0,น.,กางเกงสากลขายาว.
ก้งแก้ง 0,ว.,"โอ้อวด, อวดเบ่ง เช่น อย่ามาทำก้งแก้งเดียวโถกถีบ - อย่ามาทำโอ้อวดเดี๋ยวถูกเตะ"
ก้งแก้ง 1,ว.,เก่งหรือดีเกินตัว เช่น แด็กหนี้ก้งแก้งจ้านตัวหีดเดียวหิ้วน้ำตั้งสองถุ้ง - เด็กนี้เก่งเกินตัว ตัวนิดเดียวหิ้วน้ำตั้งสองถัง.
ก้งแก้ง 2,ว.,"ทำเจ้าชู้, กรีดกราย (ป.น., น.ธ.)."
กงโกะ 0,ว.,ผอมสูง
กงโกะกงหยก 0,*ก.,ยงโย่ยงหยก.
กงโกะกงหยก 1,*ก.,นั่งยอง ๆ
กงโกะกงหยก 2,ว.,"ไม่ทะมัดทะแมง, ไม่กระฉับกระเฉง."
กงข้าง 0,น.,กงเสริมของเรือ
กงเขา 0,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก ตัวโต มีจุดแดงบริเวณหัว อาศัยตามป่าในช่วงฤดูผสมพันธุ์ต้วผู้จะเปลี่ยนสีผิวหนังเป็นสีแดง ผิวหนังมีพิษ
กงเขา 1,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก (ดู กง น. ๒.).
กงโค้ง 0,น.,กงเสริมของเรือ
ก้งโค้ง 0,ก.,"โก้งโค้ง, โก่งก้นให้โด่ง, โน้มตัวลงยกก้นให้สูงขึ้น."
ก้งฉ่าย 0,น.,ผักกาดดองเค็ม.
กงซัง 0,น.,ตอซังข้าว.
ก้งซุ้น 0,น.,"กงสุล, พนักงานผู้มีหน้าที่ดูแลผลประโยชน์และคนในบังคับ ณ ต่างประเทศ ( อ. Consul ) (ภ.ก.)."
ก้งซุ้น 1,สำ.,ภรรยา เช่น คืนนี้อี้ไปกินเลี้ยงบอกก้งซุ้นแล้วหม้าย.
กงแซม 0,น.,กงเสริมของเรือ
ก่งเต็ก 0,น.,พิธีทำบุญให้แก่ผู้เสียชีวิต มีการสวดและเผากระดาษที่ทำเป็นรูปต่าง ๆ เช่น บ้านเรือน รถ คนใช้ เป็นต้น ไปให้ผู้ตาย (จ. ภก.).
ก้งทู้ 0,ว.,ยุติธรรม (ดู ก้งโท้).
ก้งทู้ 1,ว.,"ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
ก้งโท้ 0,ว.,"ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
กงลิ้นช้าง 0,น.,โกร่งครอบไกปืน.
กงแล็บ 0,น.,"กรงเล็บ, กลุ่มเล็บของแมวหรือนก เป็นต้น เมื่อขยุ้มเหยื่อมีเค้าคล้ายกรง."
กงวาน 0,น.,กงเรือที่มีรูให้น้ำถ่ายเทไปได้ตลอดท้องเรือ
กงวาน 1,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก ตัวโต มีจุดแดงบริเวณหัว อาศัยตามป่าในช่วงฤดูผสมพันธุ์ต้วผู้จะเปลี่ยนสีผิวหนังเป็นสีแดง ผิวหนังมีพิษ
กงวาน 2,น.,ชื่อพืชคลุมดินชนิดหนึ่งคล้ายว่านหางช้าง มี ๒ ชนิด คือ กงแดงกับกงขาว.
กงวาน 3,น.,ชื่อพืชน้ำ ขึ้นตามทุ่งนา หรือพื้นที่ชุ่มน้ำ.
กงวาน 4,น.,ผ้าคลุมศีรษะของชาวไทยมุสลิมใช้ในพิธีละหมาด (น.ธ.).
กงวาน 5,น.,"ส่วนรอบของล้อรถหรือเกวียน เรียก ""กงล้อ""."
กงวาน 6,น.,ไร่ล้มลุกที่ถางเป็นป่าหย่อม ๆ ตามเนื้อที่และกั้นเป็นขอบเขตไว้ เช่น หักล้างถางกงในดงดิน (สุวรรณวงศา).
กงวาน 7,น.,ชื่อขนมชนิดหนึ่งใช้ทำบุญในวันสารทไส้ถั่วเขียวบดละเอียดผสมน้ำตาล ชุบแป้ง ปั้นเป็นรูปต่าง ๆ แล้วทอดน้ำมัน
กงวาน 8,น.,กระบะโลหะใส่น้ำยางพาราเพื่อนำไปทำให้น้ำยางแข็งตัว (ดู เบ้ายาง)
กงวาน 9,น.,ชื่อต้นไม้ชนิดหนึ่ง (ดู ปรง น. ๒).
กงวาน 10,ก.,การร้องของนกกบางชนิดในตอนกลางคืน เช่น นกคุ่ม นกเขาเล็ก นกเขาใหญ่.
กงวาน 11,ก.,ทำให้โก่ง
กงวาน 12,ก.,อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง
กงวิน 0,น.,หวายถักเป็นวงสำหรับร้อยจมูกวัวควายที่เจาะใหม่
กงสี 0,น.,กองกลางที่ใช้รวมกันสำหรับคนหมู่หนึ่ง ๆ
กงสี 1,น.,"บริษัท, หุ้นส่วน."
กงสี 2,น.,โรงเรือนที่ใช้ร่วมกัน.
กงหนาบ 0,น.,กงเสริมของเรือ
กงหนิด 0,น.,สลักสำหรับเกี่ยวแร้ว เพื่อโก่งคันแร้ว.
กงหางกางเงี่ยง 0,สำ.,เตรียมต่อสู้.
กงหางกางเงี่ยง 1,สำ.,ตรงกับสำนวน หมูเขาจะหามเอาคานเข้าไปสอด.
กงเหม็ง 0,ก.,"ออกกำลังเต็มที่, มุ, เกร็งเต็มที่ เช่น กงเหม็งเข้าต้าแค่อี้เสร็จแล้ว - ออกกำลังเข้าให้เต็มที่ เกือบจะเสร็จแล้ว."
ก้งฮู้หลาง 0,น.,"ชาวจีนกวางตุ้ง (จ., ภ.ก.)."
กด 0,น.,"กด, ชื่อปลาไม่มีเกล็ด มีหนวด ครีบหลังตอนแรกและครีบอกมีก้านครีบเป็นเงี่ยง ครีบตอนที่สองเป็นแผ่นเนื้อ พบมากในเขตน้ำกร่อย มีหลายชนิด เช่น กดขี้ลิง, กดกล้วย, กดดอกบด (ภ.บ.)."
กด 1,น.,นกกด.
กดเข 0,ก.,"กดขี่, ข่มให้อยู่ในอำนาจตน."
กดเงา 0,ก.,การดูเวลาโดยวิธีนับชั้นฉาย (ดู ชั้นฉาย).
กดดง 0,ก.,การทำพิธีขอโชคลาภจากเจ้าป่า โดยวิธีไสยศาสตร์เพื่อการล่าสัตว์ของพราน
กดดม 0,ก.,"ปล้นสะดม, ปล้นโดยวิธีรมยาให้เจ้าของทรัพย์หลับสนิทไม่รู้สึกตัว."
กดตาแดง 0,สำ.,ตะเกียง เช่น นกกดตาแดงน้ำแห้งตาย - ตะเกียงหมดน้ำมัน (ปริศนาค่าทาย).
กดตาแดง 1,ก.,"อดกลั้น, ยับยั้งไว้, ตรึงไว้."
กดไม่ติด 0,ก.,"กลั้นไม่อยู่, อั้นไม่ไหว."
กดยิ้ม 0,*ก.,นั่งยิ้มหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือฟังเรื่องขำขัน
กดรอย 0,ก.,"สะกดรอย, ตามไปติด ๆ โดยไม่ให้รู้ตัว."
กดโรง 0,ก.,ตรึงไว้ ใช้กับการประชันหนังตะลุงหรือมโนราห์เป็นการทำอาคมทางไสยศาสตร์กับคนดู เพื่อตรึงไว้ไม่ให้ไปดูฝ่ายตรงข้าม.
กดลายมือ 0,ก.,พิมพ์ลายมือ.
กดหัว 0,ก.,อดกลั้น ไม่หัวเราะ.
กดหัว 1,สำ.,"บีบบังคับ, ข่มขู่ให้กลัว."
กดหัวแข็ง 0,น.,ชื่อปลาชนิดหนึ่ง จำพวกปลากด
