คำ,POS,ความหมาย
ขก 0,ก.,"เขก, โขก."
ขกแข็ก 0,ว.,"เล็ก ๆ น้อย ๆ, เบ็ดเตล็ด, ไม่เป็นชิ้นเป็นอัน"
ขกแข็ก 1,ว.,เล็ก ๆ น้อย ๆ (ดู หลกฉกแฉ็ก)
ขด 0,น.,เส้นวงกลมที่บอกขนาดของกระทะแต่โบราณดูจากเส้นที่กำกับไว้ที่ปากกระทะ (๓ - ๗ เส้น)
ขด 1,น.,"ขนด, ตัวงูที่ขด"
ขด 2,น.,ขนด (ดู หนด น.).
ขด 3,น.,เส้นวงกลมที่บอกขนาดของกระทะ (ดู ลวด น. ๔.).
ขด 4,ก.,ม้วนให้ตัวเป็นวง ๆ เช่น งูขด.
ขด 5,ก.,ทำให้เป็นวง ๆ เช่น เอาลวดมาขด.
ขด 6,ก.,งอหรือทำให้งอ เช่น นอนขด.
ขด 7,ลัก.,เรียกของที่เป็นวง ๆ เช่น เชือก ๓ ขด.
ขดแข็ดคดแค็ด 0,ว.,"คดไปคดมา, หงิกงอ"
ขน 0,ก.,"ฝน, ถูไปถูมา เช่น ฝนแหล็กให้เหลี้ยม - ฝนเหล็กให้แหลม."
ขน 1,น.,"ขน, สิ่งที่เป็นเส้นขึ้นตามผิวหนังคนและสัตว์ เช่น ขนหน้าแข้ง, ขนคิ้ว, ขนตา ฯลฯ."
ข้น 0,ว.,"ลักษณะของเหลวที่มีการรวมตัวกันแน่นเข้า, ไม่ใส, มีน้อยลงไป, งวด เช่น น้ำข้น - น้ำขุ่น, ตาข้น - ตาขุ่นแสดงอาการโกรธ."
ขนกล้อง 0,น.,ขนอ่อน
ขนคา 0,น.,"ขนอุย, ขนอ่อน, ขนงอกครั้งแรก."
ขนไช 0,น.,หางกะลวย (ขนหางที่ยาวที่สุดของไก่)
ขนไช 1,น.,"หางกะลวย, ขนหางไก่ตัวผู้ที่ยื่นยาวกว่าเพื่อน"
ขนดอกกล้อง 0,น.,ขนอ่อน
ขนแต้ 0,น.,ขนแข็งบนเส้นคอหมู (พ.ท.).
ขนน้ำ 0,น.,"ที่เกิดของลำน้ำ, น้ำมาก (ดู ขุนน้ำ)."
ขนน้ำ 1,น.,"ที่เกิดของลำน้ำ, น้ำมาก"
ขนพอง 0,น.,"ขนลุก, ขนตั้งชันด้วยความตกใจ หรือความเสียวซ่าน"
ขนมขี้มอด 0,น.,ขนมทราย.
ขนมจีนแห้ง 0,น.,"หมี่, เรียกแป้งข้าวเจ้าที่โรยเป็นเส้นลงในน้ำเดือด พอสุกแล้วนำมาตากแห้ง"
ขนมจีนแห้ง 1,น.,หมี่ (ดู หมี่ น. ๑.).
ขนมฉาวหาย 0,น.,ขนมที่ทำด้วยแป้งข้าวเหนียว ทำเป็นแผ่นเล็ก ๆ บาง ๆ เหมือนข้าวเกรียบ ตากแดดให้แห้ง นำมาทอดแล้วฉาบด้วยน้ำตาล.
ขนมถั่วต่อย 0,น.,ขนมตุ้บตั้บ
ขนมบัวลอย 0,น.,ขนมที่ทำด้วยแป้งข้าวเหนียว ปั้นเป็นเม็ดเล็ก ๆ ต้มในน้ำกะทิผสมน้ำตาล เมื่อต้มสุกเม็ดจะลอยขึ้น จะใส่ไข่ไก่ ไข่นกกระทาด้วยก็ได้.
ขนแม่น 0,น.,ขนเม่น.
ขนราน 0,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
ขนลาย 0,น.,หางกะลวย (ขนหางที่ยาวที่สุดของไก่)
ขนลาย 1,น.,"หางกะลวย, ขนหางไก่ตัวผู้ที่ยื่นยาวกว่าเพื่อน"
ขนลาย 2,น.,ดู ขนไช.
ขนลาย 3,น.,ขนของลูกเป็ดลูกไก่ ที่ขึ้นใหม่ต่อจากขนอ่อน (ภ.ก.).
ขนแล้ง 0,ก.,ฝนไม่ตก
ขนเสียบ 0,น.,รอยต่อด้านหลังกะโหลกไก่ ซึ่งถ้าไก่ถูกแทงตรงจุดนี้จะตายทันที.
ขนหนอน 0,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
ขนหนอน 1,น.,หนอนผีเสื้อ มีขนปกคลุมเต็มลำตัว เมื่อถูกเข้าจะปล่อยน้ำพิษ ทำให้เกิดอาการแสบร้อนและคัน
ขนหนอน 2,น.,ตัวหนอนมีขนเป็นพิษ เมื่อสัมผัสผิวทำให้คันหรือปวดแสบปวดร้อน.
ขนหนอน 3,น.,โรคราชนิดหนึ่ง อยู่ในคอกสัตว์ที่สกปรก ถ้าถูกเข้าทำให้คันและเน่า เปื่อย.
ขนหนอน 4,น.,ชื่อหญ้าชนิดหนึ่ง ก้านดอกยาว ดอก คล้ายตัวหนอน.
ขนหนอน 5,น.,กระทกรก (คู รกช้าง)
ขนหนอน 6,น.,ชื่อไข้ชนิดหนึ่ง มีขนคล้ายสำลีแทรกอยู่ในเนื้อตัว ต้องเอาแป้งข้าวเหนียวปั้นเป็นก้อนแล้วคลึงไปตามตัวเพื่อดึงขนนั้นออกมาให้หมด อาการไข้นั้นจึงจะหาย.
ขนหนอน 7,ก.,"ฝน, ถูไปถูมา (ดู ฝน)."
ขนหนอน 8,ก.,"ขน, นำสิ่งของไปโดยวิธีการต่าง ๆ จากที่หนึ่งไปอีกที่หนึ่ง เช่น ขนทราย, ขนของ."
ขนหนอน 9,ลัก.,แสดงอายุของไก่ คือ เวลา ๑ ปี เช่น ไกสองขน - อายุสองปี.
ขนแหย็ง 0,น.,"ขนลุก, ขนตั้งชันด้วยความตกใจ หรือความเสียวซ่าน"
ขนุม 0,น.,ขนม (ดู หนม น. ๒.)
ขนุม 0,น.,"ขนม, ของกินที่ไม่ใช่กับข้าว มักปรุงด้วยแป้ง หรือข้าวกับกะทิหรือ น้ำตาล, ของหวาน"
ขนุมขี้หนู 0,น.,ขนมทราย (น.ธ.).
ขนุมขี้หนู 0,น.,ขนมทราย.
ขนุมจุ๋น 0,น.,ขนมฝักบัว (น.ธ.).
ขนุมชะ 0,น.,ขนมเข่ง (น.ธ.).
ขนุมชะ 0,น.,ขนมเข่ง.
ขนุมยอดหมาก 0,น.,ชื่ออาหารชนิดหนึ่งของชาวไทยมุสลิม ทำเป็นเส้นคล้ายขนมจีน แต่เส้นโตกว่า ราดด้วยน้ำแกงเช่นกัน (น.ธ.)
ขนุมยอดหมาก 1,น.,ชื่ออาหารไทยมุสลิมคล้ายขนมจีน (ดู ละซอ).
ขนุมลอย 0,น.,ดินที่เกิดจากการหมักหมมของซากอินทรีย์ (ดู ปาหนุมลอย).
ขนุมลอย 0,น.,ดินที่เกิดจากการหมักหมมของซากอินทรีย์ ทับถมกันจนกลายเป็นดิน มีน้ำหนักน้อย และลอยน้ำได้
ขบ 0,น.,"ตะขบ, ชื่อไม้ต้นหลายชนิด เช่น ขบไทย ต้นมีหนาม ผลกลม สุกสีม่วงแดง หรือแดงเข้ม รสหวาน รากใช้ทำยาได้ ถ้าต้นไม่มีหนาม ผลกลมเล็กกว่าขบไทย สุกสีม่วงแดง รสหวาน เรียก ขบหรัง"
ขบ 1,ก.,"กัด เช่น หมาขบ - สุนัขกัด, ยุงขบ - ยุงกัด, ขบปลา - กัดปลา."
ขบ 2,ก.,ทำให้ปลายห่วงโลหะที่ห่างกันชิดแน่น.
ขบ 3,ก.,"ทำให้ติดกัน, ต่อ เช่น ถางป่าให้ขบกัน - ถางป่าให้ติดกัน."
ขบ 4,ก.,เอาฟันกัด บด หรือเน้นเพื่อให้แตก เช่น ขบแม็ดแตง.
ขบ 5,ก.,ขายสินค้าหรือบริการโก่งราคา.
ขบ 6,ก.,"แข่งขันกัน, ต่อสู้กัน เช่น แตคืนไปขบส่ามก๊อก แค่บ้านศพจนหวาง - เมื่อคืนไปเล่นส่ามก๊อกที่งานศพจนสว่าง (ภ.ก.)."
ขบ 7,ก.,ชนะ เช่น แตคืนไปขบส่ามก๊อกมาหลายตางค์ - เมื่อคืนไปชนะส่ามก๊อกมาหลายบาท (ภ.ก.).
ขบ 8,ก.,"หยอกล้อ, หยอกเย้า เช่น หมึงยาขบกูแรงต้า - มึงอย่าหยอกกูมากนักเถอะ."
ขบ 9,ก.,ปิด เช่น ขบตู - ปิดประตู.
ขบ 10,สำ.,"ล้อเลียน, ยั่วเย้า เช่น ไอ้ถ้าวหนี้ลูกขบแล้ว - นายคนนี้ถูกล้อเลียนแล้ว."
ขบเขอมือ 0,ก.,สวมกุญแจมือ (ส.ฎ.).
ขบแจ 0,ก.,ลั่นกุญแจ (ส.ฎ.).
ขม 0,น.,"ผักขม, ชื่อไม้ล้มลุก มีหลายชนิด เช่น ผักขมหนาม ผักขมสวน เป็นต้น"
ขม 1,น.,ผักขม (ดู หม น.)
ขม 2,น.,"หอยขม, ชื่อหอยน้ำจืดกาบเดี่ยว กาบม้วนเป็นวง ยอดแหลม ตัวเล็ก ขนาดประมาณเท่าหัวแม่มือ."
ขม 3,ก.,"ข่ม, ใช้กำลังกดลง ไม่ให้เผยอขึ้น, โดยปริยายหมายความว่าแสดงกิริยาวาจาให้เห็นว่าเหนือกว่า หรือทำให้อีกฝ่ายหนึ่งรู้สึกว่าด้อยกว่า."
ขมกลอน 0,น.,"กบทู, สันแห่งหลังคาเรือน, ไม้ข่มข้างกลอน."
