คำ,POS,ความหมาย
คก 0,น.,โคนหู เรียกว่า “ หลักหู ”
คก 1,น.,อวัยวะเพศหญิง (ดู เคย น. ๒.).
คก 2,น.,โคนหู (ดู หลัก น. ๔.).
คก 3,น.,อวัยวะเพศหญิง
คกคก 0,ว.,แก่มาก ใช้กับผลไม้.
คกราด 0,น.,"คุดทะราด, ชื่อโรคชนิดหนึ่ง เป็นแผลเรื้อรัง บางรายแผลนั้นบานเหวอะหวะออก มีกลิ่นเหม็น เป็นแม่แผลให้เกิดแผลอื่นจำพวกเดียวกันลุกลาม ออกไปอีก."
คง 0,น.,ข้าวโพด (เทียบ ม. jagong)
คง 1,ว.,"คงกระพัน, ทนทาน, ยังมียังเป็นอยู่อย่างเดิม."
คงรวง 0,น.,ข้าวฟ่างสมุทรโคดม หรือข้าวฟ่างหางช้าง ต้นสูงประมาณ ๒ เมตร เมล็ดขนาดเมล็ดพริกไทย.
คด 0,ก.,ตักข้าวสุกออกจากหม้อ.
คดกริช 0,น.,ชื่อลายชนิดหนึ่ง เป็นเส้นยาวคดไปมาอย่างรูปกริช
คดข้าวห่อ 0,สำ.,ทำประโยชนไว้ก่อนแล้ว
คดค้องแค้ง 0,ก.,คดมาก เช่น ไม้เท้าของพ่อเฒ่าคดค้องแค้งเหมือนกริช - ไม้เท้าของคุณตาคดมากเหมือนกับกริช.
คดค่าย 0,ก.,คดข้าว แล้วกระจายให้เย็นเร็ว.
คดเค็ด 0,ว.,"คดเคี้ยว, คดไปคดมา"
คดแด้ง 0,ว.,คดมาก.
คดห่อ 0,ก.,เตรียมอาหารไปกินเวลาเดินทาง.
คดห่อ 1,สำ.,ทำประโยชนไว้ก่อนแล้ว
คดห่อ 2,ว.,"งอ, ลักษณะที่ไม่ตรงตลอด."
คดเหมือนดอโจร 0,สำ.,"คดในข้องอในกระดูก, มีสันดานคดโกง."
คดเหมือนดอโจร 1,สำ.,ใช้เปรียบเทียบกับของที่คดมาก.
คน 0,น.,มนุษย์.
ค้น 0,ก.,พยายามหาให้พบโดยวิธีการสืบ เสาะ แสวงหา.
คนข้าว 0,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวสุกระอุ
คนข้าว 1,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวโชนตัว.
คนข้าว 2,ก.,ทำให้ข้าวเปลือกที่ตากแดดกระจายให้ร้อนทั่วกัน.
คนแค่เริน 0,น.,คู่ครอง.
คนเงาะ 0,ก.,คลุกมะพร้าว เช่น เหนียวซาวเงาะ - ข้าวเหนียวคลุกมะพร้าว
คนเงาะ 1,ก.,คลุกมะพร้าว.
คนจัด 0,น.,คนขยัน (น.ธ.).
คนจัด 1,น.,คนจัดจ้าน.
คนชาย 0,น.,ผู้ชาย.
คนชาย 1,สำ.,คำที่ภรรยาใช้เรียกสามี.
คนแต่แรก 0,น.,"คนโบราณ, คนรุ่นก่อน."
คนทา 0,ก.,สาวด้ายที่จะทอเป็นผ้าให้คลี่ออกไปให้มีความยาวเท่าขนาดของผ้าที่จะทอ
คนทา 1,น.,ชื่อไม้พุ่ม มักขึ้นเป็นหมู่ในป่าโปร่ง มีหนาม ทั่วต้น ดอกสีขาว ผลกลมแป้นขนาดราวหัวแม่มือ.
คนที 0,น.,ชื่อไม้เถาชนิดหนึ่ง ขึ้นตามชายทะเล ใบมีกลิ่นหอมฉุน
คนที่บ้าน 0,น.,ผู้ที่อยู่บ้าน โดยนัยหมายถึง คู่ครองของผู้พูด.
คนโทษ 0,น.,นักโทษ.
คนนา 0,สำ.,ยากจนข้นแค้น.
คนพายซื่อ 0,น.,คนเถนตรง
คนพายลัดตัดซื่อ 0,น.,คนเถนตรง
คนมักเดียว 0,สำ.,"คนใจแคบ, ไม่เอื้อเฟื้อ."
คนมักเดียว 0,สำ.,"คนใจแคบ, ไม่เอื้อเฟื้อ"
คนมี 0,น.,คนมั่งมี
คนเมื่อนั้น 0,น.,คนหัวโบราณ
คนเมื่อนั้น 1,น.,คนไม่เต็มเต็ง.
คนยัง 0,น.,คนมั่งมี
คนรวย 0,น.,คนร่ำรวย.
คนสก 0,น.,"อุบาสก, คฤหัสถ์ผู้ชายที่นับถือพระพุทธศาสนาอย่างมั่นคง (ส.ข.)."
คนหญิง 0,น.,ผู้หญิง.
คนหญิง 1,สำ.,คำที่สามีใช้เรียกภรรยา.
คนหัวพลัด 0,น.,คนจรจัด
คนหัวพลัดสัดลอย 0,น.,คนจรจัด
คนหัวเหลน 0,น.,คนที่มีศีรษะยาวเรียว.
คนหัวเหลน 1,ก.,กิริยาที่เอามือหรือสิ่งอื่นกวนเพื่อทำสิ่งที่นอนก้นหรือเกาะกันอยู่เป็นกลุ่มเป็นก้อนให้กระจายขยายตัวหรือกวนสิ่งต่าง ๆ ให้เข้ากัน.
ค้นหูก 0,ก.,สาวด้ายที่จะทอเป็นผ้าให้คลี่ออกไปให้มีความยาวเท่าขนาดของผ้าที่จะทอ
คบ 0,น.,"คบเพลิง, ของใช้สำหรับจุดไฟให้สว่าง ทำด้วยของแห้ง เช่น ใบไม้หรือขี้กบ เป็นต้น เอามามัดเป็นดุ้นยาว"
คบ 1,ก.,"ประคบ, นาบ หรือกดคลึงด้วยลูกประคบ."
คบ 2,ก.,"ควบ, เอา รวมเข้าเป็นอันเดียวกันหรือเข้าคู่กัน."
คบ 3,ก.,"คบ, เข้าเป็นพวกกัน."
คบ 4,ก.,"ประกบ, แนบชิดกัน, ทาบกัน."
คบ 5,ก.,"คบคิด, สมรู้ร่วมคิด (น.ศ.)."
คม 0,น.,ส่วนบางมากจนสามารถบาดได้.
คม 1,ว.,"คม, ไม่ทื่อ เช่น มีดคม."
คม 2,ว.,"ตราบเท่า, จนกระทั่ง (ดู คุม ว.)."
คม 3,ว.,รู้ทันคน มีไหวพริบ.
คม 4,ว.,"สวย, งามอย่างน่าพึงพอใจ เช่น “อีเถ้านี้อยู่คม ” - “ผู้หญิงคนนี้สวย”"
คมเท่า 0,ว.,"ตราบเท่า, จนกระทั่ง."
