คำ,POS,ความหมาย
งก 0,ก.,"ถือเอาไว้เป็นสิทธิ์เพียงคนเดียว, หวง เช่น เห็นว่าแก็งแล้วงก ถามไหรไม่แหลง - เห็นว่าเก่งแล้วหวงวิชา ถามอะไรไม่พูด."
งก 1,ก.,อยากได้.
งกงก 0,ว.,สั่นสะท้าน.
งกงก 1,ว.,ไม่หยุดไม่หยอน เช่น พ่อมันทำการงกงก มันไม่คิดเลยเอาแต่เที่ยว - พ่อทำงานง่วนทั้งวัน มันไม่คิดเลย เอาแต่เที่ยว.
งกงก 2,ว.,"มาก เช่น แกงกงก - แก่มาก, แก่งก."
งง 0,ก.,"งง, ฉงน, คิดไม่ออกเพราะยุ่งยากซับช้อน."
งด 0,น.,ชื่อไม้เลาชนิดหนึ่ง ใช้เป็นเชือกได้ เรียก ย่านงด.
งด 1,ก.,หยุดหรือเว้น คือไม่กระทำหรือดำเนินการตามปกติ.
งด 2,ก.,หยุดไหล เช่น เลือดงด - เลือดหยุดไหล.
งน 0,น.,เงิน (ดู เงิน).
งน 1,น.,แร่ธาตุเป็นโลหะสีขาว เนื้อค่อนข้างอ่อน.
งบ 0,น.,น้ำตาลปึกที่ใส่กระบอก
งบ 1,น.,ชื่อกับข้าวชนิดหนึ่ง คล้ายห่อหมก ห่อด้วยใบไม้ มีใบตอง เป็นต้น แล้วปิ้งไฟ.
งบ 2,ก.,การเคี่ยวน้ำตาลให้เป็นปึก แล้วบรรจุกระบอก.
งม 0,ก.,ควานหา เช่น งมทาง - ควานหาทาง.
งม 1,ก.,"ดำน้ำลงไปคลำหาของ, คลำหาของในน้ำ"
งม 2,ว.,เดาสุ่ม เช่น แหลงงมไป - พูดเดาไป
งม 3,ว.,"โง่, ปัญญาทึบ เช่น เฒ่าหัวงม - แก่แล้วยังโง่."
งม 4,ว.,"ระงม, อากาศร้อนจัด, อบอ้าว (ช.พ.)."
งมงำ 0,ว.,พึมพำ (ดู งุมงำ ว.).
งมงำ 1,ว.,พึมพำ
งวง 0,น.,"งวง, จมูกของช้างที่ยื่นยาวออกไป ตรงปลายมีจะงอยสำหรับจับของอย่างมือ, งวงของสัตว์."
งวง 1,น.,"จั่นของมะพร้าวและช่อดอกเพศผู้ของตาลเพื่อเตรียมทำน้ำตาล เช่น งวงตาล, งวงโหนด, งวงพร้าว."
งวง 2,น.,เรียกสิ่งที่มีลักษณะคล้ายคลึงงวงของสัตว์หรือพืช.
งวง 3,ลัก.,เรียกงวงของตาลที่ใช้ทำน้ำหวาน เช่น ทำตาลอยู่ ๕ งวง.
งวงช้าง 0,น.,ซื้อไม้ต้นชนิดหนึ่ง (Capparis flavicans) ในวงศ์ Capparidaceae
งวงช้าง 1,น.,ชื่องูน้ำจืดชนิดหนึ่ง (Acrochordus javanicus) ในวงศ์ Colubridae ไม่มีพิษ ชอบอยู่ในน้ำลึกที่มีความเย็นมาก ไม่มีเกล็ด มีลักษณะคล้ายงวงช้าง.
งวงช้าง 2,น.,ชื่อไม้ล้มลุก จำพวกหญ้าชนิดหนึ่ง ช่อดอกคล้ายงวงช้าง ใช้ทำยาได้.
งวงถั้ง 0,น.,หูหิ้วของถัง
งวงหม้อ 0,น.,หูหิ้วของหม้อ.
งวด 0,น.,คราวที่กำหนด.
งวด 1,ก.,"รบกวน, ทำให้รำคาญ, ทำให้เดือดร้อน เช่น มึงงวดให้ดีต้ากูดีชัก - มึงมายุ่งให้ดีเถอะ กูจะตีให้ชักดิ้นไป เลย"
งวด 2,ก.,ลด เช่น น้ำงวดแล้ว - น้ำลดแล้ว.
งวด 3,ว.,"ขุ่น, มีลักษณะ มัว ไม่ใส ไม่ชัดเจน, เป็นตะกอน (ภ.ก.)."
งวด 4,ลัก.,ครั้ง เช่น ถูกเบอร์ ๒ งวดติดกัน - ถูกหวยใต้ดิน ๒ ครั้ง ติดกัน.
งวด 5,สำ.,คลอดแล้ว.
งวน 0,ก.,กวน.
งวน 1,ก.,รบกวน เช่น มึงอย่ามางวนเงินกู - มึงอย่ามารบกวนเงินกู.
ง้วน 0,น.,เรียกโอชะของบางสิ่ง ที่กล่าวไว้ในคัมภีร์ไตรภูมิโลกวินิจฉัยว่ามีรสหวาน.
ง้วนดิน 0,น.,ดินลิ่ม.
ง้วนดิน 1,น.,ดินที่ถูกแดดเผา.
ง้วนเดือน 0,น.,ขี้เดือน.
ง้วนปู 0,น.,ขี้ดินที่อยู่ปากรูปู.
ง้วนหมู 0,น.,"แห้วหมู, ชื่อไม้ล้มลุกชนิดหนึ่ง ใช้ทำยาได้."
งวม 0,ว.,"งอม, สุกจัดจนเกือบเน่าหรือเละ, ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว (ดู งอม)."
งวม 1,ว.,ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว.
ง่วย 0,ก.,ขยับเขยื้อน (ดู หวย ก. ๒.).
งอ 0,น.,ชื่อพร้าชนิดหนึ่ง
งอ 1,ว.,คำสั่งให้ช้างหยุด.
งอ 2,ว.,"งอ, ลักษณะที่มีส่วนปลายหักโค้งเข้าหาตัวมันเอง เช่น รูปอย่างขอ."
งอก 0,ก.,"อาการที่เมล็ดผลไม้แตกเป็นต้นขึ้น, ผลิออก, แตกออก."
ง็อกแง็ก 0,ว.,"โยกคลอนไปมา, ไม่แน่น, ไม่มั่นคง, ไม่แข็งแรง"
งอกราก 0,สำ.,นั่งนานไม่ยอมลุก.
ง่องแง่ง 0,ว.,หงิกงอ.
ง่องแง่ง 1,ว.,"ไม่สมประกอบ, ไม่แข็งแรง, เซื่องซึม, กะย่องกะแย่ง เช่น เดินง่องแง่ง."
ง่องแง่ง 2,ว.,"ขี้โรค, อมโรค."
ง็องแง็ง 0,ก.,ระหองระแหง มักใช้ร่วมกับ ชง เช่น กูแลไอ้ไขกับอีแดงมันไม่ซบดิอยู่กันชงง็องแง็งกันอยู่เรื่อย - กูดูแล้วนายไข่กับนางแดงมันไม่ค่อยมีความสุขด้วยกัน ระหองระแหงกันอยู่เรื่อย
ง็องแง็ง 1,ก.,"บ่น, กล่าวตักเตือน (น.ธ.)"
ง้องแง้งง่องแง่ง 0,ว.,"ขี้โรค, อมโรค."
งอแง 0,ว.,"กะปลกกะเปลี้ย, อ่อนเพลีย."
งอแง 1,ว.,"กระเง้ากระงอด, ไม่เต็มใจ."
ง็อดง็อด 0,ว.,อาการสั่นไหว เช่น เดินวานง็อดง็อด - เดินตะโพกสั่นไหว
งอดแงด 0,ว.,อาการสั่นไหว เช่น เดินวานง็อดง็อด - เดินตะโพกสั่นไหว
งอแต้ 0,น.,ริมฝีปากบนของหมูหรือปลายงวงส่วนบนของช้าง
งอแต้ 1,น.,ส่วนปลายของปี่กาหลอ.
งอน 0,ก.,แสดงอาการโกรธหรือไม่พอใจเพื่อให้เขาง้อ.
งอน 1,ว.,"ช้อนขึ้น, โง้งขึ้น เช่น วานงอน - ก้นเชิด."
งอบ 0,น.,"หมวกใส่ทำนา, เครื่องสวมหัวสำหรับกันแดดและฝุ่น สานด้วยตอกไม้ไผ่ กรุด้านนอกด้วยใบลาน รูปคล้ายกระจาดคว่ำมีรังสำหรับสวม."
งอบ 1,ก.,คลุม.
งอบแงบ 0,ว.,ขมุบขมิบ.
งอบแงบ 1,ว.,อาการร่อแร่สาหัส.
งอบแงบ 2,ว.,เชื่องช้า.
งอม 0,ว.,"งอม, สุกจัดจนเกือบเน่าหรือเละ."
งอม 1,ว.,ลักษณะของคนที่แก่มากจนทำอะไรไม่ไหว.
ง้อม 0,ก.,"ง้ำ, ค้อม."
งอมแงม 0,ว.,"ทำเป็นทองไม่รู้ร้อน, เอื่อยเฉื่อย เช่น ทำงอมแงมพันนั้นตอใดอี้เสร็จ - ทำชักช้าอยู่เช่นนั้นเมื่อไหร่จะเสร็จ."
งอมแงม 1,ว.,ถอนตัวไม่ขึ้น เช่น ติดยางอมแงม.
งอมแงม 2,ว.,"มอมแมม, สกปรก."
ง้อเฮ้ง 0,ว.,"โหงวเฮ้ง (จ., ภ.ก.)."
งะ 0,ก.,"เปิด, แยกออก, แบะออก เช่น นั่งงะขา - นั่งถ่างขา"
งะงะง็องง็อง 0,ว.,"งก ๆ เงิ่น ๆ, งงงัน."
งะแง็ง 0,ว.,"เปิดอ้า, ถ่างไว้."
งัก 0,ว.,เหนื่อยหอบ
งัก 1,ว.,"ชะงัก, หยุดลง กลางคันทันที"
งัก 2,ว.,"มาก, ยิ่ง ประกอบแก่ เป็น แก่งัก"
งักงัก 0,ว.,เหนื่อยหอบ
งักงัก 1,ว.,"มาก, ยิ่ง ประกอบแก่ เป็น แก่งัก"
งัง 0,น.,นกกระฮัง
งั่ง 0,น.,"ทองสัมฤทธิ์, ทองแดง (เทียบ ป. กงฺส เทียบ - ม. Gangsa)."
งั่ง 1,น.,พระเปลือย ใช้เป็นของขลังฝ่ายเมตตามหานิยม
งั่ง 2,ว.,"โง่ไม่เป็นประสีประสา, ครึ, โบราณ."
งั่งงั่ง 0,ว.,"มาก, ยิ่ง ใช้ประกอบ โง่ เป็น โม่งั่งงั่ง - โง่มาก."
