คำ,POS,ความหมาย
จก 0,น.,"กระจก, แก้วที่ทำเป็นแผ่น"
จก 1,น.,กระจกส่องหน้า
จก 2,น.,"ต้อกระจก, โรคต้อชนิดหนึ่ง เช่น ตาเป็นจก - ตาเป็นต้อกระจก."
จก 3,น.,เรียกคนที่ตาเสียมองไม่เห็นว่า คนตาจก.
จกแจ็ก 0,ว.,"ฟังไม่ได้ศัพท์, เสียงพูดของคนมาก ๆ เช่น เสียงจกแจ็ก."
จกแจ็ก 1,ว.,"พูดมาก, พูดพร่ำเพรื่อ, พูดไม่หยุด."
จง 0,น.,ภาชนะชนิดหนึ่งสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ (พ.ท.)
จง 1,น.,ชื่อพันธุ์ไม้ชนิดหนึ่ง เปลือกเหนียว ใช้ทำเชือก ใช้ใบเป็นภาชนะนึ่งข้าวเหนียวแทนหวด.
จง 2,น.,"กระจง, ชื่อสัตว์เคี้ยวเอื้องที่เล็กที่สุด รูปร่าง คล้ายกวาง แต่ไม่มีเขา ตัวผู้มีเขี้ยวแหลมคม"
จงเทาะ 0,น.,กระจงตัวใหญ่.
จ้งผ่อ 0,น.,"พ่อครัว, คนปรุงอาหาร (จ., ภ.ก., พ.ง.)"
จ้งสูน 0,น.,"ผู้จัดการใหญ่ (จ., ภ.ก.)"
จ้งหม้ง 0,น.,ปลากระเบนพันธุ์หนึ่ง ขนาดเล็ก เงี่ยงมีพิษ
จ้งหม้ง 1,น.,ชื่อฆ้องคู่ขนาดเล็กใช้ในวงดนตรีของหนังตะลุงและมโนราห์.
จด 0,ก.,"จด, เขียนไว้."
จด 1,ว.,เกินเปรียบ เช่น ลุงนั่นแก่ ทำงานไม่ไคจด - ลุงคนนั้นแกทำงานไม่มีใครเทียบ.
จด 2,ว.,เรียกการยิงสะบ้าถูกลูกเดียวว่า “ยงจด”
จด 3,ว.,"จรด, ถึง."
จด 4,ว.,"นอนวัน, หมุนเร็วเที่ยงตรง, หมุนนิ่งสนิทอยู่กับที่ (ใช้กับลูกข่าง)."
จน 0,ก.,"แพ้, หมดทาง, ตอบไม่ได้ เช่น แด็กนี้แก็งถามปัญหาไหรก้าไม่จน - เด็กคนนี้เก่งถามปัญหาอะไรก็ไม่ติด (ตอบได้หมด)."
จน 1,ว.,"ยากจน, เข็ญใจ, ไร้ทรัพย์. จนเหมือนยนไม่ดัน"
จน 2,สำ.,ยากจนมาก.
จน 3,สัน.,จนกระทั่ง เช่น จนเท้าเสร็จ - จนกระทั่งเสร็จ.
จ๋น 0,น.,"ยาเบื่อ, ยาพิษ (ม. racun)"
จ๋น 1,น.,"ยาเบื่อ, ยาพิษ (ดู ราจุน น.)."
จบ 0,ก.,พนมมือยกขึ้นวางบนศีรษะ.
จบ 1,ก.,"จบ, สิ้นสุดคราวหนึ่ง ๆ, หมดสิ้น เช่น จบเรื่อง."
จบ 2,ก.,"บรรจบ, จดกัน, ใกล้ชิดติดกัน."
จบ 3,ลัก.,"เที่ยว, ครั้ง เช่น หนังสือเล่มนี้ กูอ่าน ๓ จบแล้ว."
จบ 4,ว.,ทั่ว เช่น ฉานไปจบแล้ว - ฉันไปทั่วแล้ว.
จบ 5,สำ.,ตาย (มักใช้กับอันธพาล).
จบแจง 0,ก.,ประจบประแจง.
จบนา 0,ก.,เอาใจใส่ (ดู จับนา).
จบนา 1,ว.,"เอาใจใส่, ดูแล, นำพา."
จบหัว 0,ก.,"ยกของขึ้นจรดหัว, ยกของขึ้นทำความเคารพหรือ แสดงอาการอุทิศเพื่อทำทาน."
จม 0,ก.,"จม, หายลงไปหรืออยู่ใต้ผิวพื้น."
จม 1,ก.,"ท่วม, เอ่อท้นจนลบพื้นที่ หรือสิ่งใดสิ่งหนึ่ง เช่น น้ำจมหัวนา - น้ำท่วมคันนา."
จม 2,ก.,"ดัก ใช้กับสัตว์น้ำ เช่น จมกุ้ง - ดักกุ้ง, จมไหล - ดักปลาไหล, จมไซ – ดักด้วยไซ."
จมบ้อง 0,สำ.,"เงียบหาย, ไม่รู้ข่าวคราว, ไปเสียนาน."
จมเรียด 0,ก.,"จมเสมอ, จมสนิท."
จวก 0,ก.,สับหรือฟันโดยแรงด้วยจอบเป็นต้น เช่น จวกดิน - ฟันดิน.
จวก 1,ก.,กิน (คำหยาบ).
จวก 2,ก.,ต่อว่าด้วยคำรุนแรง.
จวง 0,น.,"ไม้เทพทาโร, ชื่อไม้ต้นขนาดใหญ่ ใบ เปลือก และรากมีกลิ่นหอมคล้ายการบูร ใช้ปรุงอาหาร และทำยาได้"
จ้วง 0,ก.,เอื้อมตัก เช่น จ้วงน้ำ - เอื้อมตักน้ำ.
จ้วง 1,ก.,"ฉก, ฉวยหรือชิงเอาโดยเร็ว."
จ้วง 2,ว.,เรียกอาการเดินของคนขาเป๋ว่า “เดินจ้วง”.
จวงหอม 0,น.,"ไม้เทพทาโร, ชื่อไม้ต้นขนาดใหญ่ ใบ เปลือก และรากมีกลิ่นหอมคล้ายการบูร ใช้ปรุงอาหาร และทำยาได้"
จวงหอม 1,น.,ไม้เทพทาโร (ดูจวง).
จวด 0,น.,ชื่อปลาทะเลชนิดหนึ่ง มีทั้งขนาดเล็กและขนาดใหญ่.
จวด 1,ก.,เจาะ เช่น รอกจวดพร้าว - กระรอกเจาะมะพร้าว.
จวน 0,น.,บ้านพักเจ้าเมือง (ผู้ว่าราชการจังหวัด).
จวน 1,ก.,"พบ, เจอ เช่น มาหาแล้วแต่ไม่จวน - มาหาแล้วแต่ไม่พบ."
จวน 2,ว.,เกือบ เช่น จวนพบกัน - เกือบพบกัน.
จ้วน 0,น.,อวัยวะเพศชาย
จ้วน 1,น.,อวัยวะเพศชาย (ดู หัวดอ).
จ้วน 2,ว.,"กำไร, มีรายได้ดี (ภ.ก., พ.ง.)."
จ๊วนจ้วน 0,ว.,"ล้วน ๆ, แท้ ๆ, ไม่มีอะไรบ่น (จ., ภ.ก.)."
จวนตัว 0,ว.,คับขน เช่น เข้าที่จวนตัวก็ต้องสู้.
จ่วนเต้ง 0,น.,"ตะปูเกลียว (จ., ภ.ก.)."
จ่วนป๋าย 0,น.,"ไขควง (จ., ภ.ก.)."
จวนหมวน 0,ว.,เพ่นพ่าน (ดู จูนหมูน).
จวนหมวน 1,ว.,"เพ่นพ่าน, ไม่เป็นระเบียบ, ยุ่งเหยิง"
จอ 0,น.,"จอ, ผ้าขาวที่ขึงไว้สำหรับเชิดหนังหรือฉายภาพยนตร์ เป็นต้น."
จอ 1,น.,ชื่อปีที่ ๑๑ ของรอบปีนักกษัตรมีหมาเป็นเครื่องหมาย.
จอ 2,ก.,"จุด, ทำให้ไฟติด เช่น จอเกียง - จุดตะเกียง"
จอ 3,ก.,"เอาสิ่งใดสิ่งหนึ่งเข้าไปใกล้หรือเกือบจดสิ่งอื่น, ติด, ชิด."
จ้อ 0,น.,"ทวด (จ., ภ.ก.)."
จอก 0,น.,ภาชนะที่ทำด้วยแก้วสำหรับใส่น้ำกิน.
จอก 1,น.,"ภาชนะเล็ก ๆ รูปอย่างขัน, ภาชนะเล็ก ๆ รูปทรงกระบอก ใช้กินยา ดื่มเหล้า."
จอก 2,น.,ถ้วยรองรับน้ำยาง.
จอก 3,น.,ชื่อพืชน้ำ ลอยอยู่บนผิวน้ำ ไม่มีลำต้น มีแต่ราก เป็นกลุ่มใหญ่ ใบเป็นแผ่นสีเขียวสดซ้อน ๆ กัน เป็นกลุ่ม ยาว ๕ - ๑๐ เซนติเมตร.
จอก 4,น.,"นกกระจอก, ชื่อสัตว์มีกระดูกสันหลังเลือดอุ่น มี ๒ เท้า ๒ ปีก และมีขนปกคลุมร่างกาย ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว."
จอก 5,ลัก.,แก้ว เช่น กินน้ำ ๓ จอก - กินน้ำ ๓ แก้ว.
จ็อกกิ๋ว 0,น.,"ลูกฟุตบอล (จ., ภ.ก.)."
จอกขี้ไก 0,น.,ถ้วยตะไล.
จอกทอก 0,น.,ชื่อไม้เถาชนิดหนึ่ง มีผลกลมเท่าลูกหยี สีเหลืองอมเขียวช่วงปลายผล ตอนสุกมีลักษณะคล้ายอวัยวะเพศชาย
จอกทอก 1,น.,ชื่อไม้เถาชนิดหนึ่ง (ดู ดอล่อ).
จอกทอก 2,น.,ชื่อโรคชนิดหนึ่งของขนุน (ดู จ้อท่อ น. ๒.).
จอกทอก 3,น.,ชื่อโรคชนิดหนึ่งของขนุน
จอกลอย 0,น.,ขันเล็ก ๆ สำหรับลอยน้ำในขันใหญ่
จ้อก้อง 0,น.,"โคตร, เหล่ากอ (จ., ภ.ก.)."
จ้อก้องส่ำต่าย 0,สำ.,"โคตรพ่อโคตรแม่, ใช้เป็นคำด่า"
จ้อง 0,ก.,เพ่งตาดูหรือมุ่งมองดูสิ่งใดสิ่งหนึ่งโดยเฉพาะ.
จ้อง 1,ว.,โด่ เช่น ไขจ้อง - อวัยวะเพศชายชี้โด่.
จ็องด็อง 0,ก.,"ทะลึ่ง, ดื้อรั้น"
จ็องด็อง 1,ก.,ทะลึ่ง (ดู ช็องด็อง).
จองหยอง 0,ว.,นั่งยอง ๆ.
จอด 0,น.,ชื่อมดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังอยู่บนต้นไม้นิยมเอามาเป็นเหยื่อล่อปลา
จอด 1,น.,การเล่นการพนันชนิดหนึ่งเรียกว่า “ไพ่จอด” ใช้ไพ่ ๑๕ ตัว ถ้าไพ่ครบตามคู่และไพ่ตัวต่อไปขึ้น ตรงกับตัวที่เราคอย เรียกว่า “จอด” มี ๒ อย่าง คือ จอดขาว และจอดแดง.
จอด 2,น.,ชื่อนกชนิดหนึ่ง (ดู กรอด น. ๑.).
จอด 3,ก.,"หยุดอยู่หรือทำให้หยุด, หยุด ชั่วคราว (ใช้กับรถ เรือ เป็นต้น)."
จอด 4,ก.,"จด, จนถึง, แตะ เช่น แทงจอดปอด - แทงจดปอด."
จอด 5,ก.,จบเกม ใช้กับการเล่นไพ่ไทย.
จอด 6,สำ.,"ตาย, ยุติ, พ่ายแพ้, ไม่มีทางสู้."
จอดเกียง 0,ก.,จุด (ดู จอ ก. ๑.).
จอดเกียง 0,ก.,"จุด, ทำให้ไฟติด เช่น จอเกียง - จุดตะเกียง"
จ้อท่อ 0,น.,ชื่อพันธุ์ไม้ชนิดหนึ่ง ลูกกินแก้ฝีหรือพุพอง
จ้อท่อ 1,น.,ชื่อโรคชนิดหนึ่งของขนุน
จ้อน 0,น.,ชื่อสัตว์เลี้ยงลูกด้วยนม รูปร่างคล้ายกระรอก ตัวสีน้ำตาล มีลายสีดำ และน้ำตาลอ่อนตามยาวข้าง ๆ ตัว หางเป็นพวง ปกติชอบวิ่งหากินบนพื้นดิน
จ้อน 1,ก.,ทำในสิ่งที่ไม่ควรทำ หรือทำในสิ่งที่ทำไม่เป็น เช่น เด็กจะสูบบุหรี่ ผู้ใหญ่ดุเอาว่า “อย่าจ้อน” มีความหมายในเชิงว่า “เสือก” (ช.พ.).
จ้อน 2,ว.,"เล็ก, แคระ, แกร็น (น.ศ.)."
จอนก 0,ก.,วิธีจับนกเล็ก ๆ โดยการใช้ยางไม้เหนียว ๆ พันปลายไม้แล้วล่อให้ผูกมัดขนนก
จอเนาะ 0,น.,เครื่องสวมศีรษะเพื่อกันแดดกันฝน คล้ายงอบ แต่ขนาดเล็กกว่า นิยมทำด้วยใบลาน (น.ธ.).
จอบ 0,น.,"จอบ, เครื่องมือสำหรับขุดดินพรวน หรือถากดิน ทำด้วย เหล็กหน้าแบนกว้าง มีด้ามยาว"
จอบงวง 0,น.,จอบชนิดหนึ่งที่ใช้ด้ามสอดกับตาจอบ ใช้จวกดินที่มีน้ำขัง.
จอบเซ่อ 0,น.,"เสียม, เครื่องมือสำหรับขุด แซะ และพรวนดินชนิดหนึ่ง"
จอบด้ามเซ่อ 0,น.,"เสียม, เครื่องมือสำหรับขุด แซะ และพรวนดินชนิดหนึ่ง"
จอบหัวหมู 0,น.,จอบชนิดหนึ่งที่ ใช้ด้ามสอดกับตา จอบใช้ขุดดินที่ไม่มีน้ำขัง
จอบอี้แหมะ 0,น.,จอบชนิดหนึ่งที่ ใช้ด้ามสอดกับตา จอบใช้ขุดดินที่ไม่มีน้ำขัง
จอม 0,น.,"ยอดที่สูงสุดของสิ่งที่มีฐานใหญ่ ปลายเรียวเล็กขึ้นไป เช่น ส่วนยอดของฝาชี, ส่วนยอดของปลวก."
จอม 1,น.,ลูกชายเจ้าเมืองสมัยโบราณ ถ้าเป็นผู้หญิงเรียกว่า “หม่อม”
จอม 2,น.,ผู้ที่ยอดเยี่ยมในหมู่ เช่น แด็กคนนี้จอมมันแหละ - เด็กคนนี้ยอดเลยหละ.
จ้อย 0,ว.,คำประกอบลักษณะของสีเหลืองมาก ๆ เรียกว่า “เหลืองจ้อย” (ช.พ.).
จ้อยย้อย 0,ว.,"ช่างพูด, ช่างประจบ เช่น แด็กคนนี้จ้อยย้อยจริง - เด็กคนนี้ช่างพูดจริง"
จ้อยสอยจ้อยย้อย 0,ว.,"ช่างพูด, ช่างประจบ เช่น แด็กคนนี้จ้อยย้อยจริง - เด็กคนนี้ช่างพูดจริง"
จ้อยสอยจ้อยย้อย 1,ว.,"ช่างพูด, ช่างประจบ (ดู จ้อยย้อย)."
จอล่อ 0,ว.,"ตอแหล, ฉอเลาะ, ต่อแดนกัน (ดู จอแหล ว.)."
จอล่อ 1,ว.,"ต่อแดนกัน, อยู่บ้านใกล้กัน"
จอหลัง 0,ก.,นั่งเอาหลังพิงกันหรือหลังชนกัน.
จอหลัง 1,ลัก.,คณะ เช่น หนังแล่นสามจอ - หนังสามคณะ.
จอหอ 0,น.,พวกที่อยู่ในเกาะรังนกหรือทำรังนก (ดู จาวหอ).
จอหอ 1,น.,"ทิด, พระสึกใหม่ (ส.ต., ภ.ก., พ.ง.)."
จอแหล 0,น.,ชื่อมะเขือชนิดหนึ่ง
จอแหล 1,น.,ชื่อผีพรายชนิดหนึ่ง ชอบหลอกคน.
จอแหล 2,ก.,ปด บางทีใช้คู่ กับขี้หก เป็น ขี้หกจอแหล.
จอแหล 3,ว.,"เป็นคำด่าคนที่พูดเท็จ, ตอแหล."
จอแหล 4,ว.,"ประจบ, ฉอเลาะ, ช่างพูด."
