คำ,POS,ความหมาย
ฉก 0,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ฉก 1,น.,ลูกชิด (ดู ชิด น. ๑.).
ฉกแฉ็ก 0,ว.,"เบ็ดเตล็ด, เล็กน้อย, นิดหน่อย"
ฉกแฉ็ก 1,ว.,เฉอะแฉะ.
ฉกเนา 0,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ฉกเนา 1,น.,ลูกชิด.
ฉกเนา 2,ก.,แสดงอาการด่าด้วยมือ
ฉกเนา 3,ก.,แย่งชิง หรือฉวยเอาโดยเร็ว.
ฉกเนา 4,ก.,กัด เช่น งูฉก.
ฉกเนา 5,ก.,"ทิ่มตำ, โขก, สับ เช่น ระวังไม้จะฉกหัว."
ฉลุง 0,น.,เสาสำหรับผูกช้าง
ฉ้วน 0,น.,อวัยวะเพศชาย
ฉ้วน 1,น.,อวัยวะเพศชาย (ดู หัวดอ).
ฉวบ 0,ว.,เสียงดังเช่นนั้น.
ฉวม 0,ว.,ครืน เช่น ฮาฉวม - ฮาครืน (ช.พ.).
ฉวย 0,ก.,"คว้า, จับ, หยิบเอาโดยเร็ว เช่น ฉวยมือโลกสาวเขา - จับมือลูกสาวเขา, ปลาฉวยเบ็ด - ปลาจับเบ็ด, ปลาตอดเบ็ด."
ฉวย 1,สัน.,ถ้า เช่น ฉวยหมันมาทางโด้ - ถ้ามันมาทางโน้น.
ฉ้อ 0,น.,"จำนวนนับที่หมายถึงหก เช่น ฉ้อทาน - ฉทาน, ฉ้อกษัตริย์ – ฉกษัตริย์."
ฉ้อ 1,ก.,ฉ้อโกง.
ฉ้อ 2,ก.,"ยกขึ้น, ชักขึ้น, ชักรอก, ใช้ขอสับแล้วดึงขึ้น."
ฉอก 0,ก.,"ถอก, ร่นเข้าไป."
ฉอก 1,ก.,กระฉอก อาการที่ของเหลว เช่น น้ำในภาชนะกระเพื่อมอย่างแรงเพราะความสั่นสะเทือน
ฉอก 2,ว.,"เถิก, เว้า, แหว่ง (ใช้กับลักษณะของผม)."
ฉ็อกหม็อก 0,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
ฉ็อกหม็อก 1,ว.,สกปรก (ดู สกมก).
ฉ้อง 0,ก.,ดวงชะตาหรือโฉลกไม่สอดรับกัน (ดู ฉ็อง ก.).
ฉ็อง 0,น.,ชื่อแมลงชนิดหนึ่งมีกลิ่นฉุน.
ฉ็อง 1,น.,โพรงในดินสำหรับเป็นที่อยู่อาศัยของสัตว์บางชนิด เช่น เม่น เป็นต้น.
ฉ้อง 0,ก.,ดวงชะตาหรือโฉลกไม่สอดรับกัน
ฉ็องด็อง 0,ก.,"ทะลึ่ง, ดื้อรั้น"
ฉ็องด็อง 1,ก.,ทะลึ่ง (ดู ช็องด็อง ก.).
ฉ็องแม่น 0,น.,รูที่เม่นอาศัยอยู่
ฉ็องแม่น 1,ก.,ดวงชะตาหรือโฉลกไม่สอดรับกัน
ฉ็องแม่น 2,ว.,"กลิ่นรุนแรง, ฉุน เช่น หมินฉ็องเยี่ยว - เหม็นกลิ่นปัสสาวะ."
ฉ้องหล้อง 0,ก.,"งง, ฉงน (ดู ชง ก. ๑.)."
ฉ้องหล้อง 0,ก.,"งง, ฉงน, คิดไม่ออกเพราะยุ่งยากซับช้อน, ทำอะไรไม่ถูกเพราะยังยั้งสติไม่อยู่"
