คำ,POS,ความหมาย
ชก 0,น.,ชื่อปาล์มชนิดหนึ่ง ใบคล้ายใบสาคู ผลคล้ายลาน จั่นใช้ทำน้ำตาลทำนองเดียวกับมะพร้าว
ชก 1,น.,ชื่อปาล์มชนิดหนึ่ง (ดู ขีด น. ๑.).
ชก 2,ก.,ต่อยด้วยหมัดหรือกำปั้น.
ชก 3,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ชกเงื่อนตาย 0,ก.,ผูกเงื่อนตาย (ดู เชาะเงื่อนตาย).
ชกเงื่อนตาย 1,ก.,ผูกเงื่อนตาย
ชง 0,ก.,"งง, ฉงน, คิดไม่ออกเพราะยุ่งยากซับช้อน, ทำอะไรไม่ถูกเพราะยังยั้งสติไม่อยู่"
ชง 1,ก.,ผูกรั้งขา เช่น ชงวัว - ผูกรั้งขาวัว.
ชด 0,น.,ชื่อไม้ต้นขนาดกลาง ดอกมีกลิ่นเหม็น.
ชด 1,น.,เครื่องใช้ชนิดหนึ่ง ทำด้วยงวงของต้นจาก ทุบปลายให้แตกเป็นเส้นใย ใช้ทำความสะอาด กระบอกไม้ไผ่.
ชด 2,ก.,"ชดเชย, ทดรอง, ชดใช้."
ชด 3,ก.,"ประชด, แกล้งทำให้เกินควรหรือพูดแดกดัน เพราะความไม่พอใจ เช่น ทำชด - ทำประชด, พูดชด - พูดประชด."
ชด 4,ว.,งอน เช่น ท้ายชด - ก้นงอน.
ชน 0,ก.,ชิดจนติด เช่น นอนหัวชนกัน.
ชน 1,ก.,"ชน, โดนแรง ๆ เช่น ชนวัว, รถชน."
ชนขวบ 0,ก.,"บรรจบปี, ครบปี (น.ธ.)."
ชนวัว 0,น.,"การพนันชนิดหนึ่งเล่นโดยใช้ไพ่ป๊อก วิธีเล่น แจกไพ่คนละ ๕ ใบ จำนวนไพ่ ๓ ใบ รวมกัน ให้เท่ากับ ๑๐, ๒๐, ๓๐ อีก ๒ ใบ เป็นจำนวนเลขที่ต้องการคะแนน ถ้าไพ่ ๓ ใบรวมกันไม่ได้ ๑๐, ๒๐, ๓๐ ถือว่าไพ่เสีย"
ชนวัว 1,น.,การพนันชนิดหนึ่งเล่นโดยใช้ไพ่ป๊อก (ดู งุมงำ)
ชนวัวดิน 0,น.,"การเล่นของเด็กอย่างหนึ่งโดยวิธีปั้นดินเป็นรูปวัวใส่ผ้าขาวม้า เป็นต้น, เขย่าชายผ้าให้เคลื่อนไหวปะทะกัน."
ชนวัวหัวพร้าว 0,น.,การเล่นของเด็กอย่างหนึ่ง โดยเอาโคนทางมะพร้าวต่างหัววัวผูกเชือกเข้าชนกัน (บางถิ่นใช้วิธีเอาโคนทางมะพร้าวสอดเข้าชนกัน).
ชนหีน 0,น.,ชื่อนกชนิดหนึ่ง คล้ายนกกะงัง
ชนเหล็กขูด 0,น.,การปลุกเสกกระต่ายขูดมะพร้าวให้ชนกัน.
ชนเหล็กขูด 1,น.,วิธีขอฝนอย่างหนึ่งของชาวปะนาเระ โดยเอากระต่ายขูดมะพร้าวชนกันในวัด.
ชนเหล็กขูด 2,น.,"ได้แต้มเท่ากัน, ออกหน้าเดียวกัน."
ชบ 0,ก.,ชุบชีวิต.
ชบ 1,ก.,"เนรมิต, สร้างหรือบันดาลด้วยอำนาจ ฤทธิ์ หรืออภินิหารให้บังเกิดเป็นขึ้นมีขึ้นโดยฉับพลัน."
ชม 0,ก.,ล้อเล่นด้วยความรัก.
ชม 1,ก.,"สรรเสริญ, ยกย่อง."
ชม 2,ก.,"จูบ, แสดงความรัก เช่น อ้ายหนุ่มเราชมหีดเดียวร้องแล้ว - อ้ายหนูเราจูบนิดเดียวก็ร้อง."
ชมเกล่า 0,น.,"ส้มจี๊ด, ส้มชนิดหนึ่ง ลักษณะคล้ายส้มเขียวหวาน ผลเล็กกว่ามะนาว รสเปรี้ยว"
ชมชาติ 0,ก.,เสียหายหมด.
ชมชาติ 1,ก.,"พบ ใช้กับญาติหลาย ๆ คนมาพบพร้อมหน้าพร้อมตากัน, ชุมนุมญาติมิตร."
ชมชาติ 2,ก.,"กลับชาติ, การกล่าวตอนจบของหนังสือประเภทชาดก แล้วบอกว่าใครกลับชาติเป็นอะไร"
ชมพู่ 0,น.,"ฝรั่ง (ผลไม้, เทียบ ม. jambu)"
ชมพู่ 1,น.,"ชมพู่, ชื่อไม้ต้นขนาดกลาง ดอกเป็นฝอยยาว สีเขียว ขาว หรือชมพู สามเหลี่ยมกลม ก้นโต จุกสอบ เนื้อฉ่ำน้ำ รสหวานหรือเปรี้ยวอมหวาน มีทั้งผลสีเขียว ชมพู หรือสีน้ำตาลอมเขียว มีหลายชนิด เช่น ชมพู่เขียว,ชมพู่กะหลาป๋า, ชมพู่แดง, ชมพู่ขาว, ชมพู่ปากแดง, ชมพู่ย่าหวัน, ชมพู่ปู้เต้, ชมพู่น้ำดอกไม้, ชมพู่สาแหรก, ชมพู่แก้มแหม่ม"
ชมพู่ 2,น.,ฝรั่ง (ดู ย่าหมู).
