คำ,POS,ความหมาย
ซก 0,น.,"ลูกชิด, ตาวหรือปาล์มชนิดหนึ่ง ใบคล้ายมะพร้าว ท้องใบขาว จั่นเป็นพวงห้อย ให้น้ำตาลทำนองมะพร้าว ออกผลเป็นทะลาย เนื้อในเมล็ดอ่อน เรียก ลูกชิด เชื่อมกินได้"
ซก 1,น.,ชื่อปาล์มชนิดหนึ่ง (ดู เหนา น. ๑.).
ซก 2,ก.,"หมก, ซ่อน (ดู ซุก)."
ซก 3,ก.,"สะเด็ดน้ำ, แห้งน้ำ เช่น ผักน้านล้างแหล่วตั้งไว้ให้ซกกอน - ผักนั้นล้างแล้วตั้งไว้ให้สะเด็ดน้ำก่อน (ภ.ก.)."
ซก 4,ก.,เรื้อเวที เช่น หนังตะลุงโรงนี้ซกเสียแล้ว - หนังตะลุงโรงนี้เรื้อเวทีเสียแล้ว.
ซก 5,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด เช่น น้ำย้อยซก, เหงื่อไหลซก, ผ้าเปียกซก"
ซก 6,ว.,การหมักดอง เช่น ตอซก – สะตอดอง (ป.น.)
ซก 7,ก.,หมกซ่อน หรือยัดแทรกไว้ในที่มิดชิด เช่น ตามซอกมุม
ซก 0,น.,ชื่อปาล์มชนิดหนึ่ง ใบคล้ายใบสาคู ผลคล้ายลาน จั่นใช้ทำน้ำตาลทำนองเดียวกับมะพร้าว
ซกขรุ 0,ว.,"โสโครก, สกปรก, เลอะเทอะ (ภ.ก., พ.ง.)."
ซกซก 0,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด เช่น น้ำย้อยซก, เหงื่อไหลซก, ผ้าเปียกซก"
ซกซก 1,ว.,"อาการที่ของเหลวไหลย้อย, เปียกจนน้ำหยด (ดู ซก ว. ๒.)."
ซกแซ็ก 0,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
ซกแซ็ก 1,ว.,ช้า (ดู สกแส็ก).
ซด 0,ก.,อาการที่กินน้ำร้อน น้ำชา หรือน้ำแกงทีละน้อย ๆ มักมีเสียงดังซูด.
ซน 0,ก.,"ดัน, ผลัก, สวน เช่น สูนไม้ฟืน - ดันฟืนเข้าไป, สูนวาน - สวนทวาร"
ซน 1,ก.,อาการที่อยู่ไม่สุขจับโน่นฉวยนี่ หรือเล่นไม่เป็นเรื่องเป็นราว ทำให้เดือดร้อนเสียหาย.
ซน 2,ก.,"ดัน, สวน (ดู สูน ก. ๑.)."
ซน 3,ว.,ลักษณะการเรียงตัวของเสี้ยนในเนื้อไม้ไม่เป็นระเบียบเรียกว่า ไม้ซนหรือเสี้ยนซน ซึ่งจะทำให้ไสกบยาก (ภ.ก.).
ซ้น 0,ก.,"เคล็ด, ขัดยอก, ร่นเข้าไป เช่น มือซ้น - มือเคล็ด, วานซ้น -ตะโพกเคล็ด."
ซนม่า 0,น.,"กระเจี๊ยบแดง (ภ.ก., พ.ง.)"
ซบดิ 0,น.,ปกติสุข (เทียบได้กับ สมปฤดี) เช่น กูแลไอ้ไขกับอีแดงหมันไม่ซบดิอยู่กันชงง๋องแง๋งกันอยู่เรื่อย – กูดูแล้วไอ้ไขกับอีแดงมันไม่มีความสุขเลยมีปากเสียงกันอยู่เรื่อย (ภ.ก.).
ซมเกล่า 0,น.,ส้มจี๊ด (ดู เก็ดหล้า).
ซมควาย 0,น.,ส้มแขก (ดู ส้มควาย).
ซมม่า 0,น.,กระเจี๊ยบแดง (ดู ส้มม่า).
ซวก 0,ก.,"แทง, กระซวก, เอาของแหลมทิ่มหรือปักเข้าไป."
ซวดเซียด 0,ว.,"หนักเต็มที่ เช่น หามกันซวดเซียด - หามกันหนัก เต็มที่, แย่เต็มที่."
ซวน 0,ก.,"เซ, โซเซจะล้ม"
ซ่วน 0,น.,"เพชร (จ., ภ.ก.)."
ซวนเซียน 0,ก.,"เซ, โซเซจะล้ม"
ซวนเซียน 1,ก.,เซ (ดู ซวน).
ซ้วนถาว 0,น.,หัวกระเทียม (ดู หัวเทียม).
ซ้วนถาว 0,น.,หัวกระเทียม
ซ้วนน่า 0,น.,หัวกระเทียม (ดู หัวเทียม).
ซ้วนน่า 0,น.,ชื่อไม้ล้มลุก คล้ายต้นหอม หัวเป็นกลีบ ๆ เมื่อแห้งสีขาว กลิ่นฉุน รสเผ็ดร้อน ใช้ปรุงอาหาร
ซ้วย 0,ก.,"ตัดให้เป็นรูปรี, เจียน (ภ.ก.)."
ซอ 0,น.,ตอไม้ไผ่ค่อนข้างยาวที่เหลืออยู่ที่กอ.
ซอ 1,น.,ชื่อเครื่องดนตรี.
ซอ 2,ก.,ตำข้าวครกเดียวกันโดยใช้คนตำ ๒ - ๓ คน พร้อม ๆ กัน สลับกันลงสาก.
ซอ 3,ก.,ผลัดเปลี่ยนกันช่วยกันทำงานแบบถ้อยทีถ้อยอาศัยโดยไม่มีค่าจ้าง เช่น เก็บข้าวซอ - ผลัดเปลี่ยนกันเกี่ยวข้าวโดยไม่มีค่าจ้าง.
ซอ 4,ว.,"ซ้ำซ้อน, ประดังกัน, พร้อมกัน เช่น แต่งงานซอกัน - แต่งงานพร้อมกัน"
ซ่อ 0,ก.,ลด เช่น น้ำซ่อ - น้ำลด (ส.ฎ.).
ซอก 0,น.,"ที่แคบ ๆ. ก. แอบ, ซ่อน (ส.ฎ.)."
ซอง 0,ว.,"ซ้ำซ้อน, ประดังกัน, พร้อมกัน เช่น แต่งงานซอกัน - แต่งงานพร้อมกัน"
ซอง 1,น.,"ซอกหรือช่องที่แคบ เช่น ซองตู - ซอกประตู, ซองไฟ - ที่แคบข้างเตาไฟ."
ซอง 2,ก.,"ไม่กินกัน ใช้ในการพนัน เช่น ใช้ในการเล่นไพ่, เล่นบิลเลียด เป็นต้น."
ซอง 3,ว.,"ซ้ำซ้อน, พร้อมกัน (ดู ซอ ว.)."
ซ่อแซ่ 0,ว.,เตาะแตะ เช่น เดินต็อกแต็ก
ซ่อแซ่ 1,ว.,เตาะแตะ (ตู ต็อกแต็ก).
ซ็อดแซ็ด 0,ว.,ช้า ส่วนใหญ่ใช้กับเรือ (ส.ฎ.).
ซอเดาะ 0,น.,เครื่องมือจับกุ้งและปลาขนาดเล็กทำด้วยอวนหรือตาข่ายที่มีตาถี่ ๆ มีโครงและคันใช้ดันไปตามพื้นดิน ในลำคลองหรือแม่น้ำตื้น.
ซอเดาะ 1,ก.,"ดุน, ดัน. (น.ธ.)."
ซอน 0,ก.,"ซ่อน, มุดเข้าไปในที่กำบัง, แอบ, หลบไว้ในที่ลับตา เช่น ลูกไก่ซอนเข้าไปในปีกแม่ไก่."
ซ่อนวอน 0,ก.,"หาเรื่องใส่ตัว (เป็นคำด่า) เช่น แด็กคนนั้นปากสอนวอนจริง - เด็กคนนั้นพูดหาเรื่องใส่ตัวจริงๆ, ฟื้นฝอยหาตะเข็บ"
ซ่อนวอน 1,ก.,หาเรื่องใส่ตัว (ดู สอนวอน).
ซ้อบ 0,ว.,"เรียวลง, เล็กลง (ภ.ก.)."
ซอปาก 0,น.,"หีบเพลงปาก, เครื่องดนตรีประเภทเครื่องลม ใช้ปากเป่า ลักษณะแบนยาว ประกอบด้วยลิ้นเสียง ๒ แถว แถวหนึ่งดังเมื่อเป่าลมออก อีกแถวหนึ่งดังเมื่อดูดลมเข้า"
ซอปาก 1,น.,หีบเพลงปาก.
ซอม 0,ก.,"ประสานกัน, ร่วมกัน (ส.ฎ.)."
ซอม 1,ว.,"ทรุดหนัก, เจ็บหนัก เช่น ถูกตีซอม - ถูกตีเจ็บหนัก."
ซ้อม 0,ก.,"ซ้อม, ฝึก, ทำทดลองเพื่อให้ชำนาญหรือให้แน่นอน."
ซ้อม 1,ก.,"ทำข้าวกล้องให้เป็นข้าวสารโดยวิธีใส่ครกตำ เช่น ซ้อมสาร, ซ้อมข้าวสาร - ตำข้าวกล้องมาเป็นข้าวสาร (ถ้าข้าวเปลือก เรียกว่า ทิ่มข้าว)."
ซอหรง 0,น.,ผ้าโสร่ง (ดู ผ้าถุง).
ซอหรง 0,น.,ผ้าโสร่ง
ซะ 0,ว.,"อร่อย, มีรสดี, ถูกปาก เช่น ตระปาก - อร่อยปาก, ตระคอ - อร่อยคอ."
ซะ 1,น.,ก้อนหินซึ่งมีแร่ดีบุกเกาะหรือฝังอยู่ภายใน (ภ.ก.).
ซะ 2,ก.,ซ่า (ดู ตระ ก.).
ซะ 3,ว.,ชัด (ดู ซ่า ว. ๑.).
ซะ 4,ว.,"อร่อย, ถูกปาก (ดู ตระ ว.)."
ซะ 5,ว.,ชัด เช่น แหลงไม่ซ่า – พูดไม่ชัด
ซะกู 0,น.,มาตราวัดความยาว คือ ๑ ใน ๔ ส่วนของหลา (ดู ซูกู้).
ซะกู 1,น.,"มาตราวัดความยาว มักใช้กับผ้า หมายถึง หนึ่งในสี่ส่วนของหลา (เทียบ ม. suku : ภ.ก., พ.ง.)"
ซะร็อก 0,ว.,การหมักดอง เช่น ตอซก – สะตอดอง (ป.น.)
ซะร็อก 1,ว.,หมักดอง (ดู ซก ว. ๒).
ซัง 0,น.,ตอข้าวที่เก็บรวงแล้ว เช่น ปาซัง - ในนาข้าวที่เก็บรวงแล้ว.
ซัง 1,ก.,"ดั้นด้น, ไปโดยไม่มีจุดหมาย"
ซั้ง 0,น.,กิ่งไม้ที่สุมไว้ในลำคลอง หรือหนองน้ำเพื่อล่อปลาให้เข้าอาศัยแล้วล้อมจับหรือวิดเอาในภายหลัง
ซั้ง 1,น.,กิ่งไม้ที่สุมไว้ในลำคลองหรือหนองน้ำเพื่อล่อปลา (ดู หฺมฺรำ น. ๑.).
ซั้ง 2,น.,คานไม้ที่ใช้ดึงด้ายที่จะทอหูกให้ตึง.
ซั้ง 3,น.,"ขนมจ้าง, ชื่อขนมชนิดหนึ่ง ทำจากข้าวเหนียวห่อด้วยใบไผ่ แล้วต้ม"
ซั้ง 4,น.,ที่กั้นน้ำไม่ให้ไหลแรง.
ซั้ง 5,ก.,กั้น.
ซั้ง 6,สำ.,ทำแบบขอไปที เช่น ส่งหมาให้พ้นซั้ง - ทำให้พอเสร็จโดยไม่คำนึงถึงคุณภาพ.
ซังแซว 0,น.,"นกแซงแชว, นกขนสีดำหรือเทาเป็นมัน ตาสีแดงหางเรียวยาว กินแมลงเป็นอาหาร."
ซังนัง 0,น.,กิ่งไม้ที่สุมไว้ในลำคลอง หรือหนองน้ำเพื่อล่อปลาให้เข้าอาศัยแล้วล้อมจับหรือวิดเอาในภายหลัง
ซัด 0,ก.,"ขว้าง, ปา, ทิ้ง, สาดโดยแรง, เหวี่ยงโปโดยแรง."
ซัด 1,ก.,"ซัดทอด, โยนความผิดให้ผู้อื่น."
ซัดต้ม 0,น.,กีฬาชนิดหนึ่งที่ใช้เครื่องปา ซึ่งทำเป็นข้าวต้มลูกโยนปาต่อสู้กัน.
ซัดท่า 0,ก.,ตั้งท่ารำ.
ซัดท่า 1,สำ.,"โอ้เอ้, อ้อยอิ่ง เช่น ทำไหรซัดท่าอยู่นั้นแหละ."
ซัดน้ำ 0,น.,พิธีสะเดาะเคราะห์ขับผี.
ซัดน้ำ 1,ก.,พรมน้ำมนตร์.
ซัดแบ็ด 0,น.,วิธีตกปลาน้ำจืดโดยใช้เบ็ดซัด.
ซัดราว 0,น.,การเล่นแข่งขันขว้างราวไม้ซึ่งมีเม็ดหินเมล็ดมะม่วงหิมพานต์ ลูกสวาด เป็นต้น วางอยู่ ใครขว้างได้มากกว่าเป็นผู้ชนะ
ซัดราว 1,น.,การเล่นแข่งขันขว้างราวไม้ซึ่งมีเม็ดหิน เมล็ดมะม่วงหิมพานต์ เป็นต้น.
ซัดโรง 0,ก.,การก่อกวนโรงหนังตะลุงหรือโรงมโนราห์โดยการขว้างปาสิ่งของ.
ซัดโรง 1,สำ.,คอยรังควานรบกวนไม่หยุดหย่อน จนผู้อื่นไม่มีอันทำงาน.
