คำ,POS,ความหมาย
ดก 0,น.,"กาบพืชตระกูลปาล์ม เช่น ต้อหมาก - กาบหมาก, ต้อหลาโอน - กาบเหลาชะโอน"
ดก 1,ก.,"กระดก, ทำให้ปลายข้างหนึ่งยกสูงขึ้น, เผยอขึ้นข้างหนึ่ง."
ดก 2,ว.,"มากกว่าปกติ เช่น ผมดก, ลูกดก."
ดกแด็ก 0,ว.,ไม่จริงจัง.
ดกแด็ก 1,ว.,"ไม่แข็งแรง, ผอมแห้ง"
ดง 0,น.,"ดง, ป่าที่มีต้นไม่ใหญ่ขึ้นหน่าแน่น, ที่ซึ่งมีต้นไม้อย่างใดอย่างหนึ่งขึ้นหนาแน่นโดยปริยายคือที่ที่มีสิ่งเดียวกันรวมกันอยู่มาก ๆ เช่น ดงโจร, ดงหมามุ่ย."
ดง 1,ก.,"ดงข้าว, เอาหม้อข้าวที่เช็ดน้ำแล้ว ขึ้นตั้งไฟอ่อน ๆ เพื่อให้สุกเต็มที่"
ด้ง 0,น.,"กระด้ง, ภาชนะรูปแบน ขอบกลม สำหรับฝัดข้าว เป็นต้น"
ด้ง 1,น.,กระทะล้อรถยนต์ เรียกว่า “ด้งล้อ”.
ด้งด้อ 0,ก.,อาการของไม้ซึ่งถูกทาบหรือดามไว้โก่งตัวขึ้น.
ด้งด้อ 1,ก.,"เหนื่อยมาก, เพลียมาก เช่น วันนี้เที่ยวเสียจนด้งด้อ - วันนี้เที่ยวมากเสียจนเพลีย และเหนื่อยมากเหลือเกิน (ช.พ.)."
ด้งแด้ง 0,ว.,"กระตุ้งกระติ้ง, ไม่เอาจริงเอาจัง."
ด้งฝัด 0,น.,กระด้งสำหรับฝัดร่อน.
ด้งมอน 0,น.,กระด้งขนาดใหญ่ใช้สำหรับตาก.
ด้งแร่ง 0,น.,กระด้งที่สานตาห่าง ๆ ใช้ร่อนแยกฟางข้าวออกจากเมล็ดข้าว.
ดงหม้อ 0,ก.,"ดงข้าว, เอาหม้อข้าวที่เช็ดน้ำแล้ว ขึ้นตั้งไฟอ่อน ๆ เพื่อให้สุกเต็มที่"
ดงหม้อ 1,ก.,ดงข้าว (ดู ดง ก.).
ด้น 0,ก.,ว่ากลอนสด เช่น ด้นกลอน.
ด้น 1,ก.,เย็บทวน เช่น ด้นผ้า.
ด้น 2,ก.,"โกง, แสดงอาการดื้อไม่ยอมทำตาม."
ด้น 3,ว.,"ดุ, มีลักษณะทำให้ดูน่ากลัวหรือน่าเกรงขาม, ร้าย, ร้ายกาจ, เหี้ยมโหด, ดุอย่างไม่ลดละ."
ด้น 4,ว.,"ซุกซน, ซนนอกลู่นอกทาง, ซอกแซกเล่น (ช.พ., ภ.ก.)."
ด้น 5,ว.,ลักษณะไปอย่างไม่มีเป้าหมายเช่น เดินด้นไป.
ด้นเหมือนพ่อวัวลูกอ่อน 0,สำ.,ดุมาก.
ด้นเหมือนวัวตาจก 0,สำ.,ดุมาก.
ด้นเหมือนหมาล่ำ 0,สำ.,ดุมาก.
ด้นเหมือนหมาลูกอ่อน 0,สำ.,ดุมาก.
ดพร้าว 0,น.,เปลือกมะพร้าว
