คำ,POS,ความหมาย
ตก 0,น.,ทิศตะวันตก
ตก 1,ก.,กิริยาที่ลดระดับจากสูงลงสู่ระดับต่ำอย่างรวดเร็วจนถึงพื้น.
ตก 2,ก.,ไม่ผ่าน เช่น สอบตก.
ตก 3,ก.,แท้ง เช่น ตกลูก
ตก 4,ก.,เรียกค่าสินสอด เช่น เรินตก - เรือนหอที่ฝ่ายเจ้าสาวเรียกเป็นค่าสินสอดจากฝ่ายเจ้าบ่าว.
ตก 5,ก.,"ปรากฏขึ้น, เกิดขึ้น, ต้อง."
ตก 6,ก.,ติดค้าง.
ตก 7,ก.,รั้งท้ายว่าตกหลัง.
ตก 8,ก.,ต่ำลง.
ตกกลางการ 0,ก.,ตกกลางคัน
ตกกำหมา 0,ก.,ประหม่า (ดู ตกหฺมฺรา).
ตกกำหมา 1,ก.,ประหม่า
ตกเกลื้อน 0,ก.,แตกเนื้อหนุ่มเนื้อสาว.
ตกแก 0,น.,"ตุ๊กแก, ชื่อสัตว์เลื้อยคลาน หัวโต หางยาว ตีนเหนียว สามารถเกาะตามผนังเรียบได้ ร้องเสียงดัง ออกหากินในเวลากลางคืน"
ตกแกมยอ 0,ก.,ตกลูกยอ.
ตกคล้องช้าง 0,ก.,ตกท้องช้าง.
ตกคลัก 0,ก.,"อยู่ในโคลน, รวมอยู่ด้วยกันในแอ่ง."
ตกแฉก 0,ก.,หวีผมแสก.
ตกเที้ยน 0,ก.,"ค้างเติ่ง, ไม่ได้ดังหวัง ใช้ในการเล่นการพนันบางประเภท (ภ.ก.)."
ตกน่องแน่ง 0,ก.,มัดสองขาไว้มิให้ก้าวเดินได้สะดวก (น.ศ.)
ตกบ้อง 0,ก.,เรียกอาการของปลากัด เมื่อแพ้แล้วจะถอดสีและมีลายเป็นบั้ง ๆ ว่า “ตกบ้อง” (ภ.ก.).
ตกพระกาฬ 0,ก.,ตกที่นั่งพระกาฬ.
ตกเลือด 0,ก.,แท้ง เช่น ตกลูก
ตกหนักตกลึก 0,สำ.,"รับเคราะห์, รับภาระหนัก"
ตกหน้างาน 0,ก.,ตกเป็นหน้าที่.
ตกหวางเวน 0,ก.,ตกกลางคัน
ตกหฺมฺรา 0,ก.,ประหม่า
ตกเหนา 0,น.,จุดดำ ๆ ที่เกิดขึ้น ตามเสื้อผ้าอันเกิดจากการหมักหมมหรือเปียกชื้น
ตกเหนา 1,ก.,ขึ้นรา
ตกเหนา 2,น.,ขึ้นรา.
ตง 0,น.,ชื่อไม้ไผ่ ลำต้นใหญ่ ไม่มีหนาม หน่อกินได้.
ตง 1,น.,ไม้เครื่องเรือนที่วางบนรอดหรือคานสำหรับรองพื้นกระดานหรือฟาก.
ต้ง 0,ก.,"ต๋ง, ชักเอาเงินไว้จากขาไพ่ที่เป็นผู้ชนะหรือลูกค้า ที่แทงถูกในการพนันบางชนิด เช่น ถั่ว, โป."
ต่งฉิ่วเปี้ย 0,น.,"ขนมเปี๊ยะในพิธีไหว้พระจันทร์ ( จ., ภ.ก.)."
ต่งสิน 0,ว.,"ซื่อสัตย์, ซื่อตรง (จ., ภ.ก.)"
ต่งห่อ 0,ว.,"กตัญญูและรู้คุณท่าน, ซื่อตรง (จ., ภ.ก.)."
ตด 0,น.,ลมที่ออกจากทวารหนัก.
ตด 1,ก.,"ผายลม, อาการที่ลมระบายออกทางทวารหนัก"
ตดออกกาก 0,สำ.,"เปล่าประโยชน์, เอาดีไม่ได้."
ตน 0,สรรพ.,"ท่าน, คุณ"
ต้น 0,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส เช่น พ่อท่านเทากำหฺมฺลังจำวัด - หลวงพ่อกำลังจำวัด (น.ศ.)
ต้น 1,น.,คำนำหน้าชื่อพระภิกษุลูกวัด เช่น ต้นเขียว - พระภิกษุเขียว.
ต้น 2,น.,"ลำของต้นไม้, เป็นชื่อรวมทั่วไปของต้นไม้และพืชผักต่าง ๆ."
ต้น 3,ลัก.,ลักษณนามเรียกต้นไม้และพืชผักแทบทุกชนิดว่า ต้น.
ต้นตายปลายเป็น 0,น.,ชื่อไม้ล้มลุก ขึ้นเกาะอยู่ตามต้นไม้ในที่ชื้นในป่าละเมาะ ใช้ต้มแก้โรคดีซ่าน
ต้นปูน 0,น.,จำปูน.
ต้นปูน 0,น.,"จำปูน, ชื่อไม้พุ่มเตี้ย มีตามป่าดงดิบทางภาคใต้ กลีบดอกแหลม หนาแข็ง ด้านนอกสีเขียว ด้านในสีขาวนวล กลิ่นหอมมาก"
ต้นยวน 0,น.,ที่จับเกาะของนกหรือที่อยู่ประจำของนกหรือผึ้ง
ต้นยวน 1,น.,ที่จับเกาะของนกหรือที่อยู่ประจำของนกหรือผึ้ง.
ต้นสามฤดู 0,น.,"บานไม่รูโรย, ชื่อไม้ล้มลุกลำต้นค่อนข้างแข็ง แตกแขนงเป็นพุ่มเล็ก ๆ ดอกกลมสีขาว ชมพู หรือม่วงแดง"
