คำ,POS,ความหมาย
ถก 0,ก.,"ผงก, กระดก, โผล่, ชะเง้อ เช่น ถกคอ - โผล่คอ, โผล่ศีรษะ."
ถก 1,ก.,"อภิปราย, โต้เถียง."
ถก 2,ก.,"ถลก, ดึงรั้งให้สูงขึ้นอย่างถลกผ้านุ่ง ถลกแขนเสื้อ เช่น ถกผ้า - ถลกผ้า."
ถก 3,ก.,ใช้กับงู คือ ถกหวัก หมายถึง การแผ่แม่เบี้ย.
ถด 0,ก.,"กระถด, เลื่อนไปเล็กน้อย"
ถบ 0,น.,ชื่อไม้ชนิดหนึ่ง.
ถบ 1,ก.,หยด เช่น โอ่งรั่วน้ำถบอยู่เรื่อย ๆ - โอ่งรั่วน้ำหยดอยู่เรื่อย ๆ.
ถบ 2,ว.,ติ๋ง ๆ เช่น น้ำย้อยถบ - น้ำหยดติ๋ง ๆ
ถบ 3,ลัก.,"หยด, หยาด เช่น น้ำย้อย ๒ ถบ - น้ำหยดลง ๒ หยด."
ถม 0,น.,"เครื่องถม, เรียกภาชนะหรือเครื่องประดับที่ทำโดยใช้ผงยาถมผสมน้ำประสานทองถมลงบนลวดลายที่แกะสลักบนภาชนะหรือเครื่องประดับนั้น แล้วขัดผิวให้เป็นเงางามว่า เครื่องถม."
ถม 1,ก.,ใช้สารเคมีใส่ลงในพื้นที่ที่แกะเป็นร่องระหว่าง ลวดลายในเครื่องเงิน แล้วใช้ความร้อนอบให้น้ำยาติดและให้พื้นเป็นสีดำ.
ถม 2,ก.,"ถม, เอาดินหรือสิ่งอื่น ๆ ใส่ลงไปในที่ที่เป็นหลุมเป็นบ่อหรือเป็นแอ่งเพื่อให้เต็ม, กองสุม ๆ ไว้ไม่เป็นระเบียบ."
ถม 3,ก.,ถ่ม (ดู ถุ้ย ก.).
ถม 4,ว.,มาก เช่น มีถม - มีมาก
ถม 5,ก.,"ถ่ม, ทำให้น้ำลายหรือสิ่งอื่น ๆ ออกจากปากโดยแรง เช่น ถุ้ยน้ำลาย - ถ่มน้ำลาย"
ถมถืด 0,ว.,มาก เช่น มีถม - มีมาก
ถมเถ 0,ว.,มาก เช่น มีถม - มีมาก
ถวง 0,ก.,"ถ่วง, หน่วง, ทำให้หนัก, ทำให้จม, ทำให้ช้า."
ถ้วย 0,น.,ภาชนะก้นลึก มีรูปต่าง ๆ สำหรับใส่น้ำหรือของบริโภค เป็นต้น โดยมากทำด้วยเครื่องเคลือบดินเผา ที่ทำด้วยแก้วหรือสิ่งอื่น ๆ ก็มี.
ถ้วยแกง 0,น.,ถ้วยสำหรับใส่แกง.
ถ้วยตีนช้าง 0,น.,ถ้วยปากผาย ก้นโต หนา
ถ้วยทะนะ 0,น.,ถ้วยสำหรับใส่ข้าวตักบาตร.
ถ้วยปากจีบ 0,น.,ถ้วยก้นลึก ปากผาย มีขนาดใหญ่กว่าปกติ ใช้สำหรับใส่แกง.
ถ้วยสิบสอง 0,น.,ถ้วยเล็ก ๆ สำหรับใส่เครื่องสิบสอง.
ถอ 0,น.,"ไม้ถ่อ, ไม้สำหรับค้ำยันแล้วดันให้เรือเดิน."
ถอ 1,ก.,"ค้ำ, ถ่อ, ทำให้เรือเดินด้วยใช้ไม้นั้นยันแล้วดันไป เช่น ถอเรือ - ถ่อเรือ, โดยปริยายหมายความว่า ไปหรือมาด้วยความลำบาก."
ถอ 2,ก.,คำสั่งให้ช้างถอยหลัง
ถ้อ 0,ก.,โต้ตอบ.
ถอก 0,ก.,ร่นเข้าไป เช่น ถอกของลับ - ทำให้หัวของลับผู้ชายเปิด.
ถอก 1,ก.,กระแทกลงแรง ๆ (ส.ต).
