คำ,POS,ความหมาย
ทก 0,น.,"ชื่อปลาน้ำจืดขนาดใหญ่ชนิดหนึ่งคล้ายปลาชะโอน แต่ตัวโตกว่ามาก, ปลาเนื้ออ่อน."
ทก 1,น.,ชื่อเงื่อนชนิดหนึ่ง เรียก เงื่อนทก.
ทก 2,ก.,"กระตุก, กระชาก, ดึง เช่น ทกข้าว - เอาข้าวใส่กระด้ง ร่อนพลางกระตุกพลางเพื่อให้กากข้าวแยกออกจากข้าวสาร, ทกเชือก - กระตุกเชือก"
ทก 3,ก.,การแสดงออกทางอารมณ์เมื่อไม่พอใจ.
ทก 4,ก.,"หวาดกลัว, สะทกสะท้าน"
ทกท้าน 0,ก.,"หวาดกลัว, สะทกสะท้าน"
ทกแท็ก 0,ว.,"โงนเงน, กะปลกกะเปลี้ย."
ทกแป้ง 0,น.,ชื่อแมลงชนิดหนึ่ง ชอบชักใยตามเพดานบ้าน
ทกแป้ง 1,ก.,กรองแป้งโดยเอาแป้งใส่ตะแกรงร่อน (แร่ง) ร่อน พลางกระตุกพลางให้แป้งที่ละเอียดตกลงไปข้างล่าง
ทกรก 0,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
ทกรก 1,น.,กะทกรก (ดู รกช้าง).
ทกหญิก 0,ก.,"หวาดกลัว, สะทกสะท้าน"
ทง 0,น.,"กระทง, ภาชนะเย็บด้วยใบตองหรือใบไม้ เป็นต้น ยกขอบสูงสำหรับใส่ของ"
ทง 1,น.,ชื่อไม้ต้นชนิดหนึ่งจำพวกสะตอ แต่เมล็ดเล็กกว่า
ทง 2,น.,ส่วนยอดสุดของ ต้นไม้เรียกยอดทง หรือ ปลายทง.
ทง 3,ลัก.,กระทง เช่น ปลา ๒ ทง - ปลา ๒ กระทง.
ท่ง 0,น.,"ที่ราบโล่ง, ทุ่งนา, ทุ่งหญ้า."
ท่ง 1,สำ.,ถ่ายอุจจาระ เช่น ไปท่ง -ไปถ่ายอุจจาระ
ท่ง 2,สำ.,"เชย, เปิ่น."
ท้ง 0,ก.,ล้อเลียน (ดู เท้ง).
ท้ง 1,ก.,"ขยักไว้, โยนภาระให้เพื่อน."
ท้ง 0,ก.,"ล้อเลียน, กระเซ้า"
ทงหม้ง 0,น.,อุปกรณ์ที่ใช้กับเรือเซียด เป็นไม้กระดานที่ใช้ครอบลงไปบริเวณท้ายเรือให้แน่น เพื่อใช้สอดคัดเรือเซียดเข้าไป ขณะทำการเซียดกุ้ง.
ทด 0,ก.,"แทน, ชดใช้หรือชดเชยสิ่งที่เสียไป เช่น หามาทดที่ขาดเสียให้เต็ม."
ทด 1,ก.,"ท้อใจ, ไม่มีกำลังใจจะสู้, มีความพยายามลดน้อยถอยลง"
ทดหมด 0,สำ.,"ระทด, ท้อแท้ (น.ศ.)."
ทน 0,น.,"โทน, ชื่อกลองประเภทหนึ่ง สำหรับตีขัดจังหวะ ขึงด้วยหนังหน้าเดียวคล้ายกลองยาว แต่เล็กและสั้นกว่า, กลองแขก."
ทน 1,น.,เครื่องใช้ใส่ปลาชนิดหนึ่ง
ทน 2,ก.,"อดกลั้นได้, ทานอยู่ได้."
ทน 3,ว.,"แข็งแรง, มั่นคง."
ทนะ 0,น.,ข้าวสุกสำหรับตักบาตร.
ทบ 0,ก.,กระทบ (ดู แท่ง ก.).
ทบ 1,ก.,"ควบ, เอารวมเข้าเป็นพวกเดียวกันหรือเข้าคู่กัน, ประกบ."
ทบ 2,ก.,พับซ้อนไปมา.
ทบ 3,ลัก.,"เรียกสิ่งที่พับเข้ามาหรือเพิ่มเข้ามา เช่น ผ้า ๒ ทบ, เชียก ๒ ทบ."
ทบ 4,ว.,โชคดี (ภ.ก.).
ทบ 5,ก.,"กระทบ, โดน, ถูก, ต้อง, แตะ"
ทม 0,ก.,นอน เป็นคำที่พ่อแม่เรียกลูกเล็ก ๆ ให้มานอนด้วยการเอามือตบหมอน แล้วพูดว่า “มาทมมาลูกมา ทมทมมา” - มานอนมาลูกมา นอน ๆ มา (เทียบ ข. ผทํ ; ภ.ก.)
ทม 1,ว.,"ระบม, อาการเจ็บร้าวที่เกิดจากความเมื่อยขัดหรือบอบช้ำ เป็นต้น เช่น แจ็บทมไปทั้งตัว - เจ็บระบมไปทั้งตัว."
ทรง 0,ก.,"ทำให้ระดับสมดุล, ทรงตัว, ตั้งให้ตรง"
ทรง 1,น.,หม้อรองรับหวด
ทรง 2,ก.,"คงสภาพ, คงอยู่."
ทรง 3,ก.,ทำให้น้ำหนักอยู่ในระดับสมดุล (ดู หฺมฺรง).
ทรง 4,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด (ดู ธง ก. ๒.).
ทรง . 0,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด
ทรงกับทรุด 0,สำ.,ไม่มีโอกาสจะดีขึ้น.
ทรงแดง 0,น.,"รางแดง, ชื่อไม้เถาเนื้อแข็งชนิดหนึ่ง ใช้ทำยาได้ (ก.บ.)."
ทรงภาษา 0,สำ.,"ช่วยอธิบายให้เข้าใจ, ไกล่เกลี่ย."
ทราบ 0,ก.,"แอบมอง, ซุ่มดู."
ทราบ 1,ก.,รับรู้.
ทราม 0,ว.,เลว.
ทราม 1,ว.,"น่าจะ, สมควร, พอเหมาะ เช่น ขี้พร้าพอทรามแกง - ฟักเขียวพอเหมาะที่จะใช้แกง"
ทรามเนาะ 0,ว.,"พอน่าแกล้ม, น่ากิน, น่าจิ้ม."
ทรามหมาเงย 0,สำ.,สาวรุ่น.
ทรามเหลียด 0,ว.,ลักษณะผลไม้ที่เมล็ดเริ่มแข็ง เช่น ผลระกำ เป็นต้น
ทรามเหลียด 1,ว.,ลักษณะผลไม้ที่เมล็ดเริ่มแข็ง.
ทรามัน 0,ว.,ขี้เกียจ
ทรามัน 1,ว.,"เกียจคร้าน, ไม่อยากทำงาน"
ทรามัน 2,ว.,เกียจคร้าน (ดู คร้าน).
ทราย 0,น.,"ทราย, วัตถุที่เป็นเศษหินขนาดเล็กมีลักษณะซุยร่วน ไม่เกาะกัน."
ทราย 1,น.,ชื่อปลาน้ำจืดชนิดหนึ่ง ตัวขนาดนิ้วหัวแม่มือ หัวแหลม ชอบฝังตัวในทราย.
ทราย 2,น.,"ปลาทราย, ชื่อปลาทะเล ลำตัวสั้น รูปไข่ แบนข้าง ปากเล็ก ไม่มีฟันเขี้ยว มีหนามแหลมอยู่บริเวณใต้ตา ปลายชี้ไปทางด้านหลัง"
ทราย 3,น.,"เนื้อทราย, ชื่อกวาง เป็นกวางขนาดกลาง ตัวสีน้ำตาลเข้ม แต่ตอนล่างสีจางกว่า ตามลำตัวมีจุดขาว ๆ จางอยู่ทั่วไป ตัวผู้มีเขา ผลัดเขาปีละครั้ง อยู่เป็นฝูงตามทุ่งหญ้า กินหญ้าระบัด ใบไม้ และผลไม้."
ทราย 4,น.,ชื่อหนอนชนิดหนึ่ง ตัวขนาดนิ้วก้อย ชอบฝังตัวในดินทราย.
ทราย 5,น.,ชื่อไม้ประเภทมันชนิดหนึ่ง แต่ละต้นมีหัวเดียวสีขาว ๆ เนื้อร่วนและเมือก.
ทราย 6,น.,ชื่อไส้เดือนชนิดหนึ่งตัวขนาดเล็กสีแดงใส.
ทรายขาว 0,น.,ชื่อข้าวพันธุ์พื้นเมือง (ก.บ.).
ท้วง 0,ก.,"ทักท้วง, กล่าวหรือแสดงออกเป็นทำนองว่าไม่เห็นด้วย, ประท้วง, กระทำการหรือแสดงกิริยาอย่างใดอย่างหนึ่งเป็นการคัดค้านเพราะไม่เห็นด้วยหรือไม่พอใจอย่างยิ่ง."
ทวด 0,น.,"พ่อแม่ของปู่ย่าตายาย, บรรพบุรุษหรือผู้มีบุญวาสนาที่ล่วงลับไปแล้ว."
ทวด 1,น.,"สัตว์ที่มีอายุมาก ตัวใหญ่ หรือมีลักษณะพิเศษ เชื่อว่าเป็นพญาสัตว์ ชาวบ้านถือว่าศักดิ์สิทธิ์ เช่น เข้ทวด, งูทวด, ช้างทวด, เสือทวด เป็นต้น."
ทวด 2,น.,จิตวิญญาณที่สิงสถิตอยู่ในที่ต่าง ๆ เชื่อว่ามีอำนาจบันดาลสิ่งดีร้ายแก่ผู้ปฏิบัติ.
ทวด 3,ก.,เลิก เช่น ฝึกหัดเล่นหนังตะลุงมาระยะหนึ่งแล้วเลิกเล่น เช่น หนังทวด - เลิกเล่นหนัง.
ทวด 4,ว.,ยืด เช่น น้ำลายย้อยทวด - น้ำลายไหลยืด.
ทวน 0,น.,"ทวน, อาวุธชนิดหนึ่งคล้ายหอก แต่เรียวเล็ก และเบากว่า ด้ามยาวมาก."
ทวน 1,ก.,"ทบทวน, ย้อนกลับทำซ้ำอีกเพื่อให้แม่นยำ."
ทวน 2,ก.,"สวนกลับ, ย้อน, กลับมาตั้งต้นใหม่, กลับซ้ำใหม่."
ทวนเกล็ด 0,ก.,ทำในสิ่งที่ตรงกันข้าม.
ท้วม 0,น.,เครื่องมือชนิดหนึ่ง ใช้สำหรับตีน้ำเพื่อไล่ปลา.
ท้วม 1,ว.,มีรูปร่างสันทัดอ้วนน้อย ๆ และไม่สูงใหญ่.
ทวย 0,น.,"กระบวย, ภาชนะสำหรับตักน้ำ ทำด้วยกะลามะพร้าว มีด้ามถือ."
ทวย 1,น.,ชื่อไม้ต้นชนิดหนึ่ง คล้ายไม้ตะเคียน ลำต้นกลม สูงชะลูด นิยมใช้ทำเรือ.
ทวย 2,น.,"เหล็กใน, เดือยแหลมที่มีในก้นหรือปลายหางสัตว์บางชนิด เช่น ผึ้ง ต่อ แมงป่อง เป็นต้น."
ทวย 3,น.,สัตว์เลื้อยคลานคล้ายแมงป่อง (ดู ทวยใยมัน).
ทวย 4,น.,สัตว์เลื้อยคลานคล้ายแมงป่อง แต่เล็กกว่า เหล็กในมีพิษ
