คำ,POS,ความหมาย
ธง 0,น.,"ธง, ผืนผ้าโดยมากเป็นสีและบางอย่างมีลวดลายเป็นรูปต่าง ๆ ที่ทำด้วยกระดาษและสิ่งอื่น ๆ ก็มี สำหรับเป็นเครื่องหมายบอกชาติ ตำแหน่งในราชการ เป็นต้น และใช้เป็นเครื่องตกแต่งสถานที่ในงานรื่นเริงหรือถือเข้าขบวนแห่ เป็นต้น."
ธง 1,น.,ชื่อคันเบ็ดที่ปักประจำล่อปลา เรียก เบ็ดธง.
ธง 2,น.,ส่วนยอดสุดของต้นไม้เรียกยอดธงหรือปลายธง.
ธง 3,ก.,ปัก เช่น ธงแบ็ด - ปักเบ็ด.
ธง 4,ก.,ยกให้ปลายข้างหนึ่งสูงอยู่ตลอด
ธงราว 0,น.,"ธงทิว, ธงที่มีรูปลักษณะคล้ายกระบอก."
ธงหัวเขา 0,ก.,นั่งชันเข่า (ภ.ก.).
ธ่อ 0,สรรพ.,เรียกแทนชื่อพระภิกษุอาวุโส
ธ่อ 1,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส เช่น พ่อท่านเทากำหฺมฺลังจำวัด - หลวงพ่อกำลังจำวัด (น.ศ.)
ธ่อ 2,สรรพ.,คำเรียกแทนพระภิกษุอาวุโส (ดู ต้น สรรพ.).
ธอณี 0,น.,"ธรณี เช่น ธอณีตู – ธรณีประตู, แม่นางธอณี - แม่นางธรณี."
ธาตุ 0,น.,"วัตถุธาตุ, สิ่งที่ถือว่าเป็นส่วนสำคัญที่ประกอบกันเป็นร่างของสิ่งทั้งหลาย โดยทั่วไปเชื่อว่ามี ๔ ธาตุ คือ ธาตุดิน ธาตุน้ำ ธาตุลม และธาตุไฟ."
ธาตุ 1,น.,"อัฐิ, กระดูกคนที่เผาแล้ว เช่น ดับธาตุ - การทำพิธีเก็บอัฐิในเช้าตรู่ของวันรุ่งขึ้นหลังจากวันเผาศพ."
ธารน้ำ 0,น.,"ทางน้ำไหล (น.ธ.), ลำธารเล็ก ๆ (ป.น., ย.ล.)"
ธารน้ำ 1,น.,ลำธารเล็ก ๆ (ดู เตราะ น.).
ธุ 0,ก.,"ไหว้, กิริยาสั่งเด็กให้ไหว้ เช่น ธุพระเสียลูก - ไหว้พระซิ่ลูก."
ธูก 0,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
ธูกยุง 0,น.,ยาจุดกันยุง
ธู้ระ 0,น.,"ธุระ, หน้าที่การงานที่พึงกระทำ."
ธู้ลี 0,น.,"ธุลี, ละออง, ฝุ่น."
เธ้อ 0,สรรพ.,คำที่ใช้แทนผู้ที่เราพูดด้วย มักใช้ในระหว่างเพื่อนผู้หญิงด้วยกัน หรือใช้กับผู้มีศักดิ์ต่ำกว่า.
โธ่ 0,อุ.,เสียงอุทานในเชิงไม่พอใจ
โธก 0,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
โธ้ดงค์ 0,น.,"ธุดงค์, ชื่อวัตรปฏิบัติอย่างเคร่งครัดของภิกษุ มี ๑๓ อย่าง เช่น การอยู่ป่า การอยู่โคนไม้."
โธป 0,น.,"ธูป, เครื่องหอมชนิดหนึ่งมีแกนทำด้วยก้านไม้ไผ่เล็ก ๆ เป็นต้น ย้อมสีแดง พอกด้วยผงไม้หอม"
โธป 1,น.,ธูป (ดู ธูก).
