คำ,POS,ความหมาย
นก 0,น.,อวัยวะเพศหญิง
นก 1,น.,"นก, สัตว์มีกระดูกสันหลังเลือดอุ่น มี ๒ เท้า ๒ ปีก และมีขนปกคลุมร่างกาย ออกลูกเป็นไข่ก่อนแล้วจึงฟักเป็นตัว."
นกกรง 0,น.,"นกปรอด, ชื่อนกขนาดเล็ก สีเหลืองหม่น กินผลไม้และแมลง"
นกกรงหัวจุก 0,น.,นกปรอดหัวโขน.
นกกรงหัวจุก 1,น.,ชื่อเพลงกาหลอ.
นกกะเสียะ 0,น.,นกกระจิบ.
นกกะเสียะ 1,น.,เปลที่ทำด้วยผ้าถุงผูกด้านหนึ่งเข้ากับเชือกโยงกับคานหรือกิ่งไม้สำหรับให้ทารกนอน (ภ.ก.)
นกขี้คร้าน 0,น.,ชื่อนกชนิดหนึ่ง หากินในเวลากลางคืน
นกขี้คร้าน 1,น.,ชื่อนกชนิดหนึ่งหากินในเวลากลางคืน.
นกขี้งัวขี้ควาย 0,น.,นกกางเขนขนาดเล็กหางยาว ตัวสีขาวปนดำ
นกขี้งัวขี้ควาย 1,น.,นกกางเขนพันธุ์หนึ่ง ขนาดเล็ก ตัวสีขาวปนดำ.
นกเขา 0,น.,อวัยวะเพศชาย
นกเขา 1,น.,"นกเขา, ชื่อนก ขนสีน้ำตาล บางชนิดออกสีน้ำตาลแดง ลำตัวมีลาย มักอยู่เป็นคู่หรือเป็นฝูง หากินเมล็ดพืชบนพื้นดิน."
นกเขา 2,*น.,สแลง. อวัยวะเพศของผู้ชาย.
นกเขาขัน 0,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
นกเขาขัน 1,น.,ชื่อทับมโนราห์ตามตำนานฉบับกรมศิลปากร.
นกเขาบินหลน 0,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.)
นกเข้ารัง 0,น.,ช่วงเวลาที่นกกลับเข้ารัง ประมาณ ๑๘.๐๐ นาฬิกา
นกเขียว 0,น.,นกอีโก้ง.
นกควม 0,น.,นกพิราบป่า.
นกคุ่ม 0,น.,ชื่อนกชนิดหนึ่งคล้ายนกกระทา อาศัยอยู่ในทุ่งนาและป่าละเมาะ.
นกคุ่ม 1,น.,ชื่อมะพร้าวพันธุ์เบาชนิดหนึ่ง ผลเล็ก น้ำหวาน.
นกคุ่ม 2,น.,ชื่อหญ้าชนิดหนึ่ง ต้นแตก เป็นกอแผ่กว้างมีลูกคล้ายมะพร้าวขนาดเท่าปลายนิ้ว ผลอ่อนกินได้.
