คำ,POS,ความหมาย
บก 0,น.,ส่วนของผิวพื้นโลกที่ไม่ใช่ทะเลหรือแม่น้ำลำคลอง.
บก 1,น.,ชื่อไม้ต้นเนื้อแข็งชนิดหนึ่ง.
บก 2,ว.,เซ่อซ่า.
บก 3,ว.,"ไม่ได้รส, ไม่ได้ความ, ขาดความประณีต เช่น แกงนี้ไตรบกพันนี้ - แกงนี้ไม่มีรสเลย (ภ.ก.)."
บก 4,ว.,"ล้าสมัย, ไม่ทันหรือไม่เป็นไปตามสมัยที่นิยมกัน, ที่อยู่ห่างไกลความเจริญ, บ้านนอกคอกนา เช่น เคอะเหมือนคนบก – เคอะเขินเหมือนคนบ้านนอก, ทำไหรบก ๆ - ทำอะไรเชย ๆ ล้าสมัย."
บกกั๊ว 0,น.,มะละกอ (ดู ลอกอ น.).
บกกั้ว 0,น.,"มะละกอ, ชื่อไม้ต้น ใบหยักหยาบ ๆ ก้านยาว ผลกินได้"
บกเก่ง 0,น.,"หม้อหุงข้าว (จ., ภ.ก.)."
บกบก 0,ว.,"หยาบ, ไม่เรียบร้อย (ภ.ก.)."
บกเสี้ยม 0,น.,"ชื่อตัวตลกหนังตะลุง (จ., ภ.ก.)."
บกหนี้ 0,น.,เห็ดหูหนู (ดู หูลีง).
บกหนี้ 0,น.,เห็ดหูหนู
บง 0,น.,"เหลาชะโอน, ชื่อปาล์ม วงศ์ Palmae ขึ้นเป็นกอ ลำต้นมีหนามตามปล้อง ใบประกอบรูปขนนก ดอกสีขาวถึงเหลืองนวล ผลแก่สีม่วงคล้ำถึงดำ"
บง 1,น.,ชื่อปลาชนิดหนึ่ง.
บง 2,น.,หนอนชนิดหนึ่งไม่มีขน.
บง 3,น.,จิ้งจกชนิดหนึ่ง.
บง 4,น.,"สบง, ผ้านุ่งของภิกษุสามเณร."
บง 5,น.,ไม้เหลาชะโอน (ดู หลาโอน).
บง 6,ก.,"บ่ง, ใช้ของแหลม ๆ แทงที่เนื้อเพื่อเอาหนามที่ฝังอยู่ในเนื้อหรือหนองออก เช่น บงหนาม."
บง 7,ก.,ทำให้กว้างออก เช่น บงปอดให้กว้างเหลย – ทำให้ปี๊บกว้างออกอีก.
