คำ,POS,ความหมาย
ผก 0,ว.,เรียกการยิงสะบ้าถูกลูกเดียวว่า “ยงจด”
ผก 1,ก.,กิริยาที่ร้องเมื่อไพ่ป๊อก ๒ ตัว มีแต้มรวมกัน ๒๑ แต้ม.
ผก 2,ก.,กิริยาที่ร้องเมื่อยิงลูกสะบ้าถูกเพียงลูกเดียว.
ผก 3,ก.,"ผงก, ยกหัวขึ้นน้อย ๆ, ก้มหัวลงแล้วเงยขึ้นโดยเร็วแสดงอาการยอมรับหรือเห็นด้วย เช่น ผกหัว."
ผก 4,ว.,เสียงดังเช่นนั้น.
ผก 5,ว.,เรียกการยิงสะบ้า ที่ถูกลูกเดียว (ดู จด ว.๒.).
ผก 6,ลัก.,"ครั้ง, หน เช่น ๒ ผก."
ผง 0,น.,"สิ่งละเอียด, ละออง."
ผง 1,น.,ยาเสน่ห์.
ผง 2,ว.,"ป่น, แหลก."
ผง 3,สำ.,"เสียหายยับเยิน, ไม่เป็นระเบียบ เช่น นั่งให้ดีต้าเก้าเอ้จิผง - นั่งให้เรียบร้อยหน่อยเก้าอี้จะเสียหาย"
ผงผาย 0,สำ.,"เสียหายยับเยิน, ไม่เป็นระเบียบ เช่น นั่งให้ดีต้าเก้าเอ้จิผง - นั่งให้เรียบร้อยหน่อยเก้าอี้จะเสียหาย"
ผงผาย 1,สำ.,เสียหายยับเยิน (ดู ผง สำ.).
ผงผุย 0,สำ.,"เสียหายยับเยิน, ไม่เป็นระเบียบ เช่น นั่งให้ดีต้าเก้าเอ้จิผง - นั่งให้เรียบร้อยหน่อยเก้าอี้จะเสียหาย"
ผงผุย 1,สำ.,เสียหายยับเยิน (ดู ผง สำ.).
ผด 0,ก.,"ขดตัวกลม เช่น งู, กิ้งกือ, แมวนอนผด."
ผม 0,น.,"ผม, ขนที่ขึ้นอยู่บนศีรษะ."
ผมกรูด 0,น.,ผมหยิก
ผมกูด 0,น.,ผมหยิก
ผมคู้คี้ 0,น.,ผมหยิก
ผมเงาะ 0,น.,"เงาะ, ชื่อไม้ต้นขนาดกลาง ผลกินได้ เปลือกมีขนยาว สีเหลืองหรือสีแดง เป็นต้น"
ผมเงาะ 1,น.,เงาะ (ดู เงาะ น. ๒.).
ผมจ้อน 0,น.,ผมจอนที่ตัดจอนให้งอน.
ผมดอกท่อม 0,น.,ผมทรงดอกกระทุ่ม.
ผมเป็นลอน 0,น.,ผมหยักศก.
ผมผีช่อ 0,น.,ผมที่ผูกกันเป็นช่อตามธรรมชาติจนแก้สางไม่ออก ถือกันว่าเป็นสิ่งนำโชคให้เจ้าของ อาจมอบเป็นมรดกกันในตระกูลได้ แต่ถ้าปฏิบัติไม่ถูกผมนั้นจะคลี่ออกหมด
