คำ,POS,ความหมาย
ฝน 0,น.,"ฝน, น้ำที่ตกลงมาจากเมฆเป็นเม็ด ๆ, น้ำหยาดฟ้า."
ฝนแก้ว 0,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนแก้ว 1,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนขี้มอด 0,น.,ฝนที่โปรยเป็นละออง.
ฝนดอกเห็ด 0,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนดอกเห็ด 1,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนตก 0,น.,ฝนที่เกิดจากลมที่พัดมาจากทิศตะวันตก ได้แก่ ลมที่เรียกว่า พรัดยา (= พัทธยา) พรัดกลางและพรัดหลวง
ฝนน้ำแข็ง 0,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนน้ำแข็ง 1,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนพรัด 0,น.,ฝนที่เกิดจากลมที่พัดมาจากทิศตะวันตก ได้แก่ ลมที่เรียกว่า พรัดยา (= พัทธยา) พรัดกลางและพรัดหลวง
ฝนมาแนะ 0,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนมาแนะ 0,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนแล้ง 0,ก.,ฝนหยุดตก.
ฝนแล้ง 1,ก.,ฝนไม่ตก
ฝนหาแก้ว 0,น.,"ลูกเห็บ, เม็ดน้ำแข็งที่ตกลงมาจากอากาศ"
ฝนหาแก้ว 1,น.,ลูกเห็บ มีเพลงร้องของเด็กว่า “ ฝนหาแก้วตกแล้วพ้นไป ฝนหาใหญ่เทลง ๆ ”
ฝนหาใหญ่ 0,น.,ฝนตกหนักเป็นเวลานาน.
ฝนออก 0,น.,ฝนที่ตกมาจากทิศตะวันออกเฉียงเหนือ.
ฝนออก 1,ก.,"ฝน, ถูไปถูมา เช่น ฝนแหล็กให้เหลี้ยม - ฝนเหล็กให้แหลม."
ฝรั่ง 0,น.,"ฝรั่ง, ชนชาติผิวขาว"
ฝัก 0,น.,"ซอง, ปลอก เช่น เอาหมอนใสฝัก - เอาหมอนใส่ปลอก."
ฝัก 1,น.,"ฝัก, สิ่งที่หุ้มเมล็ดของพืชบางอย่าง เช่น ถั่ว โดยมากรูปยาว ๆ กลมบ้าง แบนบ้าง."
ฝัก 2,ลัก.,"เรียกสิ่งที่มีลักษณะเป็นฝัก เช่น ถัว ๓ ฝัก, ไข่ปลา ๓ ฝัก, คง ๓ ฝัก."
ฝักข้าว 0,น.,ฟักข้าว (ป.น.)
ฝักข้าว 1,น.,"ฟักข้าว, ชื่อไม้เถา ดอกสีนวล ผลมีหนาม สั้น ๆ กินได้และใช้ทำยาได้"
ฝักคร้า 0,น.,ปลาฝักดาบ (ดู ฝักพร้า).
