คำ,POS,ความหมาย
พก 0,น.,"ชายพก, ริมผ้านุ่งที่ดึงรวบขึ้นมาไขว้ไว้ที่บริเวณสะดือ มีลักษณะคล้ายถุงเล็ก ๆ."
พก 1,น.,เรือโป๊ะจ้าย.
พก 2,ก.,"เอาเก็บหรือซ่อนไว้ในพก หรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงเช่นนั้น, นำติดตัวไป เช่น พกเบี้ย - นำเงินติดตัวไป, พกข้าวห่อ - นำข้าวห่อไปด้วย."
พก 3,ก.,เหน็บ เช่น พกมีด - เหน็บมีด.
พง 0,น.,ชื่อหญ้าชนิดหนึ่ง เป็นเถายาว มีข้อและปล้องอย่างต้นข้าวใบยาวเรียว มีขน.
พง 1,น.,ปลากะพง
พง 2,น.,"ป่ารก, ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ หรือที่รก ๆ"
พง 3,ก.,พุ่ง เช่น หมาพงเข้าหาแด็ก - หมาพุ่งเข้าหาเด็ก.
พง 4,ก.,ดิ้นจะให้หลุดจากที่ล่าม.
พง 5,ก.,คำนวณ เช่น ลองพงเนื้อเท่แลถี - ลองคำนวณเนื้อที่ดูซิ.
พง 6,ก.,เอาใบจากมาซ้อนกันเพื่อมวนยาสูบ.
พ้ง 0,น.,"กระพุ้ง, ส่วนที่โป่งนูนออก หรือส่วนที่กว้างสุดของภาชนะ เช่น ไห โอ่ง ข้อง เป็นต้น"
พ้ง 1,น.,รูปแบบอย่างหนึ่งของการเล่นไพ่ผ่องไทย.
พ้ง 2,น.,เรียกผลไม้ที่ออกลูกคราวแรกมีขนาดใหญ่ว่า พ้ง
พ้ง 3,ก.,เรียกการวิดปลาในบึงหนแรกว่า “ วิดพ้ง ”.
พ้ง 4,ก.,ขออาศัย เช่น ขอพ้งไปกัน - ขอไปด้วย
พงพาน 0,น.,"โพงพาง, เครื่องมือดักสัตว์น้ำชนิดหนึ่ง เป็นถุงตาข่ายรูปยาวรี ใช้ผูกกับเสาใหญ่ ๒ ต้น ที่ปักขวางลำน้ำสำหรับจับปลากุ้งทุกขนาด."
พญากระรอก 0,น.,ชื่อสัตว์ชนิดหนึ่งคล้ายกระรอก แต่ตัวใหญ่กว่า (ดู พับแมว).
พญากระรอก 1,น.,ชื่อสัตว์ชนิดหนึ่ง คล้ายกระรอก แต่ตัวใหญ่กว่า ชอบเก็บตัว
พญาชิงเมือง 0,น.,"ต้นสาบเสือ, ชื่อไม้ล้มลุก เป็นวัชพืชชิ้นทั่วไป ใบมีกลิ่นเหม็น ใช้ทำยาได้"
พญาชิงเมือง 1,น.,ต้นสาบเสือ (ดู ขึ้ไก น. ๓.).
พญานาคราช 0,น.,ชื่อเฟิน วงศ์ Advalliaceae ใบประกอบสามชั้น.
พญารากดำ 0,น.,ชื่อไม้ล้มลุก วงศ์ Onagraceae ใบเดี่ยวเรียงสลับ ดอก ๕ กลีบ สีเหลืองสด ผลคล้ายกระบอง ปลายมน โคนเรียวแคบ
พด 0,น.,เปลือกมะพร้าว
พด 1,น.,"ขนด, โคนหางงู, งูที่ขดตัว."
พด 2,ก.,ขดตัว เช่น นอนพด
พด 3,ก.,ดัดให้ได้รูปทรง เช่น พดแบ็ด - ดัดเหล็กทำเบ็ด.
พดกริช 0,น.,ชื่อลายชนิดหนึ่ง เป็นเส้นยาวคดไปมาอย่างรูปกริช
พดกริช 1,น.,ชื่อลายชนิดหนึ่ง เป็นเส้น ๆ ยาวคดไปคดมาอย่างรูปกริช.
พน 0,น.,ชื่อหวายชนิดหนึ่ง เส้นโต.
พ้นเที่ยง 0,น.,ช่วงเวลาหลังเที่ยง
พนม 0,น.,โกศที่ทำด้วยไม้ใช้บรรจุกระดูกของผู้เสียชีวิต (น.ธ.).
พบ 0,ก.,"ประสบ, เจอะ, เจอ."
พบกันแหละ 0,สำ.,ได้เจอดีกันแหละ เช่น หมึงฉ้อกูได้พบกันแหละ – มึงโกงกู ได้เจอดีกันละ.
พบเมฺล่อ 0,สำ.,สมน้ำหน้า
พรก 0,น.,"กะลา, ส่วนแข็งที่หุ้มเนื้อมะพร้าว (เทียบ ม. porok)"
พรกขี้ยาง 0,น.,ภาชนะรับน้ำยางทำด้วยกะลา
พรกเคย 0,น.,ภาชนะสำหรับละลายกะปิในการปรุงอาหาร
พรกดำ 0,สำ.,"มีอายุมาก, แก่แล้ว."
พรกทัด 0,น.,"รางบรรทัด, ภาชนะใส่สีเพื่อชุบด้ายหรือเชือกสำหรับตีเส้น"
พรกทัด 1,ว.,ใช้เป็นสำนวนเปรียบเทียบว่า “ ดำเหมือนพรกทัด ”.
พรกผู้ 0,น.,กะลามะพร้าวด้านที่ไม่มีรู.
พรกแพร็ก 0,ว.,"อ่อนเพลีย, ไม่มีแรง."
พรกมือ 0,น.,อุ้งมือ
