คำ,POS,ความหมาย
ฟก 0,ว.,"บวม, ช้ำ, โน เช่น หัวฟก - หัวโน, โถกชกฟกทังตัว - ถูกต่อยช้ำบวมทั้งตัว."
ฟอก 0,ก.,ทำให้สะอาดหมดจด.
ฟ่อน 0,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่ (ดู ฟัด).
ฟ่อน 1,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่
ฟ้อแหนม 0,น.,"ช่างฟิต, ช่างแก้เครื่องยนต์ (อ., ภ.ก.)."
ฟัก 0,น.,"ฟัก, ชื่อไม้เถาชนิดหนึ่ง ผลใหญ่รูปกลมหรือรี เมื่อแก่ผิวแข็งมีคราบขาว กินได้ เมล็ดใช้ทำยา มีหลายพันธุ์ ต่างกันที่ลักษณะของผล."
ฟักข้าว 0,น.,ชื่อฟักชนิดหนึ่ง ในวงศ์ Cucurbitaceae ต้นเป็น เถา ผลมีหนามคล้ายขนุน แต่ขนาดเล็ก.
ฟักงาข้าง 0,น.,"ฟักเขียว, ชื่อไม้เถา ผลใหญ่ รูปกลม หรือรี เมื่อแก่ผลแข็งมีคราบขาว กินได้ เมล็ดใช้ทำยาได้ มีหลายพันธุ์"
ฟักงาช้าง 0,น.,ฟักเขียว.
ฟักงาช้าง 1,ก.,กกไข่ให้เป็นตัว.
ฟัง 0,ก.,"ฟัง, ตั้งใจสดับ, คอยรับเสียงด้วยหู, ได้ยิน."
ฟัง 1,ก.,"หยุด, ชะงัก เช่น กินยาเท่าใดก้าไม่ฟัง - กินยาเท่าใด (โรค, อาการไข้) ก็ไม่หาย."
ฟัง 2,ก.,เชื่อฟัง เช่น ว่าไม่นอนสอนก้าไม่ฟัง.
ฟังขาว 0,ก.,"ไปถามข่าว, ฟังเรื่องราว."
ฟังไม่โถก 0,ก.,"ฟังไม่เข้าใจ, ฟังไม่รู้เรื่อง"
ฟัด 0,*ก.,"เหวี่ยง, ฟาด, ขว้าง, สะบัดไปมา เช่น ฟัดข้าว."
ฟัด 1,*ก.,"เลิกร้าง, หย่า."
ฟัด 2,*ก.,ต่อสู้ เช่น หมาฟัดกัน
ฟัด 3,*ก.,ปลุกปลํ้า เช่น ฟัดหญิง - ปลุกปลํ้าผู้หญิง.
ฟัดกุบ 0,สำ.,แพ้พนันจนหมดตัว.
ฟัดราว 0,ก.,การแข่งขันขว้างราวไม้ ซึ่งมีเม็ดมะม่วงหิมพานต์ ลูกสวาด เป็นต้น วางอยู่ ใครขว้างได้มากกว่าเป็นผู้ชนะ
ฟัดราว 1,น.,การเล่นแข่งขันขว้างราวไม้ซึ่งมีเม็ดหินเมล็ดมะม่วงหิมพานต์ ลูกสวาด เป็นต้น วางอยู่ ใครขว้างได้มากกว่าเป็นผู้ชนะ
ฟัดราว 2,น.,การเล่นแข่งขันโดยขว้างสิ่งของที่วางไว้บนราวไม้.
ฟัดหมก 0,น.,การฟัดในการเล่นลูกข่าง.
ฟัดเหลี่ยม 0,น.,ชั้นเชิงหรือเล่นเชิง.
ฟัดเหลี่ยม 1,ลัก.,ลักษณนามของกล้าข้าวที่มัดรวมกันเป็นมัดเล็ก ก่อนที่จะมัดเป็นมัดใหญ่
ฟัน 0,น.,"ฟัน, กระดูกเป็นซี่ ๆ อยู่ในปากสำหรับกัดฉีก เคี้ยวอาหาร."
ฟัน 1,น.,การพนันที่มีการฟันหรือทาย.
ฟัน 2,ก.,"ฟัน, เอาของมีคม เช่น ดาบ ฟาดลงไป."
ฟั่น 0,ก.,"ฟั่น, คลึงสิ่งเป็นเส้นหลายเส้นให้เข้าเกลียวกัน."
ฟันเขี้ยว 0,น.,ฟันเขี้ยว เป็นฟันที่อยู่ระหว่างฟันหน้ากับกราม
ฟันเขี้ยว 1,น.,เขี้ยว
ฟันครกสี 0,น.,ซี่ฟันของครกสีสำหรับบดข้าวเปลือกให้แตก ซึ่งทำจาก ไม้เนื้อแข็ง ขนาดประมาณ ๕ X ๘ นิ้ว เวลาตอกฝังลงไปในรูของครกสีจะใส่ดินเหนียวผสมเกลือลงไปด้วย
ฟันควาย 0,ก.,การชกด้วยหมัดเหวี่ยงทางข้าง (สะวิง) เทียบกับคำกลาง ได้แก่คำว่า เหวี่ยงควาย.
ฟันตัด 0,น.,ฟันเขี้ยว เป็นฟันที่อยู่ระหว่างฟันหน้ากับกราม
ฟันตัด 1,น.,เขี้ยว
ฟันเตา 0,ก.,ฟันไม้ซุงให้เป็นเหลี่ยมเพื่อสะดวกในการเลื่อยแปรรูป
ฟันทอง 0,น.,ฟันเลี่ยมทอง.
ฟันทา 0,ก.,ฟันไม้อย่างหยาบ ๆ ก่อนถากให้เรียบ
ฟันทูน 0,น.,"ฟันยื่น, ฟันเขยิน"
ฟันพาไร่ 0,ก.,ฟันกิ่งไม้มาเก็บเป็นกอง.
ฟันพูน 0,น.,"ฟันยื่น, ฟันเขยิน"
ฟันมังคุด 0,น.,การเล่นทายเม็ดในมังคุดว่ามีจำนวนเท่าไร.
ฟันไม่กิน 0,ก.,ฟันไม่เข้า (เหนียวทางไสยศาสตร์).
ฟันเรียน 0,น.,การเล่นทายเม็ดในทุเรียนว่ามีจำนวนเท่าไร.
