คำ,POS,ความหมาย
ภักษา 0,ก.,กิน (ภ.ก.).
ภาพแมว 0,น.,ชื่อสัตว์ชนิดหนึ่ง คล้ายกระรอก แต่ตัวใหญ่กว่า (ดู พับแมว).
ภาพแมว 0,น.,ชื่อสัตว์ชนิดหนึ่ง คล้ายกระรอก แต่ตัวใหญ่กว่า ชอบเก็บตัว
ภาพยนตร์ 0,น.,"ภาพยนตร์, ภาพที่ฉายด้วยเครื่องทำให้เห็นภาพเคลื่อนไหวได้ (ดู หนัง น. ๓.)"
ภาพยนตร์ 1,น.,หุ่นซึ่งผูกขึ้นด้วยเวทมนตร์คาถา.
ภาพยนตร์ 2,น.,"ภาพยนตร์, ภาพฉายด้วยเครื่องทำให้เห็นเป็นภาพเคลื่อนไหวได้"
ภาษา 0,น.,"ภาษา, ถ้อยคำที่ใช้พูดหรือเขียนเพื่อสื่อความหมายของชนกลุ่มใดกลุ่มหนึ่ง, โดยปริยายหมายถึงคนที่พูดภาษานั้น."
ภาษา 1,ว.,ประสีประสา เช่น แด็กยังไม่โร้ภาษา - เด็กที่ยังไม่รู้ประสีประสา.
ภูเขาทอง 0,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
ภูมิ 0,น.,"แผ่นดิน, พื้น, ชั้น, พื้นเพ."
ภูมิ 1,น.,"วางท่าทาง, หยิ่ง เช่น ไอ้เถ้านี่ภูมิอี้ตาย - นายคนนี้หยิ่งมาก."
ภูมิเจ้าเท่ 0,น.,"พระภูมิ, เทวดารักษาสถานที่ต่าง ๆ."
ภูมิเจ้าเท่ 1,ว.,"สง่า, องอาจ, ผึ่งผาย"
ภูมิฐาน 0,ว.,"สง่า, องอาจ, ผึ่งผาย"
เภท 0,น.,ธรรมดา เช่น เภทหมันเป็นคนพ้นนั้น - ธรรมดามันเป็นคนเช่นนั้น.
เภท 1,น.,คุณไสย เช่น ป้าเราแกถูกเภท รักษาเท่าใดก็ไม่หาย - ป้าแกถูกคุณไสย รักษาเท่าไรก็ไม่หาย.
โภต 0,น.,ภูตผี
