คำ,POS,ความหมาย
มง 0,น.,"ไต้สำหรับจุดไฟให้มีควันรมผึ้งหรือไล่ยุง (ก.บ., พ.ง.)."
มง 1,น.,"ชื่อปลาทะเล มีหลายชนิด เช่น มงแก้มบาง, มงเลือด, มงก๋ง เป็นต้น (ภ.ก.)."
มง 2,ก.,ตั้งท้อง ส่วนมากใช้กับสัตว์ ถ้ากับคนก็เป็นการล้อเลียนหรือดูหมิ่น
ม่ง 0,ก.,ตาย
มงเค 0,น.,ต้นสำเหร่ หรือต้นโคลงเคลง ดอกสีชมพูหรือม่วงแดง
มงเคล 0,น.,ต้นสำเหร่ หรือต้นโคลงเคลง ดอกสีชมพูหรือม่วงแดง
มงยอย 0,ว.,"อ่อนแอ, ทรุดโทรม (ดู มอยยอย)."
มงยอย 1,ว.,"อ่อนแอ, ทรุดโทรม เช่น ปีนี้แลมอยยอยจ้าน - ปีนี้ดูทรุดโทรมมาก"
มด 0,น.,ชื่อปลาชนิดหนึ่ง.
มด 1,น.,"มด, ชื่อแมลงหลายชนิด ส่วนท้องปล้องที่ ๑ หรือปล้องที่ ๑ และปล้องที่ ๒ ซึ่งติดกับอกคอดกิ่ว ด้านหลังปล้องท้องดังกล่าวมีโหนกสูงขึ้น ซึ่งอาจจะโค้งมนหรือเป็นแผ่นแบน ลักษณะนี้ทำให้มดแตกต่างไปจากต่อ แตนและ ปลวก."
มด 2,น.,ขนมสอดไส้ชนิดหนึ่ง.
มดคันร้อน 0,น.,มดคันไฟ
มดคันริ้น 0,น.,"มดตัวเล็กกว่ามดคันไฟ ตัวสีแดง กัดเจ็บและคันเหมือนริ้นกัด (ภ.ก., พ.ง.)."
มดชิด 0,น.,ชื่อแมลงชนิดหนึ่ง มีหลายขนาด มีขามาก สีคล้ำ เวลาสัมผัสจะม้วนตัวกลมแบบตัวนิ่ม
มดชิด 1,น.,ชื่อแมลงชนิดหนึ่ง (ดู ชิด น. ๒.).
มดตรอด 0,น.,มดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังบนต้นไม้ นิยมเอามาเป็นเหยื่อล่อปลา.
มดเยี่ยวแมว 0,น.,มดที่เกาะกินขนมและของหวาน มีกลิ่นเหม็น.
มดลิ้นไก่ 0,น.,มดลิ้นตัวขนาดใหญ่ บางแห่งใช้เรียกปลวกตัวโตว่ามดลิ้นไก่ด้วย.
