คำ,POS,ความหมาย
ยก 0,น.,"ยก, กำหนดช่วงระยะเวลาหนึ่ง ๆ หรือจำนวนหนึ่ง."
ยก 1,ก.,"เอาขึ้นให้สูงจากที่เดิมทั้งโดยตรงและโดยปริยาย, เคลื่อนไป, พากันไป, งดเว้น, เพิกถอน."
ยกไก 0,สำ.,"ยอมแพ้, เลิก."
ยกขนทง 0,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกขนหยอก 0,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกข้อ 0,สำ.,"อวดเบ่ง, อวดเก่ง เช่น อ้ายนี่ยกข้อจ้าน - อ้ายนี่อวดเบ่งมาก."
ยกขึ้น 0,ก.,ลุกขึ้น
ยกเครื่อง 0,ก.,ประโคมดนตรีเพื่อเอาฤกษ์ก่อนออกเดินทางไปแสดงของหนังตะลุง มโนราห์ ฯลฯ.
ยกเครื่อง 1,ก.,ทำสาว.
ยกเครื่อง 2,ก.,เข้าโรงพยาบาลเพื่อตรวจรักษาร่างกาย.
ยกแคล่ 0,สำ.,"หย่าร้าง, เลิก"
ยกใจ 0,ว.,"ได้ใจ, เหลิง (ดู เอิด)."
ยกทง 0,สำ.,"คึก, สู้ ใช้กับอวัยวะเพศ."
ยกที่ 0,ก.,ยกสำรับอาหาร.
ยกพาย 0,สำ.,หย่าร้าง.
ยกยอ 0,ก.,การจับปลาอย่างหนึ่ง นำยอขึ้นจากน้ำด้วยการยก.
ยกย่าง 0,ก.,เดิน เช่น จำจิตจำใจยกย่างไปไหน หัวใจอย่าลืมหนังสือ จำ ๆ ๆ ๆ.
ยกย้าย 0,สำ.,ย้ายบ้าน.
ยกร้าน 0,สำ.,"หย่าร้าง, เลิก"
ยกเลิก 0,ก.,"เพิกถอน, ไม่ใช้ต่อไป."
ยกแล่ 0,สำ.,"หย่าร้าง, เลิก"
ยกหนำ 0,สำ.,"หย่าร้าง, เลิก"
ยกหยอก 0,ก.,อาการของไก่ที่ยกขนบนหัว แสดงอาการยอมแพ้.
ยกหอพาย 0,สำ.,"หนีตามชายชู้, ย้ายไปอยู่ที่อื่น."
ยกหอพาย 1,สำ.,ปลูกสร้าง เช่น ยกเริน - ปลูกบ้าน
ยกหอพาย 2,สำ.,"เริ่มต้น เช่น ยกข้อ - ยกเอานิยายขึ้นมาแสดง, เริ่มหัวข้อใหม่."
ยกหอพาย 3,สำ.,เก็บ เช่น ยกไว้กัน - เก็บไว้ด้วย.
ยกหอพาย 4,สำ.,มอบ เช่น ยกโลกสาวให้ผัว - ยินยอมมอบลูกสาวให้แก่ผู้มา สู่ขอ.
ยกหอพาย 5,ลัก.,ลักษณนามของระยะเวลาในการแข่งขันกีฬาบางชนิด เช่น มวยชก ๕ ยก.
ยกหฺมฺรับ 0,ก.,ยก สำรับ
ยกหฺมฺรับ 1,ก.,ยกสำรับไปถวายพระในวันสารท.
ยกหฺวัก 0,ก.,"แผ่แม่เบี้ย, แผ่พังพาน"
ยกหฺวัก 1,สำ.,แสดงท่าทีฮึดฮัดจะสู้.
ยง 0,น.,ชื่อไม้ล้มลุกจำพวกหญ้าคล้ายเลา.
ยง 1,ก.,การคนข้าวในหม้อด้วยไม้พายให้ข้าวสุกระอุ
ยง 2,ว.,"ดื้อ, ไม่ยอมเชื่อฟังหรือทำตาม, กล้า เช่น ไกนี้ยงจ้าน ยิกแล้วกัายังมา - ไก่นี้ดื้อจริงไล่ไปแล้วก็ยังมาอีก."
ยงโย่ 0,ก.,กิริยาที่นั่งยอง ๆ หรือยืนขยับตัวขึ้น ๆ ลง ๆ ก้ม ๆ เงย ๆ ไม่เป็นระเบียบ.
ยด 0,ก.,"ขี้อ้อน, กระเง้ากระงอด เช่น แด็กนี้ยดจัง - เด็กนี้ขี้อ้อนจริง."
ยน 0,น.,"ตะบันหมาก, เครื่องตำหมากของคนแก่ มีรูปคล้ายกระบอก โดยมากทำด้วยทองเหลือง มีลูกตะบันสำหรับตำ และมีดากอุดก้น."
ยน 1,น.,ดินพรุ หรือโคลนที่ส่วนข้างบนเป็นดินแข็ง ส่วนข้างล่างเป็นดินเหลว
ยน 2,ก.,"ตะบัน, ทิ่มหรือแทงกดลงไป, กระทุ้ง, ตำ"
ยน 3,ก.,"แยง, แหย่รู เช่น เอาไม้ยนรู - เอาไม้แหย่ลงไปในรู, ยนบึ้ง – แยงรูบึ้ง"
ย่น 0,ก.,"ร่นให้สั้นหรือให้เร็วเข้า, หดร่นเข้าไป."
ย่น 1,สำ.,ขัดสน.
ย่มบน 0,น.,"โรคห่า, โรคระบาดอย่างร้ายแรง เช่น อหิวาตกโรค, กาฬโรค เป็นต้น."
ยวกยวก 0,ว.,"ยั้วเยี้ย, คลาคล่ำ"
ยวกยวก 1,ว.,อ่อนนุ่ม เช่น ไกนี้เนื้อนวนยวก ๆ.
ยวง 0,น.,"พวง, ช่อ."
ยวงหนุน 0,น.,"ซ้องแมว, ชื่อไม้พุ่มชนิดหนึ่ง ดอกสีเหลือง ออกเป็นช่อห้อย มีใบประดับสีขาวอมเขียวตลอดช่อ ราก ใบ และผลใช้ทำยา ผลเชื่อมกินได้"
ยวน 0,น.,ผึ้งชนิดหนึ่ง.
ยวน 1,น.,ที่จับเกาะของนกหรือที่อยู่ประจำของนกหรือผึ้ง
ยวน 2,น.,เปลชนิดหนึ่ง ตัวเปลเป็นรูปลี่เหลี่ยมยกขอบ ถักด้วยหวายหรือเชือก พื้นเป็นไม้กระดานสำหรับรองเบาะ ใช้เชือกผูกโยงไว้ที่สู่ง ไกวได้ไกล.
ยวน 3,ก.,"ชวนทะเลาะ, ก่อเรื่อง, ก่อกวนให้เกิดกิเลส หรือโทสะ."
ยวบยาบ 0,ว.,"สั่น, คลอน, ไหว, โยก, จะพัง, ยวบ, อ่อนเนิบนาบ เช่น บ้านนี้หญวบ ๆ แล้ว - บ้านนี้จะพังแล้ว"
ยวบยาบ 1,ว.,"สั่น, คลอน, โยก, อ่อนเนิบนาบ (ดู หญวบ)."
ยอ 0,น.,"ยอ, เครื่องจับปลาชนิดหนึ่ง เป็นร่างแหสี่เหลี่ยม มีคันสำหรับยก"
ยอ 1,ว.,เสียงร้องเช่นนั้น ใช้สั่งให้ควายหยุด
ยอ 2,น.,ยอ (ดู ชุบยอ).
ยอก 0,ก.,"เขย่า, กระแทก เช่น ยอกขวด, คลื่นยอกฝั่ง."
ยอก 1,ก.,ขัดยอก เช่น ลมยอกอก.
ยอก 2,ก.,โคลงให้น้ำไหลออกจากเรือ.
ยอก 3,ก.,"โขลก, ตำให้เข้ากันหรือให้เหนียว หรือให้แหลก เช่น ยอกเครื่องแกง -โขลกน้ำพริกแกง."
ย็อกแย็ก 0,ว.,ไม่คล่องตัว เช่น เดินย็อกแย็ก.
ยอง 0,ว.,"ผุดผ่องเป็นน้ำเป็นนวล, เป็นยองใย เช่น ขาวยอง."
ย่อง 0,ก.,"ย่อง, เดินอย่างใช้ปลายเท้าจดลงเบา ๆ."
ย่อง 1,ก.,ขโมย เช่น โจรย่องไกแตคืน ๒ ตัว - โจรขโมยไก่ ๒ ตัว เมื่อคืน.
ย่อง 2,ก.,กิริยาเศร้าซึม ไม่ร่าเริง (ภ.ก.).
ย็อง 0,ก.,แหย่รูแล้วกระแทกเข้าออกถี่ ๆ.
ย็อง 1,ก.,เขย่า เช่น ย็องขวด - เขย่าน้ำในขวด.
ย่องแย่ง 0,น.,ไม้ที่วางไขว้กัน เพื่อรองรับไม้ที่จะนำมาแปรรูป.
ย่องแย่ง 1,น.,"ภาชนะสำหรับหาบหญ้าที่ตัดให้วัวกิน, ภาชนะสำหรับวาง หรือหาบต้นกล้าข้าว เพื่อนำไปปักดำ."
ย่องแย่ง 2,น.,ลอบดักปู.
ย่องแย่ง 3,น.,"อุปกรณ์ที่ใช้กับ “ เรือเซียด "" เป็นไม้คานที่ให้ผู้เซียดนั่งคุกเข่าลงในขณะทำการเซียด โดยใช้เท้าอีกข้างหนึ่งถีบโคลนเลนให้เรือเซียดเคลื่อนที่ไปข้างหน้า."
