คำ,POS,ความหมาย
รก 0,น.,"รก, อวัยวะสำหรับหล่อเลี้ยงห่อหุ้มเด็กในครรภ์ แนบอยู่กับมดลูก มีสายล่ามมาที่สะดือเด็ก."
รก 1,น.,สิ่งที่เป็นเส้นคล้ายรากไม้ที่ห้อยอยู่ตามกิ่งไม้บางอย่าง หรือบางทีเป็นแผ่นห่อกาบไม้ เช่น รกพร้าว.
รก 2,ว.,"รกรุงรัง, ที่กระจัดกระจายอยู่เกลื่อนกลาดไม่เป็นระเบียบเรียบร้อย."
รก 3,ว.,หาเรื่อง เช่น หาที่รก - ไปหาเรื่องกับคนอื่น.
รกช้าง 0,น.,"กะทกรก, ชื่อไม้พุ่มรอเลื้อย ตามลำต้นมีหนามห่างๆ ใบรูปไข่หรือรี ๆ ดอกเล็กสีขาว อยู่เป็นกระจุกที่ง่ามใบ ผลกลมหรือรีขนาดเท่าเม็ดบัว เขื่อง ๆ เป็นสมุนไพร"
รกแร็ก 0,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
รกแร็ก 1,ว.,"กะปริดกะปรอย, อาการที่ฝนตกน้อย ๆ, ตก ๆ หยุด ๆ (ดู สกแส็ก)"
รกอกรกใจ 0,ว.,"กวนใจ, ไม่สบายใจ."
รง 0,ว.,เสื่อม ใช้กับเครื่องรางของขลัง เช่น เครื่องรางรง – เครื่องรางเสื่อมอิทธิฤทธิ์.
รด 0,ก.,เท ราด สาด ฉีด หรือโปรยน้ำหรือของเหลวไปยังสิ่งใดสิ่งหนึ่งเพื่อให้เปียกหรือให้เปียกชุ่ม.
รดท่อน 0,ก.,ล้างตัวเพียงท่อนบน.
รดอก 0,ว.,"ยุ่งใจ, รำคาญใจ."
รถ 0,ก.,"ยานที่มีล้อสำหรับเคลื่อนไป, ยานพาหนะซึ่งเดินด้วยกำลังเครื่องยนต์ กำลังไฟฟ้า หรือพลังงานอื่น."
รถกุดัง 0,น.,รถบรรทุก (ภ.ก.)
รถกุดัง 1,น.,รถบรรทุกขนาดใหญ่ชนิดหนึ่ง.
รถเกราะ 0,น.,รถถัง
รถขุด 0,น.,รถแบ็คโฮลด์
รถเครื่อง 0,น.,รถจักรยานยนต์.
รถงาน 0,น.,รถบรรทุก (ภ.ก.)
รถจอหนัง 0,น.,รถบรรทุกชักลากไม้ มีกรอบลี่เหลี่ยมคล้ายจอหนังอยู่ด้านหลัง (ก.บ.)
รถจอหนัง 1,น.,รถฉายหนังเร่.
รถจิ๊ปยักษ์ 0,น.,รถบรรทุกขนาดใหญ่ ที่รูปทรงส่วนหน้าของรถคล้ายรถจิ๊ปขนาดเล็ก ปัจจุบันรถประเภทนี้ไม่มีให้เห็นแล้ว (ภ.ก.).
รถดุน 0,น.,รถแทรกเตอร์ที่มีใบมีดหน้า สำหรับเกลี่ยดิน
รถตักดิน 0,น.,รถแบ็คโฮลด์
รถถีบ 0,น.,รถจักรยาน
รถทอดิน 0,น.,รถแทรกเตอร์ที่มีใบมีดหน้า สำหรับเกลี่ยดิน
รถเท 0,น.,รถบรรทุกชนิดหนึ่ง ที่ยกตัวถังเทของที่บรรทุกได้.
รถป๊าเก๊ 0,น.,"รถนั่งส่วนบุคคล, รถเก๋ง (ภ.ก., พ.ง.)."
รถโป้ต้อง 0,น.,รถรับจ้างสองแถว.
รถโพ้ถ้อง 0,น.,รถรับจ้างสองแถว.
รถมาสด้า 0,น.,รถสองแถว.
รถแม็คโค 0,น.,รถแบ็คโฮลด์
รถรุน 0,น.,รถเข็น.
รถล้อรี่ 0,น.,รถบรรทุก (ภ.ก.)
รถล้อลี่ 0,น.,"รถบรรทุก (ขนาดใหญ่ ๖ ล้อขึ้นไปไม่รวมรถปิกอัพ) (ภ.ก., พ.ง.)"
รถวิน 0,น.,รถบรรทุกชักลากไม้ มีกรอบลี่เหลี่ยมคล้ายจอหนังอยู่ด้านหลัง (ก.บ.)
รน 0,ก.,อาการร้องขู่ในสำคอ ใช้กับสัตว์ เช่น เสือมฺรน - เสือคำราม
รน 1,น.,เรือน (ดู เริน).
รน 2,ก.,"รีบร้อน, ร้อนรน, นิ่งอยู่ไม่ได้, เร่าร้อน."
รน 3,น.,"บ้านเรือน, โรงเรือน เช่น บนเริน - บนบ้าน, ชั้นบน"
รบ 0,ก.,"สู้รบ, สู้กัน, ต่อสู้ในทางศึก."
รบ 1,ก.,ทะเลาะ เช่น แด็กรบกันเล่า - เด็กทะเลาะกันอีก.
ร่ม 0,น.,"ร่ม, สิ่งที่ใช้สำหรับกางกันแดด กันฝน มีด้ามสำหรับถือ."
ร่มค้างคาว 0,น.,ร่มผ้าสีดำคันใหญ่ ๆ เป็นร่มที่ผู้มีอันจะกินใช้ในสมัยก่อน (ภ.ก.)
ร่มดาษ 0,น.,ร่มที่ทำจากกระดาษ คนทั่วไปจะใช้ร่มชนิดนี้ เพราะราคาถูก (ภ.ก.).
ร่มดาษ 1,น.,"ร่มเงา, บริเวณที่แดดส่องไม่ถึง."
ร่มดาษ 2,ก.,"ไม่ทำตามระเบียบกติกา หรือสัญญาที่ตกลงไว้ เช่น ร่มโรงเรียน - หนีโรงเรียน, ร่มเบี้ย - ยืมเงินแล้วไม่ใช้คืน."
ร่มไฟ 0,น.,เมรุที่สร้างเป็นเสาสี่เสามีผ้าหรือกระดาษสีขาวทำเป็นเพดาน (ดู สามส้าง).
ร่มไฟ 0,น.,เมรุที่สร้างเป็นเสาสี่เสา มีผ้า หรือกระดาษสีขาวทำเป็นเพดาน
รวก 0,น.,เรียกลูกอ๊อดหรือลูกของสัตว์ครึ่งบกครึ่งน้ำ ในช่วงที่เป็นตัวอ่อนยังมีหางอยู่ว่า “ ลูกรวก ”
รวก 1,น.,ชื่อไม้ไผ่ชนิดหนึ่ง ขึ้นเป็นกอ ลำเล็กเรียวยาว ไม่มีหนามเรียก “ ไผ่รวก ”.
รวง 0,น.,ช่อ (ใช้กับข้าว).
รวง 1,ลัก.,ช่อ เช่น ข้าว ๓ รวง - ข้าว ๓ ช่อ.
รวง 2,ลัก.,ฝัก เช่น คง ๓ รวง - ข้าวโพด ๓ ฝัก.
ร่วง 0,ก.,"ร่วงหล่น, ตก เช่น ใบไม้ร่วง, ปีนี้แด็กสอบร่วงกันเป็นแถว – ปีนี้เด็กสอบตกกันเป็นแถว."
รวด 0,น.,หนองที่เป็นก้อนแข็งอยู่ในเนื้อ เกิดกับแผลอักเสบเรื้อรัง
รวน 0,ก.,"โยกคลอน, ไม่แน่น เช่น ฟันรวนหมดแล้ว."
รวน 1,ก.,เอาเนื้อสดหรือปลาสดหั่นเป็นชิ้น แล้วคั่วให้พอสุกเพื่อเก็บเอาไว้แกง เป็นต้น เช่น รวนหมู - เอาเนื้อหมู มาผัดน้ำมันพอสุกเพื่อเก็บเอาไว้ทำกับข้าวมื้อต่อไป.
รวน 2,ก.,"รบกวน, หาเรื่องทะเลาะ, แสดงกิริยา หรือวาจาชวนวิวาท เช่น มึงอย่าไปรวนเขาเลย."
รวน 3,ก.,ขยับไปมาเพื่อให้เข้าที่ โดยปริยายหมายถึงหารือ เพื่อหาข้อตกลง เช่น ไหนมารวนกันแลถี - ลองมาหาข้อตกลงกันดีกว่า.
ร่วม 0,ก.,มีส่วนร่วมอยู่ด้วยกัน.
ร่วมลงโรง 0,สำ.,ตกลงใจร่วมด้วย.
รส 0,น.,กลิ่น เช่น ซากนี้ส่งรสแล้ว - ศพนี้ส่งกลิ่นแล้ว.
รส 1,น.,"รส, สิ่งที่รู้ได้ด้วยลิ้น."
รอ 0,น.,"เขื่อนหรือคันดินกั้นน้ำ, หลักปักกันกระแสน้ำ."
รอ 1,ก.,รองรับด้วยมือ เช่น อย่าเอามือไปรอน้ำ.
รอก 0,น.,"กระรอก, สัตว์เลี้ยงลูกด้วยนม มีฟันแทะ ส่วนใหญ่ตาโต และหูใหญ่ หางยาวเป็นพวง กินผลไม้."
รอก 1,น.,กระดึงแขวนคอวัว หรือควาย (ส.ข.).
