คำ,POS,ความหมาย
ลกกุย 0,น.,ชื่อไม้ผลชนิดหนึ่ง (ดู ปุย น. ๓.).
ลกกุย 0,น.,ชื่อไม้ ผลชนิดหนึ่ง ผลคล้ายสะท้อน แต่เล็กกว่า เมล็ดของผลซึ่งกินได้คล้ายมะไฟ รสหวาน
ลกเก้ง 0,น.,มะเขือพวง (ดู ลูกแว้ง).
ลกเก้ง 0,น.,"มะเขือพวง, ชื่อไม้พุ่มชนิดหนึ่ง ผลเล็ก เป็นพวง กินได้"
ลกเขา 0,น.,ชื่อไม้ต้นชนิดหนึ่งในจำพวกหูกวาง (ก.บ.).
ลกลก 0,ว.,อาการที่รีบทำอย่างลุกลน
ลกลัก 0,ว.,อาการที่รีบทำอย่างลุกลน
ลกลัก 1,ว.,อาการที่รีบทำอย่างลุกลน (ดู ลกลก).
ลง 0,ก.,"ตก, ไปสู่เบื้องต่ำ, ไปสู่พื้นดินและพื้นอื่นๆ."
ลง 1,ก.,ปรากฏ มีขึ้น.
ลง 2,ก.,ขึ้นอืด เช่น ศพลงแล้ว – ศพขึ้นอืดแล้ว.
ลง 3,ก.,ยินยอม เช่น ลงคน - ยินยอมตาม.
ลง 4,ก.,คุ้นเคย เช่น ลงที่ - คุ้นเคยกับสถานที่.
ลง 5,ก.,ใช้เป็นคำสั่งวัวควายให้เลี้ยวเวลาไถนา.
ลง 6,ก.,"หยุด เช่น ลงเครื่อง - หยุดบรรเลงดนตรี, ลงทับ - หยุดตีทับ."
ลง 7,ก.,จับ เช่น คร็อมลง - เพลี้ยจับ (ต้นไม้).
ลง 8,ก.,"วาง, ปัก เช่น ลงหลอม - นำตาข่ายประเภทอวนไปวางดักปลา."
ลงการ 0,ก.,เริ่มทำงาน
ลงขันแพ็ด 0,น.,พิธีทางไสยศาสตร์ โดยใช้ไม้หวายเสกคาถาเพื่อตรวจหาสิ่งของที่สูญหาย
ลงแข้ง 0,น.,โรคเท้าช้าง.
ลงแข้ง 1,ก.,"หย่อนลง, ถอยลง, ต่ำลง, ทรุด."
ลงแข้ง 2,ว.,อาการของไก่ชนที่เดินขาแข็ง.
ลงคลอง 0,ก.,ระดมคนช่วยจับปลาในคลอง.
ลงคลอง 1,สำ.,ทำผิดพลาดมาก.
ลงได 0,สำ.,ออกจากบ้าน.
ลงตีน 0,ก.,เท้าบวม
ลงตีน 1,สำ.,"ชีพจรลงเท้า, ต้องเร่ร่อนไป."
ลงเที่ยง 0,น.,ช่วงเวลาที่ชาวนาเริ่มทำงานหลังจากหยุดพักรับประทานอาหารเที่ยง ประมาณ ๑๓.๐๐ นาฬิกา.
ลงไทรห้อย 0,ก.,การแสดงของมโนราห์ที่ไต่เชือกที่ห้อยไว้แล้ว ใช้เท้าเหนี่ยวเชือกเอาไว้ ห้อยหัวลงมาโดยที่มือยังแสดงท่ารำตามจังหวะ (ภ.ก.).
ลงไทรห้อย 1,ก.,"ท่ารำของมโนราห์ หงายหลังให้หัวจดพื้น, รำตัวอ่อนให้ศีรษะจดพื้นด้านหลัง."
ลงน้ำแป้ง 0,ก.,เป็นระดูขาว.
ลงโบสถ์ 0,น.,ช่วงเวลาที่พระสงฆ์ทำสังฆกรรมประจำวัน ประมาณ ๐๗.๐๐ นาฬิกา และ ๑๙.๐๐ นาฬิกา.
ลงโบสถ์ 1,ก.,ทำพิธีสังฆกรรม.
ลงโบสถ์ 2,สำ.,เข้าเป็นพวกเดียวกัน.
ลงปง 0,น.,"ชื่อบทเพลงในพิธีลอยเรือชาวเล (ก.บ., ส.ต.)."
ลงแป้ง 0,ก.,เอาผ้าชุบลงในน้ำผสมแป้งมันที่กวนสุกแล้ว เพื่อให้ผ้าแข็งอยู่ตัว
ลงฝัก 0,ก.,เป็นไส้เลื่อน
ลงฝัก 1,ก.,ออกผลใช้กับผลไม้.
ลงพระ 0,น.,เข้าทรง เช่น “ เชิญลงเถิด พ่อลง อย่าให้คนทรงเขานั่งถ้า ” - เชิญมาเข้าทรงเถิดอย่าให้คนทรงนั่งคอย (บทเชื้อครูโนรา)
ลงพุง 0,ว.,มีพุงพลุ้ยหรือยื่นออกมา.
ลงมือ 0,ก.,ลงอาคมที่มือ.
ลงโมฺระ 0,ก.,กั้นโมระ ๒ ข้าง แล้วจับ.
