คำ,POS,ความหมาย
วก 0,ก.,"หักเลี้ยวกลับ, วน."
วก 1,น.,ชื่อตัวตลกหนังตะลุง.
วกวก 0,ว.,"สกปรก, น่าสะอิดสะเอียน เช่น บ้านนี้แลสาวกวก - บ้านนี้ดูแล้วน่าสะอิดสะเอียน."
วกวัน 0,ว.,อาการที่รีบทำอย่างลุกลน
วกแว็ก 0,ว.,"คดเคี้ยว, คดไปคดมา"
วกแวะ 0,ว.,"คดเคี้ยว, คดไปคดมา (ดู คดแค็ด)."
วง 0,น.,รูปที่มีเส้นนอกที่โค้งเข้ามาบรรจบกัน ล้อมรอบเป็นขอบเขตสิ่งใดสิ่งหนึ่ง.
วง 1,ก.,ทำเครื่องหมายเป็นรูปวงกลม.
วง 2,ว.,โก่ง เช่น แข้งวง - ขาโก่ง.
ว่ง 0,น.,ด้านยาว ใช้ในการวัดที่ดิน (ช.พ.).
วงชัย 0,ก.,การวิ่งเข้าอยู่ในวงกลมที่กำหนดไว้ในการเล่นเกมพื้นเมืองของเด็ก.
วงเดือน 0,น.,ว่าวชนิดหนึ่ง ที่หัวมีลักษณะคล้ายเขาควาย
วงเดือน 1,น.,ชื่อเลื่อยชนิดหนึ่ง ลักษณะเป็นแผ่นกลมมีฟันอยู่โดยรอบ.
วงเดือน 2,น.,ขี้กลากที่มีลักษณะเป็นวงกลม.
ว้งแว้ง 0,ว.,"รางราง, เห็นไม่ชัดเจน เช่น ตาฉานว้งแว้งจ้าน - ตาของฉันมองอะไรเห็นไม่ชัด"
วงโหนด 0,น.,ชื่อข้าวพันธุ์พื้นเมือง (ก.บ.).
วดวด 0,ก.,"รีบเร่ง, อยู่ไม่นิ่ง."
วดวด 1,ว.,"อ่อน, อ่อนปวกเปียก, ยืด เช่น น้ำลายวดวด - น้ำลายยืดเปียก, ปลานี้, ไม่สดตัวนวนวดวด - ปลานี้ไม่สดตัวนิ่มแล้ว"
วดวด 2,ว.,"มาก, ซก เช่น น้องตากฝนตัวเปียกวดวด - น้องตากฝนตัวเปียกซก."
วดเว็ด 0,ก.,แกว่งไปแกว่งมา.
วน 0,ก.,"เวียนไปเวียนมา, วนเวียนไปโดยรอบ."
วน 1,ก.,ร่าน เช่น โลกสาวบ้านตีนวนจ้าน - ลูกสาวบ้านเหนือร่านเหลือเกิน.
วน 2,ก.,"สาละวน, ยุ่งอยู่กับงาน."
วน 3,ก.,"กังวล, มีใจพะวงอยู่."
วร 0,น.,"จีวร, ผ้าห่มคลุมกายของภิกษุสามเณรในพุทธศาสนา."
วอ 0,น.,"วอ, ยานที่มีลักษณะเป็นรูปเรือนหลังคาทรงจั่ว สำหรับเจ้านายหรือข้าราชการฝ่ายในนั่ง มีคานรับอยู่ข้างใต้คู่หนึ่ง ใช้คนหาม, เรียกรถยนต์ที่มีวอสำหรับเชิญศพตั้งอยู่บนรถกระบะ."
วอ 1,ว.,ทันที่ทันใด เช่น ยกข้าวเทวอเดียว - ยกข้าวเทตูมเดียว
วอก 0,น.,ลิง.
วอก 1,น.,ชื่อปีที่ ๙ ของรอบปีนักษัตร มีลิงเป็นเครื่องหมาย.
วอกแวก 0,ก.,"กระเพื่อม, เคลื่อนไหว เช่น น้ำวอกแวก - น้ำกระเพื่อม."
วอกแวก 1,ก.,ลังเลใจ.
วอกแวก 2,ว.,ลับ ๆ ล่อ ๆ.
