คำ,POS,ความหมาย
สก 0,น.,"อุบาสก, อุบาสิกา, ฆราวาส."
สก 1,ว.,เปียกโชก
สก 2,ว.,"สะเด็ด, แห้งน้ำ เช่น สกน้ำ - สะเด็ดน้ำ."
สกครุ 0,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกโครก 0,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกมก 0,ว.,สกปรก เช่น แด็กคนนี้อยู่สกมกจัง - เด็กคนนี้สกปรกมาก
สกแส็ก 0,ว.,"ไม่เป็นชิ้นเป็นอัน, ไม่อยู่นิ่ง, ชักช้า, กะปริดกะปรอย เช่น ฝนตกสกแส็ก - ฝนตกกะปริดกะปรอย"
สกแส็ก 1,ว.,"อัตคัด, ขาดแคลน."
สกแส็ก 2,ว.,"รบกวนโดยไม่จำเป็น, วางตัวไม่เหมาะสม."
สกแส็ก 3,ว.,"กุกกัก, เสียงเบา ๆ ที่เกิดจากการเคลื่อนไหวเล็กน้อย"
สกแส็กซกแซ็ก 0,ว.,"กุกกัก, เสียงเบา ๆ ที่เกิดจากการเคลื่อนไหวเล็กน้อย"
สกุ๋น 0,น.,มดลูก (ดู กุน น. ๑.).
สกุ๋น 0,น.,"มดลูก, อวัยวะภายในอันเป็นที่ตั้งครรภ์"
สง 0,น.,"พระสงฆ์, ภิกษุในพระพุทธศาสนา."
สง 1,ก.,"ส่ง, ทำให้สิ่งใดสิ่งหนึ่งเคลื่อนพ้นจากที่หนึ่งไปยังอีกที่หนึ่ง เพื่อให้ถึงผู้รับหรือเป้าหมายด้วยอาการต่าง ๆ กัน เช่น สงข้าม - ส่งข้าม, สงผาน - ส่งผ่าน, สงตอ - ส่งต่อ."
สง 2,ก.,เอาของขึ้นจากน้ำเพื่อให้น้ำสะเด็ด เช่น สงข้าว.
สง 3,ก.,"สุก, แก่จัด (สำหรับหมาก)."
สง 4,ก.,อาบน้ำ (ใช้แก่บรรพชิตและเจ้านาย).
สงครีพ 0,น.,"สุครีพ, ชื่อตัวละครในรามเกียรติ์ (ภ.ก.)."
สงครู 0,ก.,การร้องบทมโนราห์โรงครูเพื่อส่งครูมโนราห์ที่มาชุมนุมกันกลับไปสู่ที่เดิมของครูนั้น ๆ.
สงพระ 0,น.,พิธีส่งเจ้าซึ่งจะทำในคืนสุดท้าย (ขึ้น ๙ ค่ำ เดือน ๙ ) ของการกินผักหรือกินเจ.
สงเม่น 0,น.,รูที่เม่นอาศัยอยู่
สงเม่น 1,น.,รูที่เม่นอาศัยอยู่ (ดู ฉ็องแม่น).
ส่งรส 0,ว.,เริ่มมีรส
สงสการ 0,ก.,"ปลงศพ, ทำศพ, ฌาปนกิจ."
สง่า 0,ว.,"มาก ใช้ได้ทั้งในเรื่องดีและไม่ดี เช่น ดีสง่า - ดีมาก, เบฺร่อสง่า - โง่มาก (ส.ต.)."
สดาย 0,ก.,"เสียดาย, รู้สึกเสียใจในสิ่งที่ควรได้แต่ไม่ได้หรือในสิ่งที่ควรทำแต่ไม่ทำ, อาลัยถึงสิ่งที่จากไป."
ส้น 0,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง"
ส้นตีน 0,น.,"ส้น, ส่วนท้ายของเท้า, ส่วนท้ายของบางสิ่งบางอย่าง"
ส้นไม่ถึงดิน 0,สำ.,"ลำพอง, เย่อหยิ่ง, จองหอง."
ส้นเริก 0,สำ.,หวาดระแวง
สบ 0,น.,ภาชนะสานด้วยหวายเป็นรูปกลม ใช้ใส่มะพร้าว เข้าหนีบในกรามช้าง
สบ 1,น.,ตรงรอยต่อ เช่น หัวสบ - หัวต่อ.
สบ 2,น.,"ศพ, ซากผี, ร่างคนที่ตายแล้ว."
สบ 3,น.,ภาชนะสานด้วยหวาย เป็นรูปทรงกลม ใช้ใส่มะพร้าวเข้าหนีบในกรามช้าง (ดู กันพร้าว).
สบ 4,ก.,"ยุบ, ทุเลา, สงบ เช่น คลื่นสบแล้ว - คลื่นสงบแล้ว."
สบแจ้ง 0,น.,ช่วงเวลาใกล้สว่าง
