คำ,POS,ความหมาย
หก 0,น.,จำนวนห้าบวกหนึ่ง.
หก 1,ก.,"โกหก, จงใจกล่าวคำที่ไม่จริง."
หก 2,ก.,"หก, อาการที่ส่วนเบื้องสูงของร่างกาย ของภาชนะ หรือของสิ่งใดสิ่งหนึ่งเอียงลง เทลงจากระดับเดิมในทันใด."
หก 3,ก.,"สัปหงก, อาการที่หน้าหงุบลงเพราะง่วงนอน."
หกก้อน 0,ว.,ไม่เต็มเต็ง
หกค่ำ 0,ก.,พูดโกหกทั้งวัน
หกนก 0,ก.,"หลับนก, นั่งหลับ."
หกใส 0,ก.,"ใส่ความ, กล่าวหา, กล่าวโทษ, กล่าวร้าย."
หกโหฺยะ 0,ก.,พูดโกหกทั้งวัน
หง 0,น.,"ต้นละหุ่ง, ชื่อไม้ทุ่ม เมล็ดเป็นพิษ น้ำมันที่ได้จากการหีบโดยไม่ใช้ความร้อน ทำยาได้ มีหลายชนิด เช่น หงแดง - ละหุ่งแดง"
หง 1,น.,"หงส์, นกในนิยายถือว่าเป็นนกในตระกูลสูง มีเสียงไพเราะ เป็นพาหนะของพระพรหม, ชื่อนกจำพวกเป็ด คอยาว ลำตัวใหญ่."
หง 2,ว.,"ระหง, สูงโปร่ง"
ห้ง 0,ว.,เงื่องหงอย เช่น ไก่ห้ง - ไก่เป็นโรค
หงก 0,ก.,"งอน เช่น ทำหงก - ทำงอน (ภ.ก., พ.ง.)."
หงก 1,ก.,"เกี่ยงงอน, กระเง้ากระงอด"
หงทอง 0,น.,"ตะกวด, ชื่อสัตว์เลื้อยคลาน ตัวสีน้ำตาลเหลือง ปากแหลม ลิ้นยาวแยกเป็น ๒ แฉก หางยาวใช้ฟาดเพื่อต่อสู้ป้องกันตัว อาศัยตามป่าโปร่งมากกว่าป่าทึบ หากินตามพื้นดิน ขึ้นต้นไม้เก่ง พาดตัวนอน ผึ่งแดดตามกิ่งไม้"
หงทอง 1,น.,ตะกวด (ดู แลน น.).
หงเทศ 0,น.,"สบู่ดำ, ชื่อไม้พุ่ม ก้านและใบและใบอ่อนสีเขียว มียางใส เมล็ดนำไปหีบได้น้ำมัน ใช้เป็นน้ำมันเชื้อเพลิงและหล่อลื่น ทุกส่วนเป็นพิษ (พ.ท.)."
หงบ 0,ก.,"สงบลง, สร่าง เช่น ไข้หงบ - สร่างไข้"
หงบเมฺล่อ 0,สำ.,สมน้ำหน้า.
หงบหวางโม่ 0,สำ.,สมน้ำหน้า
หงบหวางโม่ 1,สำ.,สมน้ำหน้า.
หง่วนจู้ปีด 0,น.,"ปากกาลูกลื่น (จ., ภ.ก.)."
หง่วนซุ้ย 0,น.,"ผักชี (จ., ภ.ก.)"
หงวย 0,ก.,"ไหว, สั่น, สะเทือน (ดู หวย ก. ๒.)."
หงวย 1,ก.,"ไหว, สั่น, สะเทือน, กระดิก"
ห้งห้อ 0,ว.,เงื่องหงอย เช่น ไก่ห้ง - ไก่เป็นโรค
ห้งห้อ 1,ว.,เงื่องหงอย (ดู ห้ง).
ห้งแห้ง 0,ว.,"ขี้โรค, อมโรค."
ห้งแห้ง 1,ว.,"หงิกงอ, เซื่องซึม, อมโรค (ดู ง่องแง่ง)."
ห้งแห้งฮ้ง แฮ้ง 0,ว.,"ขี้โรค, อมโรค."
ห้งแห้งฮ้งแฮ้ง 0,ว.,"หงิกงอ, เซื่องซึม, อมโรค (ดู ง่องแง่ง)."
หงอก 0,น.,หงอก
หง่อกากี่ 0,น.,ทางเดินเท้าบริเวณหน้าบ้านของตึกแถวที่มีเพดาน ซึ่งเป็นพื้นของชั้นสองของตึกแถว ที่มีลักษณะที่เรียกว่า อาเขต ตึกแถวดังกล่าวมักมี รูปทรงทางสถาปัตยกรรมแบบชิโน - โปรตุเกส
หง่อข่าขี่ 0,น.,ทางเดินเท้าบริเวณหน้าบ้านของตึกแถวที่มีเพดาน ซึ่งเป็นพื้นของชั้นสองของตึกแถว ที่มีลักษณะที่เรียกว่า อาเขต ตึกแถวดังกล่าวมักมี รูปทรงทางสถาปัตยกรรมแบบชิโน - โปรตุเกส
หง่อง 0,ว.,"โง่ (จ., ภ.ก.)."
หง้อง 0,ว.,เงื่องหงอย เช่น ไก่ห้ง - ไก่เป็นโรค
หง้อง 1,ว.,เงื่องหงอย (ดู ห้ง).
หง่องจ่าบ้อ 0,ก.,"เกี้ยว, พูดให้รักในเชิงชู้สาว, พูดเลียบเคียง เพื่อให้สมปรารถนา (จ., ภ.ก.)."
หง้องห้อ 0,ว.,เงื่องหงอย (ดู ห้ง).
หง้องห้อ 0,ว.,เงื่องหงอย เช่น ไก่ห้ง - ไก่เป็นโรค
หง้องแหง้ง 0,น.,แมลงปีกแข็งชนิดหนึ่ง ชอบอาศัยในกองขี้วัว ขี้ควาย (ดู หนอนขี้วัว).
หง้องแหง้ง 1,น.,ชื่อแมลงปีกแข็งชนิดหนึ่ง ชอบอาศัยในกองขี้วัว ขี้ควาย
หงอน 0,น.,ตะกอน (ดู หมวน น. ๑.).
หงอน 1,น.,"หงอน, ขน หรือเนื้อที่งอกขึ้นบนหัวไก่"
หงอน 0,น.,"ตะกอน, สิ่งที่ละลายปนอยู่ในน้ำแล้วตกจมลงนอนก้นภาชนะ"
หงอนไก่ 0,น.,ชื่อไม้ดอกชนิดหนึ่ง.
หงอนไก่ 1,น.,ชื่อไม้เถาขึ้นในป่าละเมาะ เถาสีดำ ลูกสีแดงสด เม็ดในสีดำ ใช้ทำยาเบื่อได้
หงอนไก่ 2,น.,ชื่อไม้ต้นขนาดกลางถึงขนาดใหญ่ (ดู บากดำ).
หงอนไก่ 0,น.,ชื่อไม้ต้นขนาดกลางถึงขนาดใหญ่
