คำ,POS,ความหมาย
อก 0,น.,"อก, ส่วนของร่างกายด้านหน้าอยู่ระหว่างคอกับท้อง, โดยปริยายหมายถึงส่วนกลางหรือใจกลางของสิ่งนั้น, ใจ."
อกกรก 0,ว.,"สกปรก (ร.น., ช.พ., ป.น.)."
อกกลม 0,ว.,รูปร่างสันทัด.
อกกว้างย่างชิด 0,น.,หลักเกณฑ์ในการกำหนดระยะห่างของการปลูกพืชทุกชนิดที่ระยะระหว่างแถวต้องห่าง และระยะระหว่างต้นต้องชิด ซึ่งขึ้นกับพรรณพืชนั้น ๆ.
อกไก่ 0,น.,"กบทู, ไม้เครื่องเรือนที่พาดเบื้องบนเป็นสันหลังคาเหนือใบดั้ง"
อกไก่ 1,น.,ไม้เครื่องบนที่พาดเบื้องบนเป็นสันหลังคา เหนือใบดั้ง.
อกไก่ 2,น.,เรียกอกคนที่มีลักษณะนูนยื่นออกมาอย่างอกไก่.
อกแตก 0,ก.,เจ็บช้ำใจ.
อกนู 0,น.,ไม้คาดคันธนูสำหรับจับ.
อกแบน 0,ว.,อ้วน.
อกเลื่อย 0,น.,ไม้คํ้าให้ใบเลื่อยตึง
อกเหลี่ยม 0,ว.,"ผอม, ยากจน."
อกแหก 0,ก.,กลุ้มหนักด้วยเหตุการณ์รุมเร้า.
อกแห้ง 0,ว.,ใจห่อเหี่ยว.
อกแห้ง 1,น.,ระยะระหว่างแถวของการปลูกพืช (ภ.ก.).
อด 0,ก.,"อดอยาก, ไม่มีอะไรกิน เช่น วัวอดหญ้า - วัวไม่ได้กินหญ้า."
อด 1,ก.,"ไม่ได้ตามที่ต้องการ, ไม่สมหวัง เช่น อดไป - ไม่ได้ไป, อดแลหนัง - ไม่ได้ดูหนัง"
อด 2,ก.,"กลั้น, งดเว้น, บังคับความรู้สึกที่อยู่ภายในร่างกายไม่ให้ แสดงออกหรือหลุดออกมา."
อดสา 0,น.,"ความอุตสาหะ, ความขยัน, ความพยายาม, ความอดทน"
อดหัว 0,ก.,"ขำ, อดหัวเราะไม่ได้."
อดแห้งอดแล้ง 0,สำ.,"ขัดสน, ไม่ค่อยมีกิน."
อ้น 0,น.,ชื่อมันชนิดหนึ่ง คล้ายมันมือเสือ มีทางภาคใต้
