คำ,POS,ความหมาย
ฮกขี่ 0,ว.,"โชคดี, โชคลาภ, ความสุข, บุญวาสนา (จ., ภ.ก., พ.ง.)."
ฮกอือ 0,น.,แกงต้มกะทิใส่ส้ม.
ฮกฮัก 0,ว.,งก ๆ เงิ่น ๆ.
ฮกฮัก 1,ว.,แสดงความไม่พอใจ.
ฮวดกั๊ว 0,น.,"คนเชิญเจ้าให้เข้าทรง (จ., ภ.ก.)."
ฮวดโก้ย 0,น.,"ขนมสาลี่ (จ., ภ.ก.)."
ฮวดโสะ 0,น.,"แส้ที่พระจีนใช้ทำพิธีสะเดาะเคราะห์ (จ., ภ.ก.)."
ฮวน 0,ก.,ทำให้รำคาญ (ดู งวด ก. ๑.).
ฮวน 1,ก.,"กวน, คนให้เข้ากัน, คนให้เข้ากันจนข้น."
ฮวน 2,ก.,"รบกวน, ทำให้รำคาญ, ทำให้เดือดร้อน เช่น มึงงวดให้ดีต้ากูดีชัก - มึงมายุ่งให้ดีเถอะ กูจะตีให้ชักดิ้นไป เลย"
ฮ้วน 0,ก.,กลับ (ดู อ้วน ก.).
ฮ้วน 1,ก.,"กลับ, กลับรถ, กลับไปกลับมา เช่น อ้วนหัวรถ - กลับหัวรถ, เวลาซื้อเบอร์ให้อ้วนไว้มั่ง - เวลาซื้อหวยให้แทงกลับไปกลับมาบ้าง (ภ.ก.)"
ฮ่วนจู๋ 0,น.,มัน (ดู มัน น. ๒.).
ฮวนจู๋ 0,น.,ชื่อไม้เถา หัวใช้เป็นอาหารได้
ฮ่วนเจ็ว 0,น.,พริก (ภ.ก.).
ฮ่วนหน้า 0,น.,คนไทย
ฮ่วนหลาง 0,น.,"คนป่า, คนไร้การศึกษา (จ., ภ.ก.)."
ฮ่วนหลาง 1,น.,คนไทย (ดู ฮวนหน้า).
ฮวม 0,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้า แต่ตัวโตกว่า (ดู ควม น. ๒.).
ฮวม 1,น.,ชื่อนกชนิดหนึ่งคล้ายนกเปล้าแต่ตัวโตกว่า
ฮอ 0,ว.,คำสั่งให้ช้างหยุดเดิน.
ฮ่อกุ๊ยอ้าต่าว . 0,น.,ถั่วแขก.
ฮ่องก้อ 0,น.,"ใบพัดสูบน้ำที่อยู่ข้างในมอเตอร์ขนาดใหญ่ที่ใช้ สูบน้ำในเหมืองแร่ (จ., ภ.ก., พ.ง.)."
