ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
1,กก,กก,กก,กก/  ตุ้ม/  เบาะ,ก.,แนบไว้กับอก โดยปรกติเป็นอิริยาบถนอน
2,กกดอกขาว/  หญ้าหัวโม่ง,หญ้าหัวโม่ง,,กก,น.,ชื่อพรรณไม้จำพวกหญ้าชนิดหนึ่ง ลำด้นอยู่ใต้ดิน ใบและช่อดอกอยู่เหนือดิน กาบหุ้มลำ ต้นสีนํ้าตาลอมแดง ใบเดี่ยวปลายแหลม ดอกเล็กอัดกันแน่น หัวใช้เป็นยา
3,กกลังกา/  กกรังกา/  กกต้นกลม/  กกขนาก/  กกดอกแดง/  แห้วหมู,กกลังกา,,หญ้ารังกา/  หญ้าฮังกา,น.,ชื่อพรรณไม้จำพวกหญ้าชนิดหนึ่ง ลำต้นอยู่เหนือดิน ขึ้นเป็นกอ มีเหง้าใต้ดินสั้นและแข็ง ใบเป็นแผ่นบางกระจุกที่โคน สีเขียวสด ดอกเล็กสีขาวอมเขียว เมื่อแก่สีนํ้าตาลอ่อน ผลรูปไข่ ใช้ต้น ใบ ดอก เหง้า และราก ใช้เป็นยา
4,กกสามเหลี่ยม/  กก/  กกปรือ/  กกคมบาง/  กกตะกรับ/  กกดอกแดง,กก/  กกขนาบ,กกคมบาง,กก/  ผือ,น.,ชื่อพรรณพืชจำพวกหญ้าชนิดหนึ่ง ใช้หัวและรากเป็นยา
5,ก๋งกาย,,หญ้ากาย,หญ้าคาย,น.,ชื่อพรรณพืชจำพวกหญ้าชนิดหนึ่งใช้เป็นอาหารช้าง พบมากในภาคเหนือ
6,กงเกวียน,,,กงเกวียน/  กงเกียน,น.,ส่วนประกอบของล้อเกวียน เป็นส่วนรอบ ด้านนอกทำด้วยไม้เนื้อแข็ง ด้านในเจาะรู เพื่อรับปลายของไม้ที่เป็นชี่ล้อของเกวียน
7,กงข้าง/  กงตั้ง/  กง,กงข้าง/  กงแซม/  กงหนาม/  กงมือเรือ,กงข้าง,กงข้าง/  กง,น.,ส่วนประกอบของเรือ เป็นท่อนไม้ต่อกับกงท้องให้สูงขึ้นไปเพื่อเสริมรับกราบเรือ บางครั้งวางไว้ด้านข้างกงท้องเพื่อช่วยยึดกราบเรือให้แน่น
8,กงตามยาว/  ไม้คร่าว/  รา/  รายึด/  ราเส,กง/  ราไทยคู่/  ราไท,กง,กง/  กงเรือ,น.,ส่วนประกอบตัวเรือ เป็นท่อนไม้ยาวเท่าความยาวของลำเรือขนานกับกระดูกงู อยู่ด้านข้างลำเรือ ต่อทับบนกงสำหรับยึดกงให้แข็งแรง
9,กงท้อง,กงท้อง/  ตะเลงกง,กงท้อง,กงท้อง/  กง,น.,ส่วนประกอบของเรือ เป็นไม้รูปโค้งที่ตั้งเป็นโครงเรือ วางเป็นคู่ขวางกับกระดูกงูไปตลอดทั้งลำ
10,กงมือลิง,กงต่อ,,กงมือลิง,น.,กงเรือที่ต่อให้สูงขึ้นมาเหนือปากเรือจนเห็นเป็นท่อนขึ้นมา
